 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   8,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+01  8.70349E-16  5.39256E-16  7.18687E-16  0.00000E+00  1.0E-07
   1.50000E+01  7.62593E-16  5.26672E-16  5.94508E-16  0.00000E+00  1.0E-07
   2.00000E+01  6.68670E-16  4.96788E-16  4.87975E-16  0.00000E+00  1.0E-07
   2.50000E+01  5.94368E-16  4.61872E-16  4.05521E-16  0.00000E+00  1.0E-07
   3.00000E+01  5.35980E-16  4.26649E-16  3.43538E-16  0.00000E+00  1.0E-07
   3.50000E+01  4.89409E-16  3.93115E-16  2.97199E-16  0.00000E+00  1.0E-07
   4.00000E+01  4.51520E-16  3.62083E-16  2.62363E-16  0.00000E+00  1.0E-07
   4.50000E+01  4.20090E-16  3.33804E-16  2.35867E-16  0.00000E+00  1.0E-07
   5.00000E+01  3.93559E-16  3.08243E-16  2.15393E-16  0.00000E+00  1.0E-07
   5.50000E+01  3.70824E-16  2.85234E-16  1.99276E-16  0.00000E+00  1.0E-07
   6.00000E+01  3.51093E-16  2.64557E-16  1.86333E-16  0.00000E+00  1.0E-07
   6.50000E+01  3.33782E-16  2.45976E-16  1.75722E-16  0.00000E+00  1.0E-07
   7.00000E+01  3.18456E-16  2.29261E-16  1.66844E-16  0.00000E+00  1.0E-07
   7.50000E+01  3.04778E-16  2.14200E-16  1.59269E-16  0.00000E+00  1.0E-07
   8.00000E+01  2.92486E-16  2.00598E-16  1.52687E-16  0.00000E+00  1.0E-07
   8.50000E+01  2.81374E-16  1.88287E-16  1.46873E-16  0.00000E+00  1.0E-07
   9.00000E+01  2.71273E-16  1.77115E-16  1.41662E-16  0.00000E+00  1.0E-07
   9.50000E+01  2.62048E-16  1.66950E-16  1.36933E-16  0.00000E+00  1.0E-07
   1.00000E+02  2.53585E-16  1.57677E-16  1.32595E-16  0.00000E+00  1.0E-07
   2.00000E+02  1.63212E-16  6.70114E-17  8.07691E-17  0.00000E+00  1.0E-07
   3.00000E+02  1.26138E-16  3.84096E-17  5.51908E-17  0.00000E+00  1.0E-07
   4.00000E+02  1.04564E-16  2.53578E-17  4.02998E-17  0.00000E+00  1.0E-07
   5.00000E+02  8.99572E-17  1.81773E-17  3.08494E-17  0.00000E+00  1.6E-07
