 #
 # Differential cross section:               MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #--------------------------------------------------------------
  0.000E+00  0.00000E+00  1.52423E-11  5.44311E+05  0.00000E+00
  1.000E-04  7.61557E-13  1.52273E-11  5.43776E+05  0.00000E+00
  1.250E-04  1.18994E-12  1.52189E-11  5.43476E+05  0.00000E+00
  1.500E-04  1.71346E-12  1.52087E-11  5.43111E+05  0.00000E+00
  1.750E-04  2.33225E-12  1.51966E-11  5.42681E+05  0.00000E+00
  2.000E-04  3.04617E-12  1.51827E-11  5.42184E+05  0.00000E+00
  2.250E-04  3.85530E-12  1.51670E-11  5.41623E+05  0.00000E+00
  2.500E-04  4.75964E-12  1.51495E-11  5.40997E+05  0.00000E+00
  2.750E-04  5.75917E-12  1.51301E-11  5.40306E+05  0.00000E+00
  3.000E-04  6.85391E-12  1.51089E-11  5.39550E+05  0.00000E+00
  3.250E-04  8.04379E-12  1.50860E-11  5.38732E+05  0.00000E+00
  3.500E-04  9.32893E-12  1.50613E-11  5.37850E+05  0.00000E+00
  3.750E-04  1.07092E-11  1.50349E-11  5.36904E+05  0.00000E+00
  4.000E-04  1.21847E-11  1.50066E-11  5.35897E+05  0.00000E+00
  4.250E-04  1.37554E-11  1.49767E-11  5.34829E+05  0.00000E+00
  4.500E-04  1.54213E-11  1.49450E-11  5.33697E+05  0.00000E+00
  4.750E-04  1.71823E-11  1.49117E-11  5.32505E+05  0.00000E+00
  5.000E-04  1.90386E-11  1.48766E-11  5.31255E+05  0.00000E+00
  5.250E-04  2.09900E-11  1.48399E-11  5.29944E+05  0.00000E+00
  5.500E-04  2.30367E-11  1.48015E-11  5.28572E+05  0.00000E+00
  5.750E-04  2.51785E-11  1.47616E-11  5.27145E+05  0.00000E+00
  6.000E-04  2.74156E-11  1.47200E-11  5.25662E+05  0.00000E+00
  6.250E-04  2.97478E-11  1.46768E-11  5.24117E+05  0.00000E+00
  6.500E-04  3.21752E-11  1.46320E-11  5.22519E+05  0.00000E+00
  6.750E-04  3.46979E-11  1.45858E-11  5.20868E+05  0.00000E+00
  7.000E-04  3.73157E-11  1.45379E-11  5.19159E+05  0.00000E+00
  7.250E-04  4.00286E-11  1.44886E-11  5.17397E+05  0.00000E+00
  7.500E-04  4.28368E-11  1.44379E-11  5.15585E+05  0.00000E+00
  7.750E-04  4.57402E-11  1.43857E-11  5.13722E+05  0.00000E+00
  8.000E-04  4.87388E-11  1.43319E-11  5.11803E+05  0.00000E+00
  8.250E-04  5.18325E-11  1.42769E-11  5.09837E+05  0.00000E+00
  8.500E-04  5.50215E-11  1.42206E-11  5.07827E+05  0.00000E+00
  8.750E-04  5.83057E-11  1.41627E-11  5.05760E+05  0.00000E+00
  9.000E-04  6.16850E-11  1.41036E-11  5.03649E+05  0.00000E+00
  9.250E-04  6.51595E-11  1.40433E-11  5.01496E+05  0.00000E+00
  9.500E-04  6.87293E-11  1.39817E-11  4.99296E+05  0.00000E+00
  9.750E-04  7.23943E-11  1.39187E-11  4.97047E+05  0.00000E+00
  1.000E-03  7.61544E-11  1.38547E-11  4.94761E+05  0.00000E+00
  1.250E-03  1.18991E-10  1.31542E-11  4.69744E+05  0.00000E+00
  1.500E-03  1.71347E-10  1.23417E-11  4.40730E+05  0.00000E+00
  1.750E-03  2.33223E-10  1.15139E-11  4.11168E+05  0.00000E+00
  2.000E-03  3.04617E-10  1.06142E-11  3.79040E+05  0.00000E+00
  2.250E-03  3.85531E-10  9.73435E-12  3.47620E+05  0.00000E+00
  2.500E-03  4.75965E-10  8.89272E-12  3.17565E+05  0.00000E+00
  2.750E-03  5.75917E-10  8.04939E-12  2.87449E+05  0.00000E+00
  3.000E-03  6.85389E-10  7.25620E-12  2.59124E+05  0.00000E+00
  3.250E-03  8.04380E-10  6.53046E-12  2.33207E+05  0.00000E+00
  3.500E-03  9.32891E-10  5.85509E-12  2.09089E+05  0.00000E+00
  3.750E-03  1.07092E-09  5.22438E-12  1.86566E+05  0.00000E+00
  4.000E-03  1.21847E-09  4.66182E-12  1.66477E+05  0.00000E+00
  4.250E-03  1.37554E-09  4.16004E-12  1.48558E+05  0.00000E+00
  4.500E-03  1.54213E-09  3.69544E-12  1.31967E+05  0.00000E+00
  4.750E-03  1.71823E-09  3.28558E-12  1.17330E+05  0.00000E+00
  5.000E-03  1.90386E-09  2.92417E-12  1.04424E+05  0.00000E+00
  5.250E-03  2.09900E-09  2.59981E-12  9.28407E+04  0.00000E+00
  5.500E-03  2.30367E-09  2.31115E-12  8.25325E+04  0.00000E+00
  5.750E-03  2.51785E-09  2.05790E-12  7.34891E+04  0.00000E+00
  6.000E-03  2.74156E-09  1.83451E-12  6.55115E+04  0.00000E+00
  6.250E-03  2.97478E-09  1.63444E-12  5.83668E+04  0.00000E+00
  6.500E-03  3.21752E-09  1.45907E-12  5.21042E+04  0.00000E+00
  6.750E-03  3.46978E-09  1.30486E-12  4.65973E+04  0.00000E+00
  7.000E-03  3.73156E-09  1.16743E-12  4.16897E+04  0.00000E+00
  7.250E-03  4.00286E-09  1.04619E-12  3.73601E+04  0.00000E+00
  7.500E-03  4.28368E-09  9.39427E-13  3.35476E+04  0.00000E+00
  7.750E-03  4.57402E-09  8.44839E-13  3.01697E+04  0.00000E+00
  8.000E-03  4.87388E-09  7.60680E-13  2.71644E+04  0.00000E+00
  8.250E-03  5.18326E-09  6.86288E-13  2.45078E+04  0.00000E+00
  8.500E-03  5.50215E-09  6.20348E-13  2.21530E+04  0.00000E+00
  8.750E-03  5.83057E-09  5.61406E-13  2.00482E+04  0.00000E+00
  9.000E-03  6.16850E-09  5.09024E-13  1.81776E+04  0.00000E+00
  9.250E-03  6.51596E-09  4.62396E-13  1.65125E+04  0.00000E+00
  9.500E-03  6.87293E-09  4.20698E-13  1.50234E+04  0.00000E+00
  9.750E-03  7.23942E-09  3.83380E-13  1.36907E+04  0.00000E+00
  1.000E-02  7.61544E-09  3.50012E-13  1.24991E+04  0.00000E+00
  1.250E-02  1.18991E-08  1.53774E-13  5.49137E+03  0.00000E+00
  1.500E-02  1.71347E-08  7.76289E-14  2.77218E+03  0.00000E+00
  1.750E-02  2.33223E-08  4.36372E-14  1.55831E+03  0.00000E+00
  2.000E-02  3.04617E-08  2.65913E-14  9.49594E+02  0.00000E+00
  2.250E-02  3.85531E-08  1.72195E-14  6.14918E+02  0.00000E+00
  2.500E-02  4.75965E-08  1.16809E-14  4.17132E+02  0.00000E+00
  2.750E-02  5.75917E-08  8.21996E-15  2.93540E+02  0.00000E+00
  3.000E-02  6.85389E-08  5.95812E-15  2.12768E+02  0.00000E+00
  3.250E-02  8.04380E-08  4.42510E-15  1.58023E+02  0.00000E+00
  3.500E-02  9.32891E-08  3.35393E-15  1.19771E+02  0.00000E+00
  3.750E-02  1.07092E-07  2.58742E-15  9.23985E+01  0.00000E+00
  4.000E-02  1.21847E-07  2.02707E-15  7.23879E+01  0.00000E+00
  4.250E-02  1.37554E-07  1.60975E-15  5.74853E+01  0.00000E+00
  4.500E-02  1.54213E-07  1.29374E-15  4.62001E+01  0.00000E+00
  4.750E-02  1.71823E-07  1.05112E-15  3.75361E+01  0.00000E+00
  5.000E-02  1.90386E-07  8.62448E-16  3.07986E+01  0.00000E+00
  5.250E-02  2.09900E-07  7.14006E-16  2.54976E+01  0.00000E+00
  5.500E-02  2.30367E-07  5.95950E-16  2.12817E+01  0.00000E+00
  5.750E-02  2.51785E-07  5.01156E-16  1.78966E+01  0.00000E+00
  6.000E-02  2.74156E-07  4.24376E-16  1.51548E+01  0.00000E+00
  6.250E-02  2.97478E-07  3.61673E-16  1.29156E+01  0.00000E+00
  6.500E-02  3.21752E-07  3.10072E-16  1.10729E+01  0.00000E+00
  6.750E-02  3.46978E-07  2.67302E-16  9.54553E+00  0.00000E+00
  7.000E-02  3.73156E-07  2.31626E-16  8.27151E+00  0.00000E+00
  7.250E-02  4.00286E-07  2.01683E-16  7.20221E+00  0.00000E+00
  7.500E-02  4.28368E-07  1.76406E-16  6.29956E+00  0.00000E+00
  7.750E-02  4.57402E-07  1.54950E-16  5.53338E+00  0.00000E+00
  8.000E-02  4.87388E-07  1.36649E-16  4.87981E+00  0.00000E+00
  8.250E-02  5.18325E-07  1.20962E-16  4.31964E+00  0.00000E+00
  8.500E-02  5.50215E-07  1.07457E-16  3.83735E+00  0.00000E+00
  8.750E-02  5.83057E-07  9.57787E-17  3.42032E+00  0.00000E+00
