 #
 # Subroutine MOTTSC. Elastic scattering of electrons and positrons
 #                    by unscreened Coulomb fields
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+08 eV = 3.67493E+06 a.u.
 #
 # Z =   8
 #
 # Differential cross section      MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS       McKinl-Fesh    error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)   (a0**2/sr)
 #-----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.00000E-45  3.57106E-29  2.02221E+16   1.0E+00
  1.000E-04  7.61557E-13  5.66257E-05  2.02214E+12  2.02221E+12   1.0E+00
  1.250E-04  1.18994E-12  2.31937E-05  8.28264E+11  8.28299E+11   1.0E+00
  1.500E-04  1.71346E-12  1.11859E-05  3.99455E+11  3.99450E+11   1.0E+00
  1.750E-04  2.33225E-12  6.03768E-06  2.15610E+11  2.15613E+11   1.0E+00
  2.000E-04  3.04617E-12  3.53924E-06  1.26388E+11  1.26388E+11   1.0E+00
  2.250E-04  3.85530E-12  2.20954E-06  7.89040E+10  7.89037E+10   1.0E+00
  2.500E-04  4.75964E-12  1.44968E-06  5.17689E+10  5.17687E+10   1.0E+00
  2.750E-04  5.75917E-12  9.90146E-07  3.53587E+10  3.53587E+10   1.0E+00
  3.000E-04  6.85391E-12  6.99106E-07  2.49655E+10  2.49656E+10   1.0E+00
  3.250E-04  8.04379E-12  5.07572E-07  1.81257E+10  1.81257E+10   1.0E+00
  3.500E-04  9.32893E-12  3.77360E-07  1.34758E+10  1.34758E+10   1.0E+00
  3.750E-04  1.07092E-11  2.86355E-07  1.02259E+10  1.02259E+10   1.0E+00
  4.000E-04  1.21847E-11  2.21202E-07  7.89928E+09  7.89928E+09   1.0E+00
  4.250E-04  1.37554E-11  1.73570E-07  6.19828E+09  6.19829E+09   1.0E+00
  4.500E-04  1.54213E-11  1.38095E-07  4.93147E+09  4.93148E+09   1.0E+00
  4.750E-04  1.71823E-11  1.11239E-07  3.97241E+09  3.97240E+09   1.0E+00
  5.000E-04  1.90386E-11  9.06043E-08  3.23554E+09  3.23554E+09   1.0E+00
  5.250E-04  2.09900E-11  7.45405E-08  2.66189E+09  2.66189E+09   1.0E+00
  5.500E-04  2.30367E-11  6.18841E-08  2.20992E+09  2.20992E+09   1.0E+00
  5.750E-04  2.51785E-11  5.18034E-08  1.84993E+09  1.84993E+09   1.0E+00
  6.000E-04  2.74156E-11  4.36943E-08  1.56035E+09  1.56035E+09   1.0E+00
  6.250E-04  2.97478E-11  3.71116E-08  1.32528E+09  1.32528E+09   1.0E+00
  6.500E-04  3.21752E-11  3.17232E-08  1.13286E+09  1.13285E+09   1.0E+00
  6.750E-04  3.46979E-11  2.72781E-08  9.74118E+08  9.74120E+08   1.0E+00
  7.000E-04  3.73157E-11  2.35851E-08  8.42238E+08  8.42239E+08   1.0E+00
  7.250E-04  4.00286E-11  2.04964E-08  7.31940E+08  7.31940E+08   1.0E+00
  7.500E-04  4.28368E-11  1.78972E-08  6.39120E+08  6.39120E+08   1.0E+00
  7.750E-04  4.57402E-11  1.56972E-08  5.60559E+08  5.60558E+08   1.0E+00
  8.000E-04  4.87388E-11  1.38252E-08  4.93705E+08  4.93705E+08   1.0E+00
  8.250E-04  5.18325E-11  1.22240E-08  4.36528E+08  4.36528E+08   1.0E+00
  8.500E-04  5.50215E-11  1.08481E-08  3.87393E+08  3.87393E+08   1.0E+00
  8.750E-04  5.83057E-11  9.66045E-09  3.44981E+08  3.44981E+08   1.0E+00
  9.000E-04  6.16850E-11  8.63097E-09  3.08218E+08  3.08218E+08   1.0E+00
  9.250E-04  6.51595E-11  7.73505E-09  2.76224E+08  2.76224E+08   1.0E+00
  9.500E-04  6.87293E-11  6.95241E-09  2.48275E+08  2.48275E+08   1.0E+00
  9.750E-04  7.23943E-11  6.26630E-09  2.23774E+08  2.23774E+08   1.0E+00
  1.000E-03  7.61544E-11  5.66278E-09  2.02222E+08  2.02222E+08   1.0E+00
  1.250E-03  1.18991E-10  2.31948E-09  8.28300E+07  8.28300E+07   1.0E+00
  1.500E-03  1.71347E-10  1.11858E-09  3.99450E+07  3.99451E+07   1.0E+00
  1.750E-03  2.33223E-10  6.03779E-10  2.15614E+07  2.15614E+07   1.0E+00
  2.000E-03  3.04617E-10  3.53925E-10  1.26389E+07  1.26389E+07   1.0E+00
  2.250E-03  3.85531E-10  2.20953E-10  7.89039E+06  7.89039E+06   1.0E+00
  2.500E-03  4.75965E-10  1.44968E-10  5.17689E+06  5.17689E+06   1.0E+00
  2.750E-03  5.75917E-10  9.90149E-11  3.53589E+06  3.53589E+06   1.0E+00
  3.000E-03  6.85389E-10  6.99111E-11  2.49657E+06  2.49657E+06   1.0E+00
  3.250E-03  8.04380E-10  5.07573E-11  1.81257E+06  1.81257E+06   1.0E+00
  3.500E-03  9.32891E-10  3.77363E-11  1.34759E+06  1.34759E+06   1.0E+00
  3.750E-03  1.07092E-09  2.86356E-11  1.02260E+06  1.02260E+06   1.0E+00
  4.000E-03  1.21847E-09  2.21204E-11  7.89932E+05  7.89932E+05   1.0E+00
  4.250E-03  1.37554E-09  1.73571E-11  6.19832E+05  6.19832E+05   1.0E+00
  4.500E-03  1.54213E-09  1.38096E-11  4.93151E+05  4.93151E+05   1.0E+00
  4.750E-03  1.71823E-09  1.11239E-11  3.97243E+05  3.97243E+05   1.0E+00
  5.000E-03  1.90386E-09  9.06051E-12  3.23557E+05  3.23557E+05   1.0E+00
  5.250E-03  2.09900E-09  7.45411E-12  2.66191E+05  2.66191E+05   1.0E+00
  5.500E-03  2.30367E-09  6.18846E-12  2.20994E+05  2.20994E+05   1.0E+00
  5.750E-03  2.51785E-09  5.18038E-12  1.84995E+05  1.84995E+05   1.0E+00
  6.000E-03  2.74156E-09  4.36947E-12  1.56037E+05  1.56037E+05   1.0E+00
  6.250E-03  2.97478E-09  3.71119E-12  1.32529E+05  1.32529E+05   1.0E+00
  6.500E-03  3.21752E-09  3.17234E-12  1.13286E+05  1.13286E+05   1.0E+00
  6.750E-03  3.46978E-09  2.72784E-12  9.74129E+04  9.74129E+04   1.0E+00
  7.000E-03  3.73156E-09  2.35853E-12  8.42248E+04  8.42248E+04   1.0E+00
  7.250E-03  4.00286E-09  2.04966E-12  7.31948E+04  7.31948E+04   1.0E+00
  7.500E-03  4.28368E-09  1.78974E-12  6.39127E+04  6.39127E+04   1.0E+00
  7.750E-03  4.57402E-09  1.56974E-12  5.60565E+04  5.60565E+04   1.0E+00
  8.000E-03  4.87388E-09  1.38253E-12  4.93711E+04  4.93711E+04   1.0E+00
  8.250E-03  5.18326E-09  1.22242E-12  4.36533E+04  4.36533E+04   1.0E+00
  8.500E-03  5.50215E-09  1.08482E-12  3.87398E+04  3.87398E+04   1.0E+00
  8.750E-03  5.83057E-09  9.66058E-13  3.44986E+04  3.44986E+04   1.0E+00
  9.000E-03  6.16850E-09  8.63109E-13  3.08222E+04  3.08222E+04   1.0E+00
  9.250E-03  6.51596E-09  7.73515E-13  2.76227E+04  2.76227E+04   1.0E+00
  9.500E-03  6.87293E-09  6.95251E-13  2.48279E+04  2.48279E+04   1.0E+00
  9.750E-03  7.23942E-09  6.26639E-13  2.23777E+04  2.23777E+04   1.0E+00
  1.000E-02  7.61544E-09  5.66287E-13  2.02225E+04  2.02225E+04   1.0E+00
  1.250E-02  1.18991E-08  2.31952E-13  8.28315E+03  8.28315E+03   1.0E+00
  1.500E-02  1.71347E-08  1.11860E-13  3.99459E+03  3.99459E+03   1.0E+00
  1.750E-02  2.33223E-08  6.03795E-14  2.15619E+03  2.15619E+03   1.0E+00
  2.000E-02  3.04617E-08  3.53935E-14  1.26392E+03  1.26392E+03   1.0E+00
  2.250E-02  3.85531E-08  2.20961E-14  7.89064E+02  7.89065E+02   1.0E+00
  2.500E-02  4.75965E-08  1.44973E-14  5.17707E+02  5.17707E+02   1.0E+00
  2.750E-02  5.75917E-08  9.90188E-15  3.53602E+02  3.53603E+02   1.0E+00
  3.000E-02  6.85389E-08  6.99141E-15  2.49668E+02  2.49668E+02   1.0E+00
  3.250E-02  8.04380E-08  5.07596E-15  1.81266E+02  1.81266E+02   1.0E+00
  3.500E-02  9.32891E-08  3.77382E-15  1.34766E+02  1.34766E+02   1.0E+00
  3.750E-02  1.07092E-07  2.86372E-15  1.02265E+02  1.02265E+02   1.0E+00
  4.000E-02  1.21847E-07  2.21216E-15  7.89977E+01  7.89978E+01   1.0E+00
  4.250E-02  1.37554E-07  1.73581E-15  6.19870E+01  6.19870E+01   1.0E+00
  4.500E-02  1.54213E-07  1.38105E-15  4.93183E+01  4.93183E+01   1.0E+00
  4.750E-02  1.71823E-07  1.11247E-15  3.97270E+01  3.97270E+01   1.0E+00
  5.000E-02  1.90386E-07  9.06116E-16  3.23580E+01  3.23580E+01   1.0E+00
  5.250E-02  2.09900E-07  7.45467E-16  2.66211E+01  2.66211E+01   1.0E+00
  5.500E-02  2.30367E-07  6.18894E-16  2.21011E+01  2.21011E+01   1.0E+00
  5.750E-02  2.51785E-07  5.18081E-16  1.85010E+01  1.85010E+01   1.0E+00
  6.000E-02  2.74156E-07  4.36984E-16  1.56050E+01  1.56050E+01   1.0E+00
  6.250E-02  2.97478E-07  3.71152E-16  1.32541E+01  1.32541E+01   1.0E+00
  6.500E-02  3.21752E-07  3.17264E-16  1.13297E+01  1.13297E+01   1.0E+00
  6.750E-02  3.46978E-07  2.72810E-16  9.74223E+00  9.74224E+00   1.0E+00
  7.000E-02  3.73156E-07  2.35877E-16  8.42332E+00  8.42332E+00   1.0E+00
  7.250E-02  4.00286E-07  2.04987E-16  7.32023E+00  7.32024E+00   1.0E+00
  7.500E-02  4.28368E-07  1.78993E-16  6.39195E+00  6.39196E+00   1.0E+00
  7.750E-02  4.57402E-07  1.56991E-16  5.60626E+00  5.60627E+00   1.0E+00
  8.000E-02  4.87388E-07  1.38269E-16  4.93767E+00  4.93768E+00   1.0E+00
  8.250E-02  5.18325E-07  1.22256E-16  4.36584E+00  4.36585E+00   1.0E+00
  8.500E-02  5.50215E-07  1.08496E-16  3.87445E+00  3.87445E+00   1.0E+00
  8.750E-02  5.83057E-07  9.66178E-17  3.45029E+00  3.45029E+00   1.0E+00
  9.000E-02  6.16850E-07  8.63220E-17  3.08261E+00  3.08262E+00   1.0E+00
  9.250E-02  6.51596E-07  7.73617E-17  2.76264E+00  2.76264E+00   1.0E+00
  9.500E-02  6.87293E-07  6.95345E-17  2.48312E+00  2.48312E+00   1.0E+00
  9.750E-02  7.23942E-07  6.26726E-17  2.23808E+00  2.23808E+00   1.0E+00
  1.000E-01  7.61543E-07  5.66367E-17  2.02253E+00  2.02254E+00   1.0E+00
  1.250E-01  1.18991E-06  2.31993E-17  8.28463E-01  8.28464E-01   1.0E+00
  1.500E-01  1.71347E-06  1.11884E-17  3.99545E-01  3.99545E-01   1.0E+00
  1.750E-01  2.33223E-06  6.03946E-18  2.15673E-01  2.15673E-01   1.0E+00
  2.000E-01  3.04617E-06  3.54036E-18  1.26429E-01  1.26429E-01   1.0E+00
  2.250E-01  3.85531E-06  2.21032E-18  7.89319E-02  7.89319E-02   1.0E+00
  2.500E-01  4.75964E-06  1.45025E-18  5.17893E-02  5.17893E-02   1.0E+00
  2.750E-01  5.75916E-06  9.90578E-19  3.53742E-02  3.53742E-02   1.0E+00
  3.000E-01  6.85388E-06  6.99443E-19  2.49776E-02  2.49775E-02   1.0E+00
  3.250E-01  8.04378E-06  5.07833E-19  1.81351E-02  1.81350E-02   1.0E+00
  3.500E-01  9.32888E-06  3.77572E-19  1.34833E-02  1.34833E-02   1.0E+00
  3.750E-01  1.07092E-05  2.86526E-19  1.02320E-02  1.02320E-02   1.0E+00
  4.000E-01  1.21846E-05  2.21344E-19  7.90433E-03  7.90428E-03   1.0E+00
  4.250E-01  1.37553E-05  1.73688E-19  6.20250E-03  6.20245E-03   1.0E+00
  4.500E-01  1.54212E-05  1.38195E-19  4.93503E-03  4.93499E-03   1.0E+00
