 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 1.5000000E+01 eV
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #    molecular polarizability = 1.45700E-24 cm**3
 #
 # LDA-I absorption potential (only electron-hole excitations):
 #                           Delta = 6.20000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 2.3628697E-15  1.5415559E-15
 # 1st transport cs: 1.1616823E-15  1.0705468E-15
 # 2nd transport cs: 1.5499242E-15  1.2575241E-15
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  0.000000E+00  0.000000E+00  1.927315E-15  6.645434E-16  0.000000E+00
  1.000000E-04  7.615575E-13  1.927315E-15  6.645434E-16 -5.368576E-10
  1.250000E-04  1.189937E-12  1.927315E-15  6.645434E-16 -6.710720E-10
  1.500000E-04  1.713463E-12  1.927315E-15  6.645434E-16 -8.052864E-10
  1.750000E-04  2.332246E-12  1.927315E-15  6.645434E-16 -9.395008E-10
  2.000000E-04  3.046174E-12  1.927315E-15  6.645434E-16 -1.073715E-09
  2.250000E-04  3.855305E-12  1.927315E-15  6.645434E-16 -1.207930E-09
  2.500000E-04  4.759637E-12  1.927315E-15  6.645434E-16 -1.342144E-09
  2.750000E-04  5.759171E-12  1.927315E-15  6.645434E-16 -1.476358E-09
  3.000000E-04  6.853906E-12  1.927315E-15  6.645434E-16 -1.610573E-09
  3.250000E-04  8.043788E-12  1.927315E-15  6.645434E-16 -1.744787E-09
  3.500000E-04  9.328927E-12  1.927315E-15  6.645434E-16 -1.879002E-09
  3.750000E-04  1.070921E-11  1.927315E-15  6.645434E-16 -2.013216E-09
  4.000000E-04  1.218470E-11  1.927315E-15  6.645434E-16 -2.147430E-09
  4.250000E-04  1.375539E-11  1.927315E-15  6.645434E-16 -2.281645E-09
  4.500000E-04  1.542128E-11  1.927315E-15  6.645434E-16 -2.415859E-09
  4.750000E-04  1.718231E-11  1.927315E-15  6.645434E-16 -2.550074E-09
  5.000000E-04  1.903860E-11  1.927315E-15  6.645434E-16 -2.684288E-09
  5.250000E-04  2.099004E-11  1.927315E-15  6.645434E-16 -2.818502E-09
  5.500000E-04  2.303668E-11  1.927315E-15  6.645434E-16 -2.952717E-09
  5.750000E-04  2.517853E-11  1.927315E-15  6.645434E-16 -3.086931E-09
  6.000000E-04  2.741557E-11  1.927315E-15  6.645434E-16 -3.221146E-09
  6.250000E-04  2.974782E-11  1.927315E-15  6.645434E-16 -3.355360E-09
  6.500000E-04  3.217521E-11  1.927315E-15  6.645434E-16 -3.489574E-09
  6.750000E-04  3.469786E-11  1.927315E-15  6.645434E-16 -3.623789E-09
  7.000000E-04  3.731565E-11  1.927315E-15  6.645434E-16 -3.758003E-09
  7.250000E-04  4.002865E-11  1.927315E-15  6.645434E-16 -3.892218E-09
  7.500000E-04  4.283685E-11  1.927315E-15  6.645434E-16 -4.026432E-09
  7.750000E-04  4.574019E-11  1.927315E-15  6.645434E-16 -4.160646E-09
  8.000000E-04  4.873879E-11  1.927315E-15  6.645434E-16 -4.294861E-09
  8.250000E-04  5.183254E-11  1.927315E-15  6.645434E-16 -4.429075E-09
  8.500000E-04  5.502154E-11  1.927315E-15  6.645434E-16 -4.563290E-09
  8.750000E-04  5.830569E-11  1.927315E-15  6.645434E-16 -4.697504E-09
  9.000000E-04  6.168505E-11  1.927315E-15  6.645434E-16 -4.831718E-09
  9.250000E-04  6.515954E-11  1.927315E-15  6.645434E-16 -4.965933E-09
  9.500000E-04  6.872930E-11  1.927315E-15  6.645434E-16 -5.100147E-09
  9.750000E-04  7.239426E-11  1.927315E-15  6.645434E-16 -5.234362E-09
  1.000000E-03  7.615436E-11  1.927315E-15  6.645434E-16 -5.368576E-09
  1.250000E-03  1.189912E-10  1.927315E-15  6.645434E-16 -6.710720E-09
  1.500000E-03  1.713473E-10  1.927315E-15  6.645434E-16 -8.052864E-09
  1.750000E-03  2.332227E-10  1.927315E-15  6.645433E-16 -9.395008E-09
  2.000000E-03  3.046174E-10  1.927315E-15  6.645433E-16 -1.073715E-08
  2.250000E-03  3.855314E-10  1.927315E-15  6.645433E-16 -1.207930E-08
  2.500000E-03  4.759647E-10  1.927315E-15  6.645433E-16 -1.342144E-08
  2.750000E-03  5.759173E-10  1.927315E-15  6.645433E-16 -1.476359E-08
  3.000000E-03  6.853892E-10  1.927315E-15  6.645433E-16 -1.610573E-08
  3.250000E-03  8.043804E-10  1.927315E-15  6.645433E-16 -1.744787E-08
  3.500000E-03  9.328908E-10  1.927315E-15  6.645433E-16 -1.879002E-08
  3.750000E-03  1.070921E-09  1.927315E-15  6.645432E-16 -2.013216E-08
  4.000000E-03  1.218470E-09  1.927315E-15  6.645432E-16 -2.147431E-08
  4.250000E-03  1.375538E-09  1.927315E-15  6.645432E-16 -2.281645E-08
  4.500000E-03  1.542126E-09  1.927315E-15  6.645432E-16 -2.415860E-08
  4.750000E-03  1.718233E-09  1.927315E-15  6.645431E-16 -2.550074E-08
  5.000000E-03  1.903859E-09  1.927315E-15  6.645431E-16 -2.684289E-08
  5.250000E-03  2.099004E-09  1.927315E-15  6.645431E-16 -2.818503E-08
  5.500000E-03  2.303669E-09  1.927315E-15  6.645431E-16 -2.952718E-08
  5.750000E-03  2.517853E-09  1.927314E-15  6.645430E-16 -3.086933E-08
  6.000000E-03  2.741557E-09  1.927314E-15  6.645430E-16 -3.221147E-08
  6.250000E-03  2.974779E-09  1.927314E-15  6.645430E-16 -3.355362E-08
  6.500000E-03  3.217521E-09  1.927314E-15  6.645429E-16 -3.489576E-08
  6.750000E-03  3.469783E-09  1.927314E-15  6.645429E-16 -3.623791E-08
  7.000000E-03  3.731563E-09  1.927314E-15  6.645429E-16 -3.758006E-08
  7.250000E-03  4.002863E-09  1.927314E-15  6.645428E-16 -3.892220E-08
  7.500000E-03  4.283682E-09  1.927314E-15  6.645428E-16 -4.026435E-08
  7.750000E-03  4.574021E-09  1.927314E-15  6.645428E-16 -4.160650E-08
  8.000000E-03  4.873879E-09  1.927313E-15  6.645427E-16 -4.294864E-08
  8.250000E-03  5.183256E-09  1.927313E-15  6.645427E-16 -4.429079E-08
  8.500000E-03  5.502152E-09  1.927313E-15  6.645426E-16 -4.563294E-08
  8.750000E-03  5.830568E-09  1.927313E-15  6.645426E-16 -4.697509E-08
  9.000000E-03  6.168503E-09  1.927313E-15  6.645426E-16 -4.831724E-08
  9.250000E-03  6.515957E-09  1.927313E-15  6.645425E-16 -4.965938E-08
  9.500000E-03  6.872931E-09  1.927313E-15  6.645425E-16 -5.100153E-08
  9.750000E-03  7.239423E-09  1.927313E-15  6.645424E-16 -5.234368E-08
