

  **** Partial wave analysis (DPWA0) ******************************************


  Kinetic energy = 1.00000E+07 eV

      L       Phase(spin UP)     Phase(spin DOWN)
     330      1.51262661E-02      1.51470172E-02  i
     340      1.49117850E-02      1.49319104E-02  i
     350      1.47036749E-02      1.47232098E-02  i
     360      1.45015822E-02      1.45205591E-02  i
     370      1.43051822E-02      1.43236307E-02  i
     380      1.41141762E-02      1.41321237E-02  i
     390      1.39282884E-02      1.39457603E-02  i
     400      1.37472642E-02      1.37642838E-02  i
     410      1.35708675E-02      1.35874565E-02  i
     420      1.33988795E-02      1.34150581E-02  i
     430      1.32310965E-02      1.32468834E-02  i
     440      1.30673290E-02      1.30827417E-02  i
     450      1.29074001E-02      1.29224549E-02  i
     460      1.27511446E-02      1.27658567E-02  i
     470      1.25984077E-02      1.26127915E-02  i
     480      1.24490447E-02      1.24631134E-02  i
     490      1.23029195E-02      1.23166858E-02  i
     500      1.21599043E-02      1.21733800E-02  i
     510      1.20198789E-02      1.20330751E-02  i
     520      1.18827299E-02      1.18956572E-02  i
     530      1.17483507E-02      1.17610189E-02  i
     540      1.16166402E-02      1.16290587E-02  i
     550      1.14875032E-02      1.14996808E-02  i
     560      1.13608493E-02      1.13727945E-02  i
     570      1.12365932E-02      1.12483138E-02  i
     580      1.11146537E-02      1.11261573E-02  i
     590      1.09949540E-02      1.10062477E-02  i
     600      1.08774210E-02      1.08885116E-02  i
     620      1.06485805E-02      1.06592840E-02  i
     640      1.04276155E-02      1.04379553E-02  i
     660      1.02140567E-02      1.02240542E-02  i
     680      1.00074764E-02      1.00171511E-02  i
     700      9.80748378E-03      9.81685344E-03  i
     720      9.61372064E-03      9.62280164E-03  i
     740      9.42585803E-03      9.43466540E-03  i
     760      9.24359294E-03      9.25214056E-03  i
     780      9.06664573E-03      9.07494639E-03  i
     800      8.89475769E-03      8.90282327E-03  i
     820      8.72768904E-03      8.73553054E-03  i
     840      8.56521704E-03      8.57284469E-03  i
     860      8.40713447E-03      8.41455780E-03  i
     880      8.25324813E-03      8.26047603E-03  i
     900      8.10337762E-03      8.11041841E-03  i
     920      7.95735424E-03      7.96421568E-03  i
     940      7.81501992E-03      7.82170930E-03  i
     960      7.67622639E-03      7.68275057E-03  i
     980      7.54083435E-03      7.54719976E-03  i
    1000      7.40871275E-03      7.41492544E-03  i
    1020      7.27973813E-03      7.28580380E-03  i
    1040      7.15379404E-03      7.15971809E-03  i
    1060      7.03077051E-03      7.03655803E-03  i
    1080      6.91056357E-03      6.91621938E-03  i
