 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 6.0000000E+04 eV
 #
 # Furness-McCarthy exchange potential
 #
 # No correlation-polarization potential
 #
 # LDA-I absorption potential (only electron-hole excitations):
 #                           Delta = 6.20000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 1.7409664E-18  1.4811129E-18
 # 1st transport cs: 4.5759690E-21  4.5745925E-21
 # 2nd transport cs: 1.1909814E-20  1.1905689E-20
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  0.000000E+00  0.000000E+00  1.156792E-15  5.616496E-16  0.000000E+00
  1.000000E-04  7.615575E-13  1.156792E-15  5.616496E-16  0.000000E+00
  1.250000E-04  1.189937E-12  1.156792E-15  5.616496E-16  0.000000E+00
  1.500000E-04  1.713463E-12  1.156792E-15  5.616496E-16  0.000000E+00
  1.750000E-04  2.332246E-12  1.156792E-15  5.616496E-16  0.000000E+00
  2.000000E-04  3.046174E-12  1.156792E-15  5.616496E-16  0.000000E+00
  2.250000E-04  3.855305E-12  1.156792E-15  5.616496E-16  0.000000E+00
  2.500000E-04  4.759637E-12  1.156792E-15  5.616496E-16  0.000000E+00
  2.750000E-04  5.759171E-12  1.156792E-15  5.616496E-16  0.000000E+00
  3.000000E-04  6.853906E-12  1.156792E-15  5.616496E-16  0.000000E+00
  3.250000E-04  8.043788E-12  1.156792E-15  5.616496E-16  0.000000E+00
  3.500000E-04  9.328927E-12  1.156792E-15  5.616496E-16  0.000000E+00
  3.750000E-04  1.070921E-11  1.156792E-15  5.616496E-16  0.000000E+00
  4.000000E-04  1.218470E-11  1.156792E-15  5.616496E-16  0.000000E+00
  4.250000E-04  1.375539E-11  1.156792E-15  5.616496E-16  0.000000E+00
  4.500000E-04  1.542128E-11  1.156792E-15  5.616496E-16  0.000000E+00
  4.750000E-04  1.718231E-11  1.156791E-15  5.616496E-16  0.000000E+00
  5.000000E-04  1.903860E-11  1.156791E-15  5.616495E-16  0.000000E+00
  5.250000E-04  2.099004E-11  1.156791E-15  5.616495E-16  0.000000E+00
  5.500000E-04  2.303668E-11  1.156791E-15  5.616495E-16  0.000000E+00
  5.750000E-04  2.517853E-11  1.156791E-15  5.616495E-16  0.000000E+00
  6.000000E-04  2.741557E-11  1.156791E-15  5.616495E-16  0.000000E+00
  6.250000E-04  2.974782E-11  1.156791E-15  5.616495E-16  0.000000E+00
  6.500000E-04  3.217521E-11  1.156791E-15  5.616495E-16  0.000000E+00
  6.750000E-04  3.469786E-11  1.156791E-15  5.616495E-16  0.000000E+00
  7.000000E-04  3.731565E-11  1.156791E-15  5.616495E-16  0.000000E+00
  7.250000E-04  4.002865E-11  1.156791E-15  5.616494E-16  0.000000E+00
  7.500000E-04  4.283685E-11  1.156791E-15  5.616494E-16  0.000000E+00
  7.750000E-04  4.574019E-11  1.156791E-15  5.616494E-16  0.000000E+00
  8.000000E-04  4.873879E-11  1.156791E-15  5.616494E-16  0.000000E+00
  8.250000E-04  5.183254E-11  1.156791E-15  5.616494E-16  0.000000E+00
  8.500000E-04  5.502154E-11  1.156791E-15  5.616494E-16  0.000000E+00
  8.750000E-04  5.830569E-11  1.156791E-15  5.616493E-16  0.000000E+00
  9.000000E-04  6.168505E-11  1.156791E-15  5.616493E-16  0.000000E+00
  9.250000E-04  6.515954E-11  1.156791E-15  5.616493E-16  0.000000E+00
  9.500000E-04  6.872930E-11  1.156790E-15  5.616493E-16  0.000000E+00
  9.750000E-04  7.239426E-11  1.156790E-15  5.616493E-16  0.000000E+00
  1.000000E-03  7.615436E-11  1.156790E-15  5.616493E-16  0.000000E+00
  1.250000E-03  1.189912E-10  1.156790E-15  5.616490E-16  0.000000E+00
  1.500000E-03  1.713473E-10  1.156789E-15  5.616488E-16  0.000000E+00
  1.750000E-03  2.332227E-10  1.156787E-15  5.616485E-16  0.000000E+00
  2.000000E-03  3.046174E-10  1.156786E-15  5.616481E-16  0.000000E+00
  2.250000E-03  3.855314E-10  1.156784E-15  5.616477E-16  0.000000E+00
  2.500000E-03  4.759647E-10  1.156783E-15  5.616472E-16  0.000000E+00
  2.750000E-03  5.759173E-10  1.156781E-15  5.616467E-16  0.000000E+00
  3.000000E-03  6.853892E-10  1.156779E-15  5.616462E-16  0.000000E+00
  3.250000E-03  8.043804E-10  1.156776E-15  5.616456E-16  0.000000E+00
