

  **** Partial wave analysis (DPWAI0) ******************************************


  Kinetic energy = 1.00000E+06 eV

              --------- Spin UP ---------      -------- Spin DOWN --------
      L         Re(phase)      Im(phase)         Re(phase)      Im(phase)
      83      1.13267617E-02  8.74159E-05      1.13855264E-02  8.74829E-05
      84      1.12389215E-02  8.73144E-05      1.12969305E-02  8.73815E-05
      85      1.11522012E-02  8.72127E-05      1.12094718E-02  8.72800E-05
      86      1.10665758E-02  8.71105E-05      1.11231246E-02  8.71782E-05
      87      1.09820211E-02  8.70074E-05      1.10378639E-02  8.70757E-05
      88      1.08985134E-02  8.69037E-05      1.09536658E-02  8.69724E-05
      89      1.08160302E-02  8.67998E-05      1.08705070E-02  8.68686E-05
      90      1.07345495E-02  8.66959E-05      1.07883652E-02  8.67647E-05
      91      1.06540500E-02  8.65915E-05      1.07072186E-02  8.66607E-05
      92      1.05745113E-02  8.64861E-05      1.06270463E-02  8.65560E-05
      93      1.04959134E-02  8.63800E-05      1.05478279E-02  8.64503E-05
      94      1.04182370E-02  8.62736E-05      1.04695437E-02  8.63440E-05
      95      1.03414635E-02  8.61673E-05      1.03921747E-02  8.62377E-05  i
      96      1.02655749E-02  8.60610E-05      1.03157024E-02  8.61314E-05  i
      97      1.01905535E-02  8.59542E-05      1.02401089E-02  8.60250E-05  i
      98      1.01163824E-02  8.58464E-05      1.01653769E-02  8.59179E-05  i
      99      1.00430450E-02  8.57378E-05      1.00914896E-02  8.58098E-05  i
     100      9.97052546E-03  8.56287E-05      1.00184305E-02  8.57009E-05  i
     105      9.61966555E-03  8.50836E-05      9.66502100E-03  8.51560E-05  i
     110      9.28709775E-03  8.45269E-05      9.33012564E-03  8.46016E-05  i
     115      8.97126966E-03  8.39560E-05      9.01216357E-03  8.40321E-05  i
     120      8.67082304E-03  8.33766E-05      8.70975281E-03  8.34537E-05  i
     125      8.38456230E-03  8.27897E-05      8.42167782E-03  8.28678E-05  i
     130      8.11142923E-03  8.21960E-05      8.14686346E-03  8.22749E-05  i
     135      7.85048235E-03  8.15960E-05      7.88435386E-03  8.16757E-05  i
     140      7.60088013E-03  8.09902E-05      7.63329510E-03  8.10707E-05  i
     145      7.36186702E-03  8.03792E-05      7.39292095E-03  8.04603E-05  i
     150      7.13276192E-03  7.97633E-05      7.16254106E-03  7.98451E-05  i
     155      6.91294850E-03  7.91431E-05      6.94153102E-03  7.92254E-05  i
     160      6.70186704E-03  7.85189E-05      6.72932403E-03  7.86017E-05  i
     165      6.49900755E-03  7.78911E-05      6.52540390E-03  7.79744E-05  i
     170      6.30390391E-03  7.72601E-05      6.32929897E-03  7.73438E-05  i
     175      6.11612879E-03  7.66263E-05      6.14057706E-03  7.67103E-05  i
     180      5.93528940E-03  7.59900E-05      5.95884104E-03  7.60743E-05  i
