

  **** Partial wave analysis (DPWAI0) ******************************************


  Kinetic energy = 1.00000E+06 eV

              --------- Spin UP ---------      -------- Spin DOWN --------
      L         Re(phase)      Im(phase)         Re(phase)      Im(phase)
  6.250E-03 2.44692E-16  0.000E+00 ( 1.564E-08, 4.887E-10) ( 5.644E-13, 1.764E-14)  1.23E-07
  6.500E-03 2.44666E-16  0.000E+00 ( 1.563E-08, 4.887E-10) ( 5.869E-13, 1.835E-14)  1.23E-07
  6.750E-03 2.44639E-16  0.000E+00 ( 1.563E-08, 4.886E-10) ( 6.094E-13, 1.905E-14)  1.22E-07
  7.000E-03 2.44612E-16  0.000E+00 ( 1.563E-08, 4.886E-10) ( 6.320E-13, 1.975E-14)  1.22E-07
  7.250E-03 2.44583E-16  0.000E+00 ( 1.563E-08, 4.885E-10) ( 6.545E-13, 2.046E-14)  1.21E-07
  7.500E-03 2.44553E-16  0.000E+00 ( 1.563E-08, 4.885E-10) ( 6.770E-13, 2.116E-14)  1.21E-07
  7.750E-03 2.44522E-16  0.000E+00 ( 1.563E-08, 4.884E-10) ( 6.996E-13, 2.186E-14)  1.21E-07
  8.000E-03 2.44490E-16  0.000E+00 ( 1.563E-08, 4.884E-10) ( 7.221E-13, 2.257E-14)  1.20E-07
  8.250E-03 2.44457E-16  0.000E+00 ( 1.563E-08, 4.883E-10) ( 7.446E-13, 2.327E-14)  1.20E-07
  8.500E-03 2.44423E-16  0.000E+00 ( 1.563E-08, 4.883E-10) ( 7.671E-13, 2.397E-14)  1.20E-07
  8.750E-03 2.44388E-16  0.000E+00 ( 1.563E-08, 4.882E-10) ( 7.896E-13, 2.467E-14)  1.19E-07
  9.000E-03 2.44352E-16  0.000E+00 ( 1.562E-08, 4.882E-10) ( 8.121E-13, 2.537E-14)  1.19E-07
  9.250E-03 2.44315E-16  0.000E+00 ( 1.562E-08, 4.881E-10) ( 8.346E-13, 2.608E-14)  1.18E-07
  9.500E-03 2.44277E-16  0.000E+00 ( 1.562E-08, 4.880E-10) ( 8.571E-13, 2.678E-14)  1.18E-07
  9.750E-03 2.44238E-16  0.000E+00 ( 1.562E-08, 4.880E-10) ( 8.796E-13, 2.748E-14)  1.17E-07
  1.000E-02 2.44198E-16  0.000E+00 ( 1.562E-08, 4.879E-10) ( 9.021E-13, 2.818E-14)  1.17E-07
  1.250E-02 2.43742E-16  0.000E+00 ( 1.560E-08, 4.871E-10) ( 1.127E-12, 3.517E-14)  1.11E-07
  1.500E-02 2.43187E-16  0.000E+00 ( 1.559E-08, 4.862E-10) ( 1.350E-12, 4.212E-14)  1.05E-07
  1.750E-02 2.42533E-16  0.000E+00 ( 1.557E-08, 4.851E-10) ( 1.573E-12, 4.903E-14)  1.00E-07
  2.000E-02 2.41782E-16  0.000E+00 ( 1.554E-08, 4.839E-10) ( 1.795E-12, 5.589E-14)  1.00E-07
  2.250E-02 2.40934E-16  0.000E+00 ( 1.551E-08, 4.824E-10) ( 2.016E-12, 6.269E-14)  1.00E-07
  2.500E-02 2.39992E-16  0.000E+00 ( 1.548E-08, 4.809E-10) ( 2.236E-12, 6.943E-14)  1.00E-07
  2.750E-02 2.38956E-16  0.000E+00 ( 1.545E-08, 4.791E-10) ( 2.454E-12, 7.610E-14)  1.00E-07
  3.000E-02 2.37829E-16  0.000E+00 ( 1.541E-08, 4.772E-10) ( 2.671E-12, 8.268E-14)  1.00E-07
  3.250E-02 2.36612E-16  0.000E+00 ( 1.537E-08, 4.752E-10) ( 2.886E-12, 8.919E-14)  1.00E-07
  3.500E-02 2.35308E-16  0.000E+00 ( 1.533E-08, 4.730E-10) ( 3.099E-12, 9.561E-14)  1.00E-07
  3.750E-02 2.33918E-16  0.000E+00 ( 1.529E-08, 4.706E-10) ( 3.311E-12, 1.019E-13)  1.00E-07
  4.000E-02 2.32444E-16  0.000E+00 ( 1.524E-08, 4.681E-10) ( 3.520E-12, 1.081E-13)  1.00E-07
  4.250E-02 2.30890E-16  0.000E+00 ( 1.519E-08, 4.655E-10) ( 3.728E-12, 1.143E-13)  1.00E-07
  4.500E-02 2.29258E-16  0.000E+00 ( 1.513E-08, 4.627E-10) ( 3.933E-12, 1.203E-13)  1.00E-07
  4.750E-02 2.27549E-16  0.000E+00 ( 1.508E-08, 4.598E-10) ( 4.136E-12, 1.261E-13)  1.00E-07
  5.000E-02 2.25767E-16  0.000E+00 ( 1.502E-08, 4.568E-10) ( 4.337E-12, 1.319E-13)  1.00E-07
  5.250E-02 2.23915E-16  0.000E+00 ( 1.496E-08, 4.536E-10) ( 4.535E-12, 1.375E-13)  1.00E-07
  5.500E-02 2.21995E-16  0.000E+00 ( 1.489E-08, 4.503E-10) ( 4.731E-12, 1.430E-13)  1.00E-07
  5.750E-02 2.20010E-16  0.000E+00 ( 1.483E-08, 4.469E-10) ( 4.924E-12, 1.484E-13)  1.00E-07
  6.000E-02 2.17963E-16  0.000E+00 ( 1.476E-08, 4.434E-10) ( 5.114E-12, 1.536E-13)  1.00E-07
  6.250E-02 2.15857E-16  0.000E+00 ( 1.469E-08, 4.397E-10) ( 5.301E-12, 1.587E-13)  1.00E-07
  6.500E-02 2.13695E-16  0.000E+00 ( 1.461E-08, 4.360E-10) ( 5.485E-12, 1.637E-13)  1.00E-07
  6.750E-02 2.11480E-16  0.000E+00 ( 1.454E-08, 4.321E-10) ( 5.667E-12, 1.685E-13)  1.00E-07
  7.000E-02 2.09215E-16  0.000E+00 ( 1.446E-08, 4.282E-10) ( 5.845E-12, 1.731E-13)  1.00E-07
  7.250E-02 2.06904E-16  0.000E+00 ( 1.438E-08, 4.241E-10) ( 6.020E-12, 1.776E-13)  1.00E-07
  7.500E-02 2.04548E-16  0.000E+00 ( 1.430E-08, 4.200E-10) ( 6.192E-12, 1.819E-13)  1.00E-07
  7.750E-02 2.02152E-16  0.000E+00 ( 1.421E-08, 4.158E-10) ( 6.361E-12, 1.861E-13)  1.00E-07
  8.000E-02 1.99718E-16  0.000E+00 ( 1.413E-08, 4.115E-10) ( 6.527E-12, 1.901E-13)  1.00E-07
  8.250E-02 1.97250E-16  0.000E+00 ( 1.404E-08, 4.071E-10) ( 6.689E-12, 1.940E-13)  1.00E-07
  8.500E-02 1.94749E-16  0.000E+00 ( 1.395E-08, 4.027E-10) ( 6.848E-12, 1.977E-13)  1.00E-07
  8.750E-02 1.92220E-16  0.000E+00 ( 1.386E-08, 3.982E-10) ( 7.003E-12, 2.012E-13)  1.00E-07
  9.000E-02 1.89666E-16  0.000E+00 ( 1.377E-08, 3.936E-10) ( 7.156E-12, 2.046E-13)  1.00E-07
  9.250E-02 1.87088E-16  0.000E+00 ( 1.367E-08, 3.890E-10) ( 7.304E-12, 2.078E-13)  1.00E-07
  9.500E-02 1.84491E-16  0.000E+00 ( 1.358E-08, 3.843E-10) ( 7.449E-12, 2.109E-13)  1.00E-07
  9.750E-02 1.81876E-16  0.000E+00 ( 1.348E-08, 3.796E-10) ( 7.591E-12, 2.137E-13)  1.00E-07
  1.000E-01 1.79247E-16  0.000E+00 ( 1.338E-08, 3.748E-10) ( 7.729E-12, 2.165E-13)  1.00E-07
  1.250E-01 1.52715E-16  0.000E+00 ( 1.235E-08, 3.257E-10) ( 8.918E-12, 2.351E-13)  1.00E-07
  1.500E-01 1.27206E-16  0.000E+00 ( 1.128E-08, 2.767E-10) ( 9.768E-12, 2.397E-13)  1.00E-07
  1.750E-01 1.04161E-16  0.000E+00 ( 1.020E-08, 2.309E-10) ( 1.031E-11, 2.334E-13)  1.00E-07
  2.000E-01 8.42694E-17  0.000E+00 ( 9.178E-09, 1.905E-10) ( 1.060E-11, 2.200E-13)  1.00E-07
  2.250E-01 6.76577E-17  0.000E+00 ( 8.224E-09, 1.563E-10) ( 1.069E-11, 2.031E-13)  1.00E-07
  2.500E-01 5.41060E-17  0.000E+00 ( 7.355E-09, 1.285E-10) ( 1.062E-11, 1.855E-13)  1.00E-07
  2.750E-01 4.32255E-17  0.000E+00 ( 6.574E-09, 1.067E-10) ( 1.044E-11, 1.694E-13)  1.00E-07
  3.000E-01 3.45778E-17  0.000E+00 ( 5.880E-09, 9.010E-11) ( 1.019E-11, 1.561E-13)  1.00E-07
  3.250E-01 2.77438E-17  0.000E+00 ( 5.267E-09, 7.779E-11) ( 9.886E-12, 1.460E-13)  1.00E-07
  3.500E-01 2.23555E-17  0.000E+00 ( 4.728E-09, 6.880E-11) ( 9.557E-12, 1.391E-13)  1.00E-07
  3.750E-01 1.81063E-17  0.000E+00 ( 4.255E-09, 6.225E-11) ( 9.215E-12, 1.348E-13)  1.00E-07
  4.000E-01 1.47481E-17  0.000E+00 ( 3.840E-09, 5.740E-11) ( 8.871E-12, 1.326E-13)  1.00E-07
  4.250E-01 1.20850E-17  0.000E+00 ( 3.476E-09, 5.365E-11) ( 8.532E-12, 1.317E-13)  1.00E-07
  4.500E-01 9.96390E-18  0.000E+00 ( 3.156E-09, 5.058E-11) ( 8.203E-12, 1.315E-13)  1.00E-07
  4.750E-01 8.26588E-18  0.000E+00 ( 2.875E-09, 4.790E-11) ( 7.886E-12, 1.314E-13)  1.00E-07
  5.000E-01 6.89912E-18  0.000E+00 ( 2.626E-09, 4.543E-11) ( 7.584E-12, 1.312E-13)  1.00E-07
  5.250E-01 5.79275E-18  0.000E+00 ( 2.406E-09, 4.308E-11) ( 7.297E-12, 1.306E-13)  1.00E-07
  5.500E-01 4.89198E-18  0.000E+00 ( 2.211E-09, 4.083E-11) ( 7.025E-12, 1.297E-13)  1.00E-07
  5.750E-01 4.15435E-18  0.000E+00 ( 2.038E-09, 3.867E-11) ( 6.768E-12, 1.284E-13)  1.00E-07
  6.000E-01 3.54685E-18  0.000E+00 ( 1.883E-09, 3.662E-11) ( 6.525E-12, 1.269E-13)  1.00E-07
  6.250E-01 3.04371E-18  0.000E+00 ( 1.744E-09, 3.469E-11) ( 6.296E-12, 1.252E-13)  1.00E-07
  6.500E-01 2.62473E-18  0.000E+00 ( 1.620E-09, 3.291E-11) ( 6.081E-12, 1.235E-13)  1.00E-07
  6.750E-01 2.27399E-18  0.000E+00 ( 1.508E-09, 3.127E-11) ( 5.878E-12, 1.219E-13)  1.00E-07
  7.000E-01 1.97886E-18  0.000E+00 ( 1.406E-09, 2.977E-11) ( 5.686E-12, 1.204E-13)  1.00E-07
  7.250E-01 1.72932E-18  0.000E+00 ( 1.315E-09, 2.841E-11) ( 5.505E-12, 1.190E-13)  1.00E-07
  7.500E-01 1.51731E-18  0.000E+00 ( 1.231E-09, 2.716E-11) ( 5.334E-12, 1.177E-13)  1.00E-07
  7.750E-01 1.33639E-18  0.000E+00 ( 1.156E-09, 2.602E-11) ( 5.173E-12, 1.165E-13)  1.00E-07
  8.000E-01 1.18131E-18  0.000E+00 ( 1.087E-09, 2.497E-11) ( 5.021E-12, 1.154E-13)  1.00E-07
  8.250E-01 1.04783E-18  0.000E+00 ( 1.023E-09, 2.400E-11) ( 4.876E-12, 1.143E-13)  1.00E-07
  8.500E-01 9.32497E-19  0.000E+00 ( 9.654E-10, 2.309E-11) ( 4.739E-12, 1.134E-13)  1.00E-07
  8.750E-01 8.32452E-19  0.000E+00 ( 9.121E-10, 2.225E-11) ( 4.609E-12, 1.124E-13)  1.00E-07
  9.000E-01 7.45356E-19  0.000E+00 ( 8.631E-10, 2.146E-11) ( 4.486E-12, 1.115E-13)  1.00E-07
  9.250E-01 6.69269E-19  0.000E+00 ( 8.178E-10, 2.070E-11) ( 4.369E-12, 1.106E-13)  1.00E-07
  9.500E-01 6.02576E-19  0.000E+00 ( 7.760E-10, 1.998E-11) ( 4.258E-12, 1.096E-13)  1.00E-07
  9.750E-01 5.43932E-19  0.000E+00 ( 7.373E-10, 1.929E-11) ( 4.152E-12, 1.086E-13)  1.00E-07
  1.000E+00 4.92207E-19  0.000E+00 ( 7.013E-10, 1.862E-11) ( 4.051E-12, 1.075E-13)  1.00E-07
  1.100E+00 3.37567E-19  0.000E+00 ( 5.808E-10, 1.616E-11) ( 3.690E-12, 1.026E-13)  1.00E-07
  1.200E+00 2.38991E-19  0.000E+00 ( 4.886E-10, 1.420E-11) ( 3.387E-12, 9.844E-14)  1.00E-07
  1.300E+00 1.73835E-19  0.000E+00 ( 4.167E-10, 1.274E-11) ( 3.129E-12, 9.564E-14)  1.00E-07
  1.400E+00 1.29407E-19  0.000E+00 ( 3.595E-10, 1.141E-11) ( 2.907E-12, 9.225E-14)  1.00E-07
  1.500E+00 9.82868E-20  0.000E+00 ( 3.133E-10, 1.017E-11) ( 2.715E-12, 8.815E-14)  1.00E-07
  1.600E+00 7.59757E-20  0.000E+00 ( 2.755E-10, 9.253E-12) ( 2.546E-12, 8.550E-14)  1.00E-07
  1.700E+00 5.96466E-20  0.000E+00 ( 2.441E-10, 8.506E-12) ( 2.396E-12, 8.351E-14)  1.00E-07
  1.800E+00 4.74732E-20  0.000E+00 ( 2.177E-10, 7.724E-12) ( 2.264E-12, 8.029E-14)  1.00E-07
  1.900E+00 3.82511E-20  0.000E+00 ( 1.954E-10, 7.053E-12) ( 2.145E-12, 7.740E-14)  1.00E-07
  2.000E+00 3.11638E-20  0.000E+00 ( 1.764E-10, 6.574E-12) ( 2.038E-12, 7.594E-14)  1.00E-07
  2.100E+00 2.56433E-20  0.000E+00 ( 1.600E-10, 6.092E-12) ( 1.941E-12, 7.389E-14)  1.00E-07
  2.200E+00 2.12916E-20  0.000E+00 ( 1.458E-10, 5.594E-12) ( 1.853E-12, 7.108E-14)  1.00E-07
  2.300E+00 1.78257E-20  0.000E+00 ( 1.334E-10, 5.232E-12) ( 1.772E-12, 6.950E-14)  1.00E-07
  2.400E+00 1.50372E-20  0.000E+00 ( 1.225E-10, 4.933E-12) ( 1.698E-12, 6.838E-14)  1.00E-07
  2.500E+00 1.27725E-20  0.000E+00 ( 1.129E-10, 4.580E-12) ( 1.630E-12, 6.613E-14)  1.00E-07
  2.600E+00 1.09185E-20  0.000E+00 ( 1.044E-10, 4.274E-12) ( 1.568E-12, 6.419E-14)  1.00E-07
  2.700E+00 9.38953E-21  0.000E+00 ( 9.680E-11, 4.066E-12) ( 1.510E-12, 6.339E-14)  1.00E-07
  2.800E+00 8.11875E-21  0.000E+00 ( 9.001E-11, 3.833E-12) ( 1.456E-12, 6.197E-14)  1.00E-07
  2.900E+00 7.05554E-21  0.000E+00 ( 8.391E-11, 3.579E-12) ( 1.406E-12, 5.993E-14)  1.00E-07
  3.000E+00 6.16113E-21  0.000E+00 ( 7.841E-11, 3.401E-12) ( 1.359E-12, 5.893E-14)  1.00E-07
  3.100E+00 5.40414E-21  0.000E+00 ( 7.343E-11, 3.250E-12) ( 1.315E-12, 5.819E-14)  1.00E-07
  3.200E+00 4.75960E-21  0.000E+00 ( 6.891E-11, 3.057E-12) ( 1.274E-12, 5.649E-14)  1.00E-07
  3.300E+00 4.20841E-21  0.000E+00 ( 6.480E-11, 2.892E-12) ( 1.235E-12, 5.511E-14)  1.00E-07
  3.400E+00 3.73497E-21  0.000E+00 ( 6.104E-11, 2.783E-12) ( 1.199E-12, 5.463E-14)  1.00E-07
  3.500E+00 3.32612E-21  0.000E+00 ( 5.760E-11, 2.650E-12) ( 1.164E-12, 5.356E-14)  1.00E-07
  3.600E+00 2.97159E-21  0.000E+00 ( 5.444E-11, 2.503E-12) ( 1.132E-12, 5.205E-14)  1.00E-07
  3.700E+00 2.66323E-21  0.000E+00 ( 5.154E-11, 2.406E-12) ( 1.102E-12, 5.141E-14)  1.00E-07
  3.800E+00 2.39388E-21  0.000E+00 ( 4.886E-11, 2.318E-12) ( 1.072E-12, 5.086E-14)  1.00E-07
  3.900E+00 2.15758E-21  0.000E+00 ( 4.639E-11, 2.200E-12) ( 1.045E-12, 4.953E-14)  1.00E-07
  4.000E+00 1.94977E-21  0.000E+00 ( 4.409E-11, 2.102E-12) ( 1.019E-12, 4.855E-14)  1.00E-07
  4.100E+00 1.76649E-21  0.000E+00 ( 4.197E-11, 2.036E-12) ( 9.940E-13, 4.822E-14)  1.00E-07
  4.200E+00 1.60417E-21  0.000E+00 ( 3.999E-11, 1.951E-12) ( 9.703E-13, 4.733E-14)  1.00E-07
  4.300E+00 1.46002E-21  0.000E+00 ( 3.815E-11, 1.859E-12) ( 9.477E-13, 4.616E-14)  1.00E-07
  4.400E+00 1.33180E-21  0.000E+00 ( 3.644E-11, 1.799E-12) ( 9.261E-13, 4.571E-14)  1.00E-07
  4.500E+00 1.21734E-21  0.000E+00 ( 3.484E-11, 1.741E-12) ( 9.055E-13, 4.525E-14)  1.00E-07
  4.600E+00 1.11485E-21  0.000E+00 ( 3.334E-11, 1.664E-12) ( 8.858E-13, 4.420E-14)  1.00E-07
  4.700E+00 1.02296E-21  0.000E+00 ( 3.193E-11, 1.604E-12) ( 8.669E-13, 4.353E-14)  1.00E-07
  4.800E+00 9.40381E-22  0.000E+00 ( 3.061E-11, 1.561E-12) ( 8.489E-13, 4.327E-14)  1.00E-07
  4.900E+00 8.65920E-22  0.000E+00 ( 2.938E-11, 1.501E-12) ( 8.315E-13, 4.248E-14)  1.00E-07
  5.000E+00 7.98672E-22  0.000E+00 ( 2.821E-11, 1.441E-12) ( 8.149E-13, 4.160E-14)  1.00E-07
  5.100E+00 7.37877E-22  0.000E+00 ( 2.712E-11, 1.403E-12) ( 7.989E-13, 4.131E-14)  1.00E-07
  5.200E+00 6.82746E-22  0.000E+00 ( 2.608E-11, 1.361E-12) ( 7.835E-13, 4.088E-14)  1.00E-07
  5.300E+00 6.32632E-22  0.000E+00 ( 2.511E-11, 1.307E-12) ( 7.687E-13, 4.001E-14)  1.00E-07
  5.400E+00 5.87061E-22  0.000E+00 ( 2.418E-11, 1.268E-12) ( 7.544E-13, 3.954E-14)  1.00E-07
  5.500E+00 5.45538E-22  0.000E+00 ( 2.331E-11, 1.238E-12) ( 7.407E-13, 3.932E-14)  1.00E-07
  5.600E+00 5.07590E-22  0.000E+00 ( 2.249E-11, 1.195E-12) ( 7.274E-13, 3.862E-14)  1.00E-07
  5.700E+00 4.72883E-22  0.000E+00 ( 2.170E-11, 1.154E-12) ( 7.146E-13, 3.796E-14)  1.00E-07
  5.800E+00 4.41119E-22  0.000E+00 ( 2.096E-11, 1.127E-12) ( 7.023E-13, 3.776E-14)  1.00E-07
  5.900E+00 4.11965E-22  0.000E+00 ( 2.026E-11, 1.095E-12) ( 6.904E-13, 3.732E-14)  1.00E-07
  6.000E+00 3.85164E-22  0.000E+00 ( 1.959E-11, 1.057E-12) ( 6.789E-13, 3.660E-14)  1.00E-07
  6.100E+00 3.60528E-22  0.000E+00 ( 1.895E-11, 1.031E-12) ( 6.677E-13, 3.629E-14)  1.00E-07
  6.200E+00 3.37835E-22  0.000E+00 ( 1.834E-11, 1.008E-12) ( 6.569E-13, 3.608E-14)  1.00E-07
  6.300E+00 3.16879E-22  0.000E+00 ( 1.776E-11, 9.752E-13) ( 6.465E-13, 3.546E-14)  1.00E-07
  6.400E+00 2.97529E-22  0.000E+00 ( 1.721E-11, 9.469E-13) ( 6.363E-13, 3.498E-14)  1.00E-07
  6.500E+00 2.79646E-22  0.000E+00 ( 1.669E-11, 9.275E-13) ( 6.265E-13, 3.484E-14)  1.00E-07
  6.600E+00 2.63076E-22  0.000E+00 ( 1.618E-11, 9.022E-13) ( 6.170E-13, 3.438E-14)  1.00E-07
  6.700E+00 2.47709E-22  0.000E+00 ( 1.570E-11, 8.744E-13) ( 6.078E-13, 3.379E-14)  1.00E-07
  6.800E+00 2.33461E-22  0.000E+00 ( 1.524E-11, 8.558E-13) ( 5.988E-13, 3.360E-14)  1.00E-07
  6.900E+00 2.20221E-22  0.000E+00 ( 1.480E-11, 8.370E-13) ( 5.901E-13, 3.338E-14)  1.00E-07
  7.000E+00 2.07896E-22  0.000E+00 ( 1.438E-11, 8.121E-13) ( 5.817E-13, 3.280E-14)  1.00E-07
  7.100E+00 1.96427E-22  0.000E+00 ( 1.398E-11, 7.921E-13) ( 5.735E-13, 3.245E-14)  1.00E-07
  7.200E+00 1.85744E-22  0.000E+00 ( 1.359E-11, 7.771E-13) ( 5.655E-13, 3.234E-14)  1.00E-07
  7.300E+00 1.75770E-22  0.000E+00 ( 1.322E-11, 7.570E-13) ( 5.577E-13, 3.190E-14)  1.00E-07
  7.400E+00 1.66455E-22  0.000E+00 ( 1.287E-11, 7.368E-13) ( 5.502E-13, 3.142E-14)  1.00E-07
  7.500E+00 1.57756E-22  0.000E+00 ( 1.253E-11, 7.226E-13) ( 5.428E-13, 3.132E-14)  1.00E-07
  7.600E+00 1.49615E-22  0.000E+00 ( 1.220E-11, 7.073E-13) ( 5.356E-13, 3.109E-14)  1.00E-07
  7.700E+00 1.41988E-22  0.000E+00 ( 1.188E-11, 6.887E-13) ( 5.287E-13, 3.057E-14)  1.00E-07
  7.800E+00 1.34845E-22  0.000E+00 ( 1.158E-11, 6.739E-13) ( 5.219E-13, 3.031E-14)  1.00E-07
  7.900E+00 1.28147E-22  0.000E+00 ( 1.129E-11, 6.609E-13) ( 5.152E-13, 3.021E-14)  1.00E-07
  8.000E+00 1.21856E-22  0.000E+00 ( 1.101E-11, 6.450E-13) ( 5.088E-13, 2.979E-14)  1.00E-07
  8.100E+00 1.15946E-22  0.000E+00 ( 1.074E-11, 6.303E-13) ( 5.025E-13, 2.940E-14)  1.00E-07
  8.200E+00 1.10394E-22  0.000E+00 ( 1.048E-11, 6.187E-13) ( 4.963E-13, 2.933E-14)  1.00E-07
  8.300E+00 1.05168E-22  0.000E+00 ( 1.023E-11, 6.059E-13) ( 4.903E-13, 2.909E-14)  1.00E-07
  8.400E+00 1.00246E-22  0.000E+00 ( 9.983E-12, 5.922E-13) ( 4.845E-13, 2.864E-14)  1.00E-07
  8.500E+00 9.56108E-23  0.000E+00 ( 9.749E-12, 5.804E-13) ( 4.788E-13, 2.845E-14)  1.00E-07
  8.600E+00 9.12401E-23  0.000E+00 ( 9.523E-12, 5.691E-13) ( 4.732E-13, 2.835E-14)  1.00E-07
  8.700E+00 8.71154E-23  0.000E+00 ( 9.305E-12, 5.573E-13) ( 4.677E-13, 2.798E-14)  1.00E-07
  8.800E+00 8.32217E-23  0.000E+00 ( 9.094E-12, 5.465E-13) ( 4.624E-13, 2.767E-14)  1.00E-07
  8.900E+00 7.95432E-23  0.000E+00 ( 8.891E-12, 5.360E-13) ( 4.572E-13, 2.759E-14)  1.00E-07
  9.000E+00 7.60650E-23  0.000E+00 ( 8.694E-12, 5.253E-13) ( 4.521E-13, 2.736E-14)  1.00E-07
  9.100E+00 7.27753E-23  0.000E+00 ( 8.503E-12, 5.153E-13) ( 4.471E-13, 2.699E-14)  1.00E-07
  9.200E+00 6.96615E-23  0.000E+00 ( 8.319E-12, 5.058E-13) ( 4.422E-13, 2.683E-14)  1.00E-07
  9.300E+00 6.67121E-23  0.000E+00 ( 8.141E-12, 4.960E-13) ( 4.374E-13, 2.672E-14)  1.00E-07
  9.400E+00 6.39175E-23  0.000E+00 ( 7.968E-12, 4.870E-13) ( 4.327E-13, 2.640E-14)  1.00E-07
  9.500E+00 6.12677E-23  0.000E+00 ( 7.801E-12, 4.783E-13) ( 4.282E-13, 2.615E-14)  1.00E-07
  9.600E+00 5.87530E-23  0.000E+00 ( 7.639E-12, 4.690E-13) ( 4.237E-13, 2.604E-14)  1.00E-07
  9.700E+00 5.63664E-23  0.000E+00 ( 7.482E-12, 4.605E-13) ( 4.193E-13, 2.583E-14)  1.00E-07
  9.800E+00 5.41004E-23  0.000E+00 ( 7.330E-12, 4.529E-13) ( 4.150E-13, 2.554E-14)  1.00E-07
  9.900E+00 5.19462E-23  0.000E+00 ( 7.182E-12, 4.446E-13) ( 4.108E-13, 2.539E-14)  1.00E-07
  1.000E+01 4.98981E-23  0.000E+00 ( 7.039E-12, 4.364E-13) ( 4.067E-13, 2.526E-14)  1.00E-07
  1.025E+01 4.52037E-23  0.000E+00 ( 6.699E-12, 4.184E-13) ( 3.967E-13, 2.475E-14)  1.00E-07
  1.050E+01 4.10481E-23  0.000E+00 ( 6.383E-12, 4.012E-13) ( 3.872E-13, 2.426E-14)  1.00E-07
  1.075E+01 3.73586E-23  0.000E+00 ( 6.088E-12, 3.844E-13) ( 3.782E-13, 2.387E-14)  1.00E-07
  1.100E+01 3.40745E-23  0.000E+00 ( 5.814E-12, 3.689E-13) ( 3.695E-13, 2.346E-14)  1.00E-07
  1.125E+01 3.11438E-23  0.000E+00 ( 5.558E-12, 3.550E-13) ( 3.613E-13, 2.303E-14)  1.00E-07
  1.150E+01 2.85211E-23  0.000E+00 ( 5.318E-12, 3.416E-13) ( 3.534E-13, 2.264E-14)  1.00E-07
  1.175E+01 2.61684E-23  0.000E+00 ( 5.093E-12, 3.285E-13) ( 3.458E-13, 2.229E-14)  1.00E-07
  1.200E+01 2.40534E-23  0.000E+00 ( 4.882E-12, 3.165E-13) ( 3.385E-13, 2.192E-14)  1.00E-07
  1.225E+01 2.21479E-23  0.000E+00 ( 4.684E-12, 3.053E-13) ( 3.316E-13, 2.157E-14)  1.00E-07
  1.250E+01 2.04272E-23  0.000E+00 ( 4.498E-12, 2.946E-13) ( 3.249E-13, 2.124E-14)  1.00E-07
  1.275E+01 1.88701E-23  0.000E+00 ( 4.323E-12, 2.842E-13) ( 3.185E-13, 2.092E-14)  1.00E-07
  1.300E+01 1.74588E-23  0.000E+00 ( 4.158E-12, 2.747E-13) ( 3.123E-13, 2.061E-14)  1.00E-07
  1.325E+01 1.61768E-23  0.000E+00 ( 4.001E-12, 2.656E-13) ( 3.064E-13, 2.030E-14)  1.00E-07
  1.350E+01 1.50102E-23  0.000E+00 ( 3.854E-12, 2.568E-13) ( 3.006E-13, 2.000E-14)  1.00E-07
  1.375E+01 1.39469E-23  0.000E+00 ( 3.715E-12, 2.485E-13) ( 2.951E-13, 1.972E-14)  1.00E-07
  1.400E+01 1.29761E-23  0.000E+00 ( 3.582E-12, 2.408E-13) ( 2.898E-13, 1.944E-14)  1.00E-07
  1.425E+01 1.20881E-23  0.000E+00 ( 3.457E-12, 2.333E-13) ( 2.847E-13, 1.917E-14)  1.00E-07
  1.450E+01 1.12748E-23  0.000E+00 ( 3.338E-12, 2.260E-13) ( 2.797E-13, 1.891E-14)  1.00E-07
  1.475E+01 1.05287E-23  0.000E+00 ( 3.226E-12, 2.193E-13) ( 2.749E-13, 1.866E-14)  1.00E-07
  1.500E+01 9.84331E-24  0.000E+00 ( 3.118E-12, 2.128E-13) ( 2.703E-13, 1.841E-14)  1.00E-07
  1.525E+01 9.21269E-24  0.000E+00 ( 3.016E-12, 2.066E-13) ( 2.658E-13, 1.817E-14)  1.00E-07
  1.550E+01 8.63174E-24  0.000E+00 ( 2.919E-12, 2.007E-13) ( 2.615E-13, 1.794E-14)  1.00E-07
  1.575E+01 8.09585E-24  0.000E+00 ( 2.827E-12, 1.950E-13) ( 2.573E-13, 1.771E-14)  1.00E-07
  1.600E+01 7.60082E-24  0.000E+00 ( 2.739E-12, 1.895E-13) ( 2.532E-13, 1.749E-14)  1.00E-07
  1.625E+01 7.14305E-24  0.000E+00 ( 2.655E-12, 1.843E-13) ( 2.493E-13, 1.728E-14)  1.00E-07
  1.650E+01 6.71920E-24  0.000E+00 ( 2.574E-12, 1.794E-13) ( 2.454E-13, 1.707E-14)  1.00E-07
  1.675E+01 6.32628E-24  0.000E+00 ( 2.497E-12, 1.746E-13) ( 2.417E-13, 1.686E-14)  1.00E-07
  1.700E+01 5.96163E-24  0.000E+00 ( 2.424E-12, 1.700E-13) ( 2.381E-13, 1.666E-14)  1.00E-07
  1.725E+01 5.62284E-24  0.000E+00 ( 2.354E-12, 1.656E-13) ( 2.346E-13, 1.647E-14)  1.00E-07
