 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 3.5000000E+01 eV
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #    molecular polarizability = 1.45700E-24 cm**3
 #
 # LDA-I absorption potential (only electron-hole excitations):
 #                           Delta = 6.20000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 1.6661974E-15  9.6675049E-16
 # 1st transport cs: 5.6411171E-16  5.1348428E-16
 # 2nd transport cs: 6.2861984E-16  5.0475693E-16
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  7.000000E-03  3.731563E-09  2.881984E-15  9.814930E-16 -2.339217E-08
  7.250000E-03  4.002863E-09  2.881984E-15  9.814929E-16 -2.422760E-08
  7.500000E-03  4.283682E-09  2.881983E-15  9.814928E-16 -2.506304E-08
  7.750000E-03  4.574021E-09  2.881983E-15  9.814927E-16 -2.589848E-08
  8.000000E-03  4.873879E-09  2.881983E-15  9.814927E-16 -2.673391E-08
  8.250000E-03  5.183256E-09  2.881983E-15  9.814926E-16 -2.756935E-08
  8.500000E-03  5.502152E-09  2.881982E-15  9.814925E-16 -2.840479E-08
  8.750000E-03  5.830568E-09  2.881982E-15  9.814924E-16 -2.924022E-08
  9.000000E-03  6.168503E-09  2.881982E-15  9.814923E-16 -3.007566E-08
  9.250000E-03  6.515957E-09  2.881981E-15  9.814922E-16 -3.091110E-08
  9.500000E-03  6.872931E-09  2.881981E-15  9.814921E-16 -3.174653E-08
  9.750000E-03  7.239423E-09  2.881981E-15  9.814920E-16 -3.258197E-08
  1.000000E-02  7.615435E-09  2.881980E-15  9.814919E-16 -3.341741E-08
  1.250000E-02  1.189912E-08  2.881977E-15  9.814906E-16 -4.177180E-08
  1.500000E-02  1.713473E-08  2.881972E-15  9.814890E-16 -5.012621E-08
  1.750000E-02  2.332227E-08  2.881966E-15  9.814872E-16 -5.848065E-08
  2.000000E-02  3.046174E-08  2.881960E-15  9.814851E-16 -6.683512E-08
  2.250000E-02  3.855314E-08  2.881953E-15  9.814827E-16 -7.518963E-08
  2.500000E-02  4.759647E-08  2.881944E-15  9.814801E-16 -8.354418E-08
  2.750000E-02  5.759173E-08  2.881935E-15  9.814771E-16 -9.189879E-08
  3.000000E-02  6.853892E-08  2.881926E-15  9.814739E-16 -1.002534E-07
  3.250000E-02  8.043804E-08  2.881915E-15  9.814704E-16 -1.086081E-07
  3.500000E-02  9.328908E-08  2.881903E-15  9.814666E-16 -1.169629E-07
  3.750000E-02  1.070921E-07  2.881891E-15  9.814625E-16 -1.253178E-07
  4.000000E-02  1.218470E-07  2.881878E-15  9.814582E-16 -1.336727E-07
  4.250000E-02  1.375538E-07  2.881864E-15  9.814536E-16 -1.420277E-07
  4.500000E-02  1.542126E-07  2.881849E-15  9.814487E-16 -1.503827E-07
  4.750000E-02  1.718233E-07  2.881833E-15  9.814435E-16 -1.587379E-07
  5.000000E-02  1.903859E-07  2.881816E-15  9.814380E-16 -1.670931E-07
  5.250000E-02  2.099004E-07  2.881798E-15  9.814323E-16 -1.754484E-07
  5.500000E-02  2.303669E-07  2.881780E-15  9.814262E-16 -1.838039E-07
  5.750000E-02  2.517853E-07  2.881761E-15  9.814199E-16 -1.921594E-07
  6.000000E-02  2.741557E-07  2.881741E-15  9.814134E-16 -2.005151E-07
  6.250000E-02  2.974779E-07  2.881720E-15  9.814065E-16 -2.088708E-07
  6.500000E-02  3.217521E-07  2.881698E-15  9.813994E-16 -2.172267E-07
  6.750000E-02  3.469782E-07  2.881675E-15  9.813919E-16 -2.255827E-07
  7.000000E-02  3.731563E-07  2.881652E-15  9.813842E-16 -2.339388E-07
  7.250000E-02  4.002863E-07  2.881627E-15  9.813763E-16 -2.422951E-07
  7.500000E-02  4.283682E-07  2.881602E-15  9.813680E-16 -2.506515E-07
  7.750000E-02  4.574020E-07  2.881576E-15  9.813595E-16 -2.590080E-07
  8.000000E-02  4.873878E-07  2.881549E-15  9.813506E-16 -2.673647E-07
  8.250000E-02  5.183255E-07  2.881521E-15  9.813415E-16 -2.757216E-07
  8.500000E-02  5.502151E-07  2.881493E-15  9.813322E-16 -2.840786E-07
  8.750000E-02  5.830567E-07  2.881463E-15  9.813225E-16 -2.924357E-07
  9.000000E-02  6.168501E-07  2.881433E-15  9.813126E-16 -3.007930E-07
