 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 8.0000000E+01 eV
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #    molecular polarizability = 1.45700E-24 cm**3
 #
 # LDA-I absorption potential (only electron-hole excitations):
 #                           Delta = 6.20000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 8.6532902E-16  5.1403592E-16
 # 1st transport cs: 2.1664832E-16  2.0464176E-16
 # 2nd transport cs: 2.3277648E-16  1.9515358E-16
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  0.000000E+00  0.000000E+00  2.977113E-15  1.072445E-15  0.000000E+00
  1.000000E-04  7.615575E-13  2.977113E-15  1.072445E-15 -7.589675E-11
  1.250000E-04  1.189937E-12  2.977113E-15  1.072445E-15 -9.487093E-11
  1.500000E-04  1.713463E-12  2.977113E-15  1.072445E-15 -1.138451E-10
  1.750000E-04  2.332246E-12  2.977113E-15  1.072445E-15 -1.328193E-10
  2.000000E-04  3.046174E-12  2.977113E-15  1.072445E-15 -1.517935E-10
  2.250000E-04  3.855305E-12  2.977113E-15  1.072445E-15 -1.707677E-10
  2.500000E-04  4.759637E-12  2.977113E-15  1.072445E-15 -1.897419E-10
  2.750000E-04  5.759171E-12  2.977113E-15  1.072445E-15 -2.087161E-10
  3.000000E-04  6.853906E-12  2.977113E-15  1.072445E-15 -2.276902E-10
  3.250000E-04  8.043788E-12  2.977113E-15  1.072445E-15 -2.466644E-10
  3.500000E-04  9.328927E-12  2.977113E-15  1.072445E-15 -2.656386E-10
  3.750000E-04  1.070921E-11  2.977113E-15  1.072445E-15 -2.846128E-10
  4.000000E-04  1.218470E-11  2.977113E-15  1.072445E-15 -3.035870E-10
  4.250000E-04  1.375539E-11  2.977113E-15  1.072445E-15 -3.225612E-10
  4.500000E-04  1.542128E-11  2.977113E-15  1.072445E-15 -3.415354E-10
  4.750000E-04  1.718231E-11  2.977113E-15  1.072445E-15 -3.605096E-10
