 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 7.5000000E+01 eV
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #    molecular polarizability = 1.45700E-24 cm**3
 #
 # LDA-I absorption potential (only electron-hole excitations):
 #                           Delta = 6.20000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 9.4227604E-16  5.5582738E-16
 # 1st transport cs: 2.4127909E-16  2.2692794E-16
 # 2nd transport cs: 2.5760345E-16  2.1328291E-16
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  0.000000E+00  0.000000E+00  3.065180E-15  1.097295E-15  0.000000E+00
  1.000000E-04  7.615575E-13  3.065180E-15  1.097295E-15 -9.803132E-11
  1.250000E-04  1.189937E-12  3.065180E-15  1.097295E-15 -1.225391E-10
  1.500000E-04  1.713463E-12  3.065180E-15  1.097295E-15 -1.470470E-10
  1.750000E-04  2.332246E-12  3.065180E-15  1.097295E-15 -1.715548E-10
  2.000000E-04  3.046174E-12  3.065180E-15  1.097295E-15 -1.960626E-10
  2.250000E-04  3.855305E-12  3.065180E-15  1.097295E-15 -2.205705E-10
  2.500000E-04  4.759637E-12  3.065180E-15  1.097295E-15 -2.450783E-10
  2.750000E-04  5.759171E-12  3.065180E-15  1.097295E-15 -2.695861E-10
  3.000000E-04  6.853906E-12  3.065180E-15  1.097295E-15 -2.940940E-10
  3.250000E-04  8.043788E-12  3.065180E-15  1.097295E-15 -3.186018E-10
  3.500000E-04  9.328927E-12  3.065180E-15  1.097295E-15 -3.431096E-10
  3.750000E-04  1.070921E-11  3.065180E-15  1.097295E-15 -3.676174E-10
  4.000000E-04  1.218470E-11  3.065180E-15  1.097295E-15 -3.921253E-10
  4.250000E-04  1.375539E-11  3.065180E-15  1.097295E-15 -4.166331E-10
  4.500000E-04  1.542128E-11  3.065180E-15  1.097295E-15 -4.411409E-10
  4.750000E-04  1.718231E-11  3.065180E-15  1.097295E-15 -4.656488E-10
  5.000000E-04  1.903860E-11  3.065180E-15  1.097295E-15 -4.901566E-10
  5.250000E-04  2.099004E-11  3.065180E-15  1.097295E-15 -5.146644E-10
  5.500000E-04  2.303668E-11  3.065180E-15  1.097295E-15 -5.391723E-10
  5.750000E-04  2.517853E-11  3.065180E-15  1.097295E-15 -5.636801E-10
  6.000000E-04  2.741557E-11  3.065180E-15  1.097295E-15 -5.881879E-10
  6.250000E-04  2.974782E-11  3.065180E-15  1.097295E-15 -6.126957E-10
