 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 7.0000000E+02 eV
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #    molecular polarizability = 1.45700E-24 cm**3
 #
 # LDA-I absorption potential (only electron-hole excitations):
 #                           Delta = 6.20000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 1.0217934E-16  7.7975056E-17
 # 1st transport cs: 9.3704480E-18  9.3118704E-18
 # 2nd transport cs: 1.7607464E-17  1.7442522E-17
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  7.500000E-03  4.283682E-09  1.838801E-15  7.511598E-16  1.022136E-08
  7.750000E-03  4.574021E-09  1.838799E-15  7.511591E-16  1.056207E-08
  8.000000E-03  4.873879E-09  1.838797E-15  7.511584E-16  1.090278E-08
  8.250000E-03  5.183256E-09  1.838795E-15  7.511576E-16  1.124349E-08
  8.500000E-03  5.502152E-09  1.838793E-15  7.511569E-16  1.158419E-08
  8.750000E-03  5.830568E-09  1.838791E-15  7.511561E-16  1.192490E-08
  9.000000E-03  6.168503E-09  1.838788E-15  7.511553E-16  1.226561E-08
  9.250000E-03  6.515957E-09  1.838786E-15  7.511544E-16  1.260631E-08
  9.500000E-03  6.872931E-09  1.838783E-15  7.511536E-16  1.294702E-08
  9.750000E-03  7.239423E-09  1.838781E-15  7.511527E-16  1.328773E-08
  1.000000E-02  7.615435E-09  1.838778E-15  7.511518E-16  1.362843E-08
  1.250000E-02  1.189912E-08  1.838749E-15  7.511415E-16  1.703546E-08
  1.500000E-02  1.713473E-08  1.838713E-15  7.511289E-16  2.044243E-08
  1.750000E-02  2.332227E-08  1.838670E-15  7.511140E-16  2.384934E-08
  2.000000E-02  3.046174E-08  1.838621E-15  7.510968E-16  2.725617E-08
  2.250000E-02  3.855314E-08  1.838565E-15  7.510773E-16  3.066291E-08
  2.500000E-02  4.759647E-08  1.838502E-15  7.510555E-16  3.406956E-08
  2.750000E-02  5.759173E-08  1.838434E-15  7.510315E-16  3.747609E-08
  3.000000E-02  6.853892E-08  1.838358E-15  7.510051E-16  4.088251E-08
  3.250000E-02  8.043804E-08  1.838276E-15  7.509765E-16  4.428880E-08
  3.500000E-02  9.328908E-08  1.838188E-15  7.509456E-16  4.769495E-08
  3.750000E-02  1.070921E-07  1.838092E-15  7.509124E-16  5.110094E-08
  4.000000E-02  1.218470E-07  1.837991E-15  7.508770E-16  5.450678E-08
  4.250000E-02  1.375538E-07  1.837883E-15  7.508392E-16  5.791244E-08
  4.500000E-02  1.542126E-07  1.837768E-15  7.507992E-16  6.131792E-08
  4.750000E-02  1.718233E-07  1.837647E-15  7.507570E-16  6.472320E-08
  5.000000E-02  1.903859E-07  1.837519E-15  7.507125E-16  6.812828E-08
  5.250000E-02  2.099004E-07  1.837385E-15  7.506657E-16  7.153315E-08
  5.500000E-02  2.303669E-07  1.837245E-15  7.506166E-16  7.493778E-08
  5.750000E-02  2.517853E-07  1.837098E-15  7.505653E-16  7.834219E-08
  6.000000E-02  2.741557E-07  1.836944E-15  7.505117E-16  8.174635E-08
  6.250000E-02  2.974779E-07  1.836784E-15  7.504559E-16  8.515025E-08
  6.500000E-02  3.217521E-07  1.836618E-15  7.503979E-16  8.855388E-08
  6.750000E-02  3.469782E-07  1.836445E-15  7.503376E-16  9.195724E-08
  7.000000E-02  3.731563E-07  1.836266E-15  7.502751E-16  9.536032E-08
  7.250000E-02  4.002863E-07  1.836080E-15  7.502103E-16  9.876309E-08
  7.500000E-02  4.283682E-07  1.835888E-15  7.501433E-16  1.021656E-07
  7.750000E-02  4.574020E-07  1.835690E-15  7.500741E-16  1.055677E-07
