 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 7.0000000E+06 eV
 #
 # Furness-McCarthy exchange potential
 #
 # No correlation-polarization potential
 #
 # No absorption potential
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 3.4932774E-19  2.9778515E-19
 # 1st transport cs: 1.9947991E-24  1.9938403E-24
 # 2nd transport cs: 5.7389552E-24  5.7360799E-24
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  8.000000E-03  4.873879E-09  1.868291E-13  9.364955E-14  0.000000E+00
  8.250000E-03  5.183256E-09  1.860292E-13  9.342999E-14  0.000000E+00
  8.500000E-03  5.502152E-09  1.852093E-13  9.320449E-14  0.000000E+00
  8.750000E-03  5.830568E-09  1.843700E-13  9.297310E-14  0.000000E+00
  9.000000E-03  6.168503E-09  1.835116E-13  9.273591E-14  0.000000E+00
  9.250000E-03  6.515957E-09  1.826344E-13  9.249298E-14  0.000000E+00
  9.500000E-03  6.872931E-09  1.817390E-13  9.224439E-14  0.000000E+00
  9.750000E-03  7.239423E-09  1.808257E-13  9.199021E-14  0.000000E+00
  1.000000E-02  7.615435E-09  1.798949E-13  9.173052E-14  0.000000E+00
  1.250000E-02  1.189912E-08  1.697246E-13  8.884800E-14  0.000000E+00
  1.500000E-02  1.713473E-08  1.583018E-13  8.550545E-14  0.000000E+00
  1.750000E-02  2.332227E-08  1.460814E-13  8.179202E-14  0.000000E+00
  2.000000E-02  3.046174E-08  1.334956E-13  7.779876E-14  0.000000E+00
  2.250000E-02  3.855314E-08  1.209291E-13  7.361432E-14  0.000000E+00
  2.500000E-02  4.759647E-08  1.087033E-13  6.932157E-14  0.000000E+00
  2.750000E-02  5.759173E-08  9.706860E-14  6.499506E-14  0.000000E+00
  3.000000E-02  6.853892E-08  8.620382E-14  6.069952E-14  0.000000E+00
  3.250000E-02  8.043804E-08  7.622206E-14  5.648910E-14  0.000000E+00
  3.500000E-02  9.328908E-08  6.717936E-14  5.240742E-14  0.000000E+00
  3.750000E-02  1.070921E-07  5.908543E-14  4.848809E-14  0.000000E+00
  4.000000E-02  1.218470E-07  5.191462E-14  4.475555E-14  0.000000E+00
  4.250000E-02  1.375538E-07  4.561615E-14  4.122618E-14  0.000000E+00
  4.500000E-02  1.542126E-07  4.012306E-14  3.790948E-14  0.000000E+00
  4.750000E-02  1.718233E-07  3.535952E-14  3.480926E-14  0.000000E+00
  5.000000E-02  1.903859E-07  3.124647E-14  3.192473E-14  0.000000E+00
  5.250000E-02  2.099004E-07  2.770586E-14  2.925153E-14  0.000000E+00
  5.500000E-02  2.303669E-07  2.466342E-14  2.678263E-14  0.000000E+00
  5.750000E-02  2.517853E-07  2.205052E-14  2.450904E-14  0.000000E+00
  6.000000E-02  2.741557E-07  1.980512E-14  2.242050E-14  0.000000E+00
  6.250000E-02  2.974779E-07  1.787213E-14  2.050596E-14  0.000000E+00
  6.500000E-02  3.217521E-07  1.620334E-14  1.875398E-14  0.000000E+00
  6.750000E-02  3.469782E-07  1.475709E-14  1.715308E-14  0.000000E+00
  7.000000E-02  3.731563E-07  1.349775E-14  1.569194E-14  0.000000E+00
  7.250000E-02  4.002863E-07  1.239510E-14  1.435962E-14  0.000000E+00
  7.500000E-02  4.283682E-07  1.142370E-14  1.314562E-14  0.000000E+00
  7.750000E-02  4.574020E-07  1.056229E-14  1.204003E-14  0.000000E+00
  8.000000E-02  4.873878E-07  9.793194E-15  1.103352E-14  0.000000E+00
  8.250000E-02  5.183255E-07  9.101759E-15  1.011743E-14  0.000000E+00
  8.500000E-02  5.502151E-07  8.475916E-15  9.283676E-15  0.000000E+00
  8.750000E-02  5.830567E-07  7.905743E-15  8.524840E-15  0.000000E+00
  9.000000E-02  6.168501E-07  7.383106E-15  7.834085E-15  0.000000E+00
  9.250000E-02  6.515956E-07  6.901350E-15  7.205149E-15  0.000000E+00
  9.500000E-02  6.872929E-07  6.455040E-15  6.632310E-15  0.000000E+00
  9.750000E-02  7.239422E-07  6.039744E-15  6.110355E-15  0.000000E+00
  1.000000E-01  7.615434E-07  5.651850E-15  5.634538E-15  0.000000E+00
  1.250000E-01  1.189911E-06  2.836763E-15  2.639473E-15  0.000000E+00
  1.500000E-01  1.713472E-06  1.355581E-15  1.360741E-15  0.000000E+00
  1.750000E-01  2.332225E-06  7.240300E-16  7.652898E-16  0.000000E+00
  2.000000E-01  3.046171E-06  4.667229E-16  4.632708E-16  0.000000E+00
  2.250000E-01  3.855309E-06  3.091190E-16  2.978447E-16  0.000000E+00
  2.500000E-01  4.759640E-06  1.999507E-16  2.010322E-16  0.000000E+00
  2.750000E-01  5.759162E-06  1.369018E-16  1.411220E-16  0.000000E+00
  3.000000E-01  6.853876E-06  1.026800E-16  1.022794E-16  0.000000E+00
  3.250000E-01  8.043782E-06  7.810344E-17  7.609953E-17  0.000000E+00
  3.500000E-01  9.328879E-06  5.755006E-17  5.787288E-17  0.000000E+00
  3.750000E-01  1.070917E-05  4.387653E-17  4.483286E-17  0.000000E+00
  4.000000E-01  1.218465E-05  3.547879E-17  3.528555E-17  0.000000E+00
  4.250000E-01  1.375532E-05  2.864794E-17  2.815586E-17  0.000000E+00
  4.500000E-01  1.542118E-05  2.264628E-17  2.273973E-17  0.000000E+00
  4.750000E-01  1.718223E-05  1.826038E-17  1.856337E-17  0.000000E+00
  5.000000E-01  1.903847E-05  1.537160E-17  1.530023E-17  0.000000E+00
  5.250000E-01  2.098990E-05  1.290544E-17  1.272050E-17  0.000000E+00
  5.500000E-01  2.303652E-05  1.060356E-17  1.065942E-17  0.000000E+00
  5.750000E-01  2.517832E-05  8.887945E-18  8.996916E-18  0.000000E+00
  6.000000E-01  2.741532E-05  7.677346E-18  7.644208E-18  0.000000E+00
  6.250000E-01  2.974750E-05  6.608757E-18  6.534760E-18  0.000000E+00
  6.500000E-01  3.217487E-05  5.594462E-18  5.618124E-18  0.000000E+00
  6.750000E-01  3.469743E-05  4.803214E-18  4.855632E-18  0.000000E+00
  7.000000E-01  3.731517E-05  4.238025E-18  4.217349E-18  0.000000E+00
  7.250000E-01  4.002810E-05  3.713857E-18  3.679890E-18  0.000000E+00
  7.500000E-01  4.283621E-05  3.210283E-18  3.224833E-18  0.000000E+00
  7.750000E-01  4.573951E-05  2.813804E-18  2.837553E-18  0.000000E+00
  8.000000E-01  4.873800E-05  2.516447E-18  2.506354E-18  0.000000E+00
  8.250000E-01  5.183166E-05  2.240250E-18  2.221817E-18  0.000000E+00
  8.500000E-01  5.502051E-05  1.967353E-18  1.976312E-18  0.000000E+00
  8.750000E-01  5.830454E-05  1.750553E-18  1.763620E-18  0.000000E+00
  9.000000E-01  6.168376E-05  1.585865E-18  1.578642E-18  0.000000E+00
  9.250000E-01  6.515815E-05  1.426350E-18  1.417175E-18  0.000000E+00
  9.500000E-01  6.872773E-05  1.270629E-18  1.275741E-18  0.000000E+00
  9.750000E-01  7.239249E-05  1.144024E-18  1.151443E-18  0.000000E+00
  1.000000E+00  7.615242E-05  1.046228E-18  1.041858E-18  0.000000E+00
  1.100000E+00  9.214394E-05  7.173694E-19  7.144666E-19  0.000000E+00
  1.200000E+00  1.096583E-04  5.080671E-19  5.058850E-19  0.000000E+00
  1.300000E+00  1.286953E-04  3.694249E-19  3.680325E-19  0.000000E+00
  1.400000E+00  1.492551E-04  2.751559E-19  2.740318E-19  0.000000E+00
  1.500000E+00  1.713375E-04  2.089715E-19  2.081825E-19  0.000000E+00
  1.600000E+00  1.949425E-04  1.615545E-19  1.609591E-19  0.000000E+00
  1.700000E+00  2.200699E-04  1.268699E-19  1.263884E-19  0.000000E+00
  1.800000E+00  2.467198E-04  1.009578E-19  1.006152E-19  0.000000E+00
  1.900000E+00  2.748920E-04  8.137908E-20  8.108640E-20  0.000000E+00
