 #  Total cross section table (last run of 'elscatm').
 #
 #  Molecule: Water (vapour)                     
 #
 #  Structure:
 #  IZ =  8,    X,Y,Z =  0.00000E+00 0.00000E+00 0.00000E+00 cm
 #  IZ =  1,    X,Y,Z =  9.57200E-09 0.00000E+00 0.00000E+00 cm
 #  IZ =  1,    X,Y,Z = -2.39990E-09 9.26630E-09 0.00000E+00 cm
 #  Projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2
 #    (eV)        (cm**2)      (cm**2)      (cm**2)
 #---------------------------------------------------  <------  incoherent addition  ------>
   9.00000E+04  1.25344E-18  2.24860E-21  5.93077E-21  1.06657E-18  2.24795E-21  5.92885E-21
   1.00000E+05  1.15598E-18  1.87339E-21  4.95819E-21  9.83686E-19  1.87286E-21  4.95659E-21
   2.00000E+05  7.19628E-19  5.80095E-22  1.57006E-21  6.12623E-19  5.79952E-22  1.56963E-21
   3.00000E+05  5.77091E-19  3.00269E-22  8.22838E-22  4.91447E-19  3.00216E-22  8.22677E-22
   4.00000E+05  5.07741E-19  1.90549E-22  5.26427E-22  4.32459E-19  1.90523E-22  5.26347E-22
   5.00000E+05  4.67397E-19  1.34731E-22  3.74374E-22  3.98106E-19  1.34710E-22  3.74309E-22
   6.00000E+05  4.41358E-19  1.01809E-22  2.84118E-22  3.75913E-19  1.01787E-22  2.84053E-22
   7.00000E+05  4.23345E-19  8.04475E-23  2.25260E-22  3.60562E-19  8.04272E-23  2.25199E-22
   8.00000E+05  4.10246E-19  6.56360E-23  1.84281E-22  3.49415E-19  6.56202E-23  1.84234E-22
   9.00000E+05  4.00367E-19  5.48537E-23  1.54348E-22  3.41019E-19  5.48444E-23  1.54320E-22
   1.00000E+06  3.92719E-19  4.67120E-23  1.31681E-22  3.34512E-19  4.67057E-23  1.31662E-22
   2.00000E+06  3.62940E-19  1.59926E-23  4.55172E-23  3.08880E-19  1.59890E-23  4.55063E-23
   3.00000E+06  3.55706E-19  8.33471E-24  2.38193E-23  3.02424E-19  8.33213E-24  2.38116E-23
   4.00000E+06  3.52692E-19  5.18039E-24  1.48414E-23  2.99955E-19  5.17943E-24  1.48386E-23
   5.00000E+06  3.50959E-19  3.55642E-24  1.02067E-23  2.98802E-19  3.55577E-24  1.02047E-23
   6.00000E+06  3.49902E-19  2.60288E-24  7.48006E-24  2.98175E-19  2.60315E-24  7.48086E-24
   7.00000E+06  3.49328E-19  1.99480E-24  5.73896E-24  2.97785E-19  1.99384E-24  5.73608E-24
   8.00000E+06  3.49068E-19  1.57905E-24  4.54690E-24  2.97512E-19  1.57929E-24  4.54763E-24
   9.00000E+06  3.48993E-19  1.28401E-24  3.70031E-24  2.97304E-19  1.28383E-24  3.69977E-24
   1.00000E+07  3.48949E-19  1.06585E-24  3.07378E-24  2.97136E-19  1.06547E-24  3.07263E-24
