 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 1.00000E+07 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  7.750E-03  4.57402E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.000E-03  4.87388E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.250E-03  5.18326E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.500E-03  5.50215E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.750E-03  5.83057E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.000E-03  6.16850E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.250E-03  6.51596E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.500E-03  6.87293E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.750E-03  7.23942E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.000E-02  7.61544E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.250E-02  1.18991E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.500E-02  1.71347E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.750E-02  2.33223E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.000E-02  3.04617E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.250E-02  3.85531E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.500E-02  4.75965E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.750E-02  5.75917E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.000E-02  6.85389E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.250E-02  8.04380E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.500E-02  9.32891E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.750E-02  1.07092E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.000E-02  1.21847E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.250E-02  1.37554E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.500E-02  1.54213E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.750E-02  1.71823E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.000E-02  1.90386E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.250E-02  2.09900E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.500E-02  2.30367E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.750E-02  2.51785E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.000E-02  2.74156E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.250E-02  2.97478E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.500E-02  3.21752E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.750E-02  3.46978E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.000E-02  3.73156E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.250E-02  4.00286E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.500E-02  4.28368E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.750E-02  4.57402E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.000E-02  4.87388E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.250E-02  5.18325E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.500E-02  5.50215E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.750E-02  5.83057E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.000E-02  6.16850E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.250E-02  6.51596E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.500E-02  6.87293E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.750E-02  7.23942E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.000E-01  7.61543E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.250E-01  1.18991E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.500E-01  1.71347E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.750E-01  2.33223E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.000E-01  3.04617E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.250E-01  3.85531E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.500E-01  4.75964E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.750E-01  5.75916E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.000E-01  6.85388E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.250E-01  8.04378E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.500E-01  9.32888E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.750E-01  1.07092E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.000E-01  1.21846E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.250E-01  1.37553E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.500E-01  1.54212E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.750E-01  1.71822E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.000E-01  1.90385E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.250E-01  2.09899E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.500E-01  2.30365E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.750E-01  2.51783E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.000E-01  2.74153E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.250E-01  2.97475E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.500E-01  3.21749E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.750E-01  3.46974E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.000E-01  3.73152E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.250E-01  4.00281E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.500E-01  4.28362E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.750E-01  4.57395E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
