 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 4.5000000E+01 eV
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #    molecular polarizability = 1.45700E-24 cm**3
 #
 # LDA-I absorption potential (only electron-hole excitations):
 #                           Delta = 6.20000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 1.4611336E-15  8.4245857E-16
 # 1st transport cs: 4.5660208E-16  4.1978380E-16
 # 2nd transport cs: 4.8578697E-16  3.8436593E-16
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  0.000000E+00  0.000000E+00  3.081992E-15  1.064593E-15  0.000000E+00
  1.000000E-04  7.615575E-13  3.081992E-15  1.064593E-15 -2.516703E-10
  1.250000E-04  1.189937E-12  3.081992E-15  1.064593E-15 -3.145878E-10
  1.500000E-04  1.713463E-12  3.081992E-15  1.064593E-15 -3.775054E-10
  1.750000E-04  2.332246E-12  3.081992E-15  1.064593E-15 -4.404230E-10
  2.000000E-04  3.046174E-12  3.081992E-15  1.064593E-15 -5.033405E-10
  2.250000E-04  3.855305E-12  3.081992E-15  1.064593E-15 -5.662581E-10
  2.500000E-04  4.759637E-12  3.081992E-15  1.064593E-15 -6.291757E-10
  2.750000E-04  5.759171E-12  3.081992E-15  1.064593E-15 -6.920932E-10
  3.000000E-04  6.853906E-12  3.081992E-15  1.064593E-15 -7.550108E-10
  3.250000E-04  8.043788E-12  3.081992E-15  1.064593E-15 -8.179284E-10
  3.500000E-04  9.328927E-12  3.081992E-15  1.064593E-15 -8.808459E-10
  3.750000E-04  1.070921E-11  3.081992E-15  1.064593E-15 -9.437635E-10
  4.000000E-04  1.218470E-11  3.081992E-15  1.064593E-15 -1.006681E-09
  4.250000E-04  1.375539E-11  3.081992E-15  1.064593E-15 -1.069599E-09
  4.500000E-04  1.542128E-11  3.081992E-15  1.064593E-15 -1.132516E-09
  4.750000E-04  1.718231E-11  3.081992E-15  1.064593E-15 -1.195434E-09
  5.000000E-04  1.903860E-11  3.081992E-15  1.064593E-15 -1.258351E-09
  5.250000E-04  2.099004E-11  3.081992E-15  1.064593E-15 -1.321269E-09
  5.500000E-04  2.303668E-11  3.081992E-15  1.064593E-15 -1.384186E-09
  5.750000E-04  2.517853E-11  3.081992E-15  1.064593E-15 -1.447104E-09
  6.000000E-04  2.741557E-11  3.081992E-15  1.064593E-15 -1.510022E-09
  6.250000E-04  2.974782E-11  3.081992E-15  1.064593E-15 -1.572939E-09
  6.500000E-04  3.217521E-11  3.081992E-15  1.064593E-15 -1.635857E-09
  6.750000E-04  3.469786E-11  3.081992E-15  1.064593E-15 -1.698774E-09
  7.000000E-04  3.731565E-11  3.081992E-15  1.064593E-15 -1.761692E-09
  7.250000E-04  4.002865E-11  3.081992E-15  1.064593E-15 -1.824609E-09
  7.500000E-04  4.283685E-11  3.081992E-15  1.064593E-15 -1.887527E-09
  7.750000E-04  4.574019E-11  3.081992E-15  1.064593E-15 -1.950445E-09
  8.000000E-04  4.873879E-11  3.081992E-15  1.064593E-15 -2.013362E-09
  8.250000E-04  5.183254E-11  3.081992E-15  1.064593E-15 -2.076280E-09
  8.500000E-04  5.502154E-11  3.081992E-15  1.064593E-15 -2.139197E-09
  8.750000E-04  5.830569E-11  3.081992E-15  1.064593E-15 -2.202115E-09
  9.000000E-04  6.168505E-11  3.081992E-15  1.064593E-15 -2.265032E-09
  9.250000E-04  6.515954E-11  3.081992E-15  1.064593E-15 -2.327950E-09
  9.500000E-04  6.872930E-11  3.081992E-15  1.064593E-15 -2.390868E-09
  9.750000E-04  7.239426E-11  3.081992E-15  1.064593E-15 -2.453785E-09
  1.000000E-03  7.615436E-11  3.081992E-15  1.064593E-15 -2.516703E-09
  1.250000E-03  1.189912E-10  3.081992E-15  1.064593E-15 -3.145878E-09
  1.500000E-03  1.713473E-10  3.081992E-15  1.064593E-15 -3.775054E-09
  1.750000E-03  2.332227E-10  3.081992E-15  1.064593E-15 -4.404230E-09
  2.000000E-03  3.046174E-10  3.081992E-15  1.064593E-15 -5.033406E-09
  2.250000E-03  3.855314E-10  3.081992E-15  1.064593E-15 -5.662581E-09
  2.500000E-03  4.759647E-10  3.081992E-15  1.064593E-15 -6.291757E-09
  2.750000E-03  5.759173E-10  3.081992E-15  1.064593E-15 -6.920933E-09
  3.000000E-03  6.853892E-10  3.081992E-15  1.064593E-15 -7.550109E-09
  3.250000E-03  8.043804E-10  3.081991E-15  1.064593E-15 -8.179285E-09
  3.500000E-03  9.328908E-10  3.081991E-15  1.064593E-15 -8.808461E-09
  3.750000E-03  1.070921E-09  3.081991E-15  1.064593E-15 -9.437637E-09
  4.000000E-03  1.218470E-09  3.081991E-15  1.064593E-15 -1.006681E-08
  4.250000E-03  1.375538E-09  3.081991E-15  1.064593E-15 -1.069599E-08
  4.500000E-03  1.542126E-09  3.081991E-15  1.064593E-15 -1.132517E-08
  4.750000E-03  1.718233E-09  3.081990E-15  1.064593E-15 -1.195434E-08
  5.000000E-03  1.903859E-09  3.081990E-15  1.064593E-15 -1.258352E-08
  5.250000E-03  2.099004E-09  3.081990E-15  1.064593E-15 -1.321269E-08
  5.500000E-03  2.303669E-09  3.081990E-15  1.064593E-15 -1.384187E-08
  5.750000E-03  2.517853E-09  3.081990E-15  1.064593E-15 -1.447105E-08
  6.000000E-03  2.741557E-09  3.081989E-15  1.064593E-15 -1.510022E-08
  6.250000E-03  2.974779E-09  3.081989E-15  1.064592E-15 -1.572940E-08
  6.500000E-03  3.217521E-09  3.081989E-15  1.064592E-15 -1.635858E-08
  6.750000E-03  3.469783E-09  3.081989E-15  1.064592E-15 -1.698775E-08
  7.000000E-03  3.731563E-09  3.081988E-15  1.064592E-15 -1.761693E-08
  7.250000E-03  4.002863E-09  3.081988E-15  1.064592E-15 -1.824611E-08
  7.500000E-03  4.283682E-09  3.081988E-15  1.064592E-15 -1.887529E-08
  7.750000E-03  4.574021E-09  3.081988E-15  1.064592E-15 -1.950446E-08
  8.000000E-03  4.873879E-09  3.081987E-15  1.064592E-15 -2.013364E-08
  8.250000E-03  5.183256E-09  3.081987E-15  1.064592E-15 -2.076282E-08
  8.500000E-03  5.502152E-09  3.081987E-15  1.064592E-15 -2.139200E-08
  8.750000E-03  5.830568E-09  3.081986E-15  1.064591E-15 -2.202117E-08
  9.000000E-03  6.168503E-09  3.081986E-15  1.064591E-15 -2.265035E-08
  9.250000E-03  6.515957E-09  3.081985E-15  1.064591E-15 -2.327953E-08
  9.500000E-03  6.872931E-09  3.081985E-15  1.064591E-15 -2.390871E-08
  9.750000E-03  7.239423E-09  3.081985E-15  1.064591E-15 -2.453789E-08
  1.000000E-02  7.615435E-09  3.081984E-15  1.064591E-15 -2.516706E-08
  1.250000E-02  1.189912E-08  3.081980E-15  1.064589E-15 -3.145886E-08
  1.500000E-02  1.713473E-08  3.081974E-15  1.064588E-15 -3.775067E-08
  1.750000E-02  2.332227E-08  3.081968E-15  1.064585E-15 -4.404250E-08
  2.000000E-02  3.046174E-08  3.081960E-15  1.064583E-15 -5.033436E-08
  2.250000E-02  3.855314E-08  3.081952E-15  1.064580E-15 -5.662624E-08
  2.500000E-02  4.759647E-08  3.081943E-15  1.064577E-15 -6.291816E-08
  2.750000E-02  5.759173E-08  3.081932E-15  1.064574E-15 -6.921011E-08
