 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 7.0000000E+03 eV
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #    molecular polarizability = 1.45700E-24 cm**3
 #
 # LDA-I absorption potential (only electron-hole excitations):
 #                           Delta = 6.20000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 1.2649326E-17  1.0588888E-17
 # 1st transport cs: 2.1020807E-19  2.1006009E-19
 # 2nd transport cs: 5.0302676E-19  5.0258289E-19
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  0.000000E+00  0.000000E+00  1.460445E-15  6.457574E-16  0.000000E+00
  1.000000E-04  7.615575E-13  1.460445E-15  6.457573E-16  9.900227E-11
  1.250000E-04  1.189937E-12  1.460445E-15  6.457573E-16  1.237528E-10
  1.500000E-04  1.713463E-12  1.460445E-15  6.457573E-16  1.485034E-10
  1.750000E-04  2.332246E-12  1.460445E-15  6.457573E-16  1.732539E-10
  2.000000E-04  3.046174E-12  1.460445E-15  6.457573E-16  1.980044E-10
  2.250000E-04  3.855305E-12  1.460445E-15  6.457573E-16  2.227550E-10
  2.500000E-04  4.759637E-12  1.460445E-15  6.457573E-16  2.475055E-10
  2.750000E-04  5.759171E-12  1.460445E-15  6.457572E-16  2.722560E-10
  3.000000E-04  6.853906E-12  1.460445E-15  6.457572E-16  2.970064E-10
  3.250000E-04  8.043788E-12  1.460445E-15  6.457572E-16  3.217569E-10
  3.500000E-04  9.328927E-12  1.460444E-15  6.457572E-16  3.465073E-10
  3.750000E-04  1.070921E-11  1.460444E-15  6.457571E-16  3.712577E-10
  4.000000E-04  1.218470E-11  1.460444E-15  6.457571E-16  3.960081E-10
  4.250000E-04  1.375539E-11  1.460444E-15  6.457571E-16  4.207585E-10
  4.500000E-04  1.542128E-11  1.460444E-15  6.457570E-16  4.455089E-10
  4.750000E-04  1.718231E-11  1.460444E-15  6.457570E-16  4.702592E-10
  5.000000E-04  1.903860E-11  1.460444E-15  6.457569E-16  4.950095E-10
  5.250000E-04  2.099004E-11  1.460444E-15  6.457569E-16  5.197597E-10
  5.500000E-04  2.303668E-11  1.460444E-15  6.457569E-16  5.445100E-10
  5.750000E-04  2.517853E-11  1.460443E-15  6.457568E-16  5.692602E-10
  6.000000E-04  2.741557E-11  1.460443E-15  6.457568E-16  5.940104E-10
  6.250000E-04  2.974782E-11  1.460443E-15  6.457567E-16  6.187605E-10
  6.500000E-04  3.217521E-11  1.460443E-15  6.457567E-16  6.435106E-10
  6.750000E-04  3.469786E-11  1.460443E-15  6.457566E-16  6.682607E-10
  7.000000E-04  3.731565E-11  1.460443E-15  6.457565E-16  6.930107E-10
  7.250000E-04  4.002865E-11  1.460443E-15  6.457565E-16  7.177607E-10
  7.500000E-04  4.283685E-11  1.460442E-15  6.457564E-16  7.425106E-10
  7.750000E-04  4.574019E-11  1.460442E-15  6.457564E-16  7.672605E-10
  8.000000E-04  4.873879E-11  1.460442E-15  6.457563E-16  7.920104E-10
  8.250000E-04  5.183254E-11  1.460442E-15  6.457562E-16  8.167602E-10
  8.500000E-04  5.502154E-11  1.460442E-15  6.457561E-16  8.415099E-10
  8.750000E-04  5.830569E-11  1.460441E-15  6.457561E-16  8.662596E-10
  9.000000E-04  6.168505E-11  1.460441E-15  6.457560E-16  8.910093E-10
  9.250000E-04  6.515954E-11  1.460441E-15  6.457559E-16  9.157589E-10
  9.500000E-04  6.872930E-11  1.460441E-15  6.457558E-16  9.405085E-10
  9.750000E-04  7.239426E-11  1.460441E-15  6.457558E-16  9.652580E-10
  1.000000E-03  7.615436E-11  1.460440E-15  6.457557E-16  9.900074E-10
  1.250000E-03  1.189912E-10  1.460438E-15  6.457547E-16  1.237498E-09
  1.500000E-03  1.713473E-10  1.460435E-15  6.457536E-16  1.484982E-09
  1.750000E-03  2.332227E-10  1.460431E-15  6.457522E-16  1.732457E-09
  2.000000E-03  3.046174E-10  1.460426E-15  6.457506E-16  1.979922E-09
