 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 5.0000000E+01 eV
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #    molecular polarizability = 1.45700E-24 cm**3
 #
 # LDA-I absorption potential (only electron-hole excitations):
 #                           Delta = 6.20000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 1.3715601E-15  7.9124342E-16
 # 1st transport cs: 4.1271772E-16  3.8104822E-16
 # 2nd transport cs: 4.3482346E-16  3.4397321E-16
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  0.000000E+00  0.000000E+00  3.149961E-15  1.094748E-15  0.000000E+00
  1.000000E-04  7.615575E-13  3.149961E-15  1.094748E-15 -2.187486E-10
  1.250000E-04  1.189937E-12  3.149961E-15  1.094748E-15 -2.734358E-10
  1.500000E-04  1.713463E-12  3.149961E-15  1.094748E-15 -3.281229E-10
  1.750000E-04  2.332246E-12  3.149961E-15  1.094748E-15 -3.828101E-10
  2.000000E-04  3.046174E-12  3.149961E-15  1.094748E-15 -4.374972E-10
  2.250000E-04  3.855305E-12  3.149961E-15  1.094748E-15 -4.921844E-10
  2.500000E-04  4.759637E-12  3.149961E-15  1.094748E-15 -5.468715E-10
  2.750000E-04  5.759171E-12  3.149961E-15  1.094748E-15 -6.015587E-10
  3.000000E-04  6.853906E-12  3.149961E-15  1.094748E-15 -6.562458E-10
  3.250000E-04  8.043788E-12  3.149961E-15  1.094748E-15 -7.109330E-10
  3.500000E-04  9.328927E-12  3.149961E-15  1.094748E-15 -7.656201E-10
  3.750000E-04  1.070921E-11  3.149961E-15  1.094748E-15 -8.203073E-10
  4.000000E-04  1.218470E-11  3.149961E-15  1.094748E-15 -8.749944E-10
  4.250000E-04  1.375539E-11  3.149961E-15  1.094748E-15 -9.296816E-10
  4.500000E-04  1.542128E-11  3.149961E-15  1.094748E-15 -9.843687E-10
  4.750000E-04  1.718231E-11  3.149961E-15  1.094748E-15 -1.039056E-09
  5.000000E-04  1.903860E-11  3.149961E-15  1.094748E-15 -1.093743E-09
  5.250000E-04  2.099004E-11  3.149961E-15  1.094748E-15 -1.148430E-09
  5.500000E-04  2.303668E-11  3.149961E-15  1.094748E-15 -1.203117E-09
  5.750000E-04  2.517853E-11  3.149961E-15  1.094748E-15 -1.257804E-09
  6.000000E-04  2.741557E-11  3.149961E-15  1.094748E-15 -1.312492E-09
  6.250000E-04  2.974782E-11  3.149961E-15  1.094748E-15 -1.367179E-09
  6.500000E-04  3.217521E-11  3.149961E-15  1.094748E-15 -1.421866E-09
  6.750000E-04  3.469786E-11  3.149961E-15  1.094748E-15 -1.476553E-09
  7.000000E-04  3.731565E-11  3.149961E-15  1.094748E-15 -1.531240E-09
  7.250000E-04  4.002865E-11  3.149961E-15  1.094748E-15 -1.585927E-09
  7.500000E-04  4.283685E-11  3.149961E-15  1.094748E-15 -1.640615E-09
  7.750000E-04  4.574019E-11  3.149961E-15  1.094748E-15 -1.695302E-09
  8.000000E-04  4.873879E-11  3.149961E-15  1.094748E-15 -1.749989E-09
  8.250000E-04  5.183254E-11  3.149961E-15  1.094748E-15 -1.804676E-09
  8.500000E-04  5.502154E-11  3.149960E-15  1.094748E-15 -1.859363E-09
  8.750000E-04  5.830569E-11  3.149960E-15  1.094748E-15 -1.914050E-09
  9.000000E-04  6.168505E-11  3.149960E-15  1.094748E-15 -1.968737E-09
  9.250000E-04  6.515954E-11  3.149960E-15  1.094748E-15 -2.023425E-09
  9.500000E-04  6.872930E-11  3.149960E-15  1.094748E-15 -2.078112E-09
  9.750000E-04  7.239426E-11  3.149960E-15  1.094748E-15 -2.132799E-09
  1.000000E-03  7.615436E-11  3.149960E-15  1.094748E-15 -2.187486E-09
  1.250000E-03  1.189912E-10  3.149960E-15  1.094748E-15 -2.734358E-09
