 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 8.5000000E+01 eV
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #    molecular polarizability = 1.45700E-24 cm**3
 #
 # LDA-I absorption potential (only electron-hole excitations):
 #                           Delta = 6.20000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 8.0140225E-16  4.7926474E-16
 # 1st transport cs: 1.9643057E-16  1.8634351E-16
 # 2nd transport cs: 2.1263687E-16  1.8042660E-16
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  0.000000E+00  0.000000E+00  2.907468E-15  1.052942E-15  0.000000E+00
  1.000000E-04  7.615575E-13  2.907468E-15  1.052942E-15 -5.642949E-11
  1.250000E-04  1.189937E-12  2.907468E-15  1.052942E-15 -7.053686E-11
  1.500000E-04  1.713463E-12  2.907468E-15  1.052942E-15 -8.464424E-11
  1.750000E-04  2.332246E-12  2.907468E-15  1.052942E-15 -9.875161E-11
  2.000000E-04  3.046174E-12  2.907468E-15  1.052942E-15 -1.128590E-10
  2.250000E-04  3.855305E-12  2.907468E-15  1.052942E-15 -1.269664E-10
  2.500000E-04  4.759637E-12  2.907468E-15  1.052942E-15 -1.410737E-10
  2.750000E-04  5.759171E-12  2.907468E-15  1.052942E-15 -1.551811E-10
  3.000000E-04  6.853906E-12  2.907468E-15  1.052942E-15 -1.692885E-10
  3.250000E-04  8.043788E-12  2.907468E-15  1.052942E-15 -1.833958E-10
  3.500000E-04  9.328927E-12  2.907468E-15  1.052942E-15 -1.975032E-10
  3.750000E-04  1.070921E-11  2.907468E-15  1.052942E-15 -2.116106E-10
  4.000000E-04  1.218470E-11  2.907468E-15  1.052942E-15 -2.257180E-10
  4.250000E-04  1.375539E-11  2.907468E-15  1.052942E-15 -2.398253E-10
  4.500000E-04  1.542128E-11  2.907468E-15  1.052942E-15 -2.539327E-10
  4.750000E-04  1.718231E-11  2.907468E-15  1.052942E-15 -2.680401E-10
  5.000000E-04  1.903860E-11  2.907468E-15  1.052942E-15 -2.821475E-10
  5.250000E-04  2.099004E-11  2.907468E-15  1.052942E-15 -2.962548E-10
  5.500000E-04  2.303668E-11  2.907468E-15  1.052942E-15 -3.103622E-10
  5.750000E-04  2.517853E-11  2.907468E-15  1.052942E-15 -3.244696E-10
  6.000000E-04  2.741557E-11  2.907468E-15  1.052942E-15 -3.385769E-10
  6.250000E-04  2.974782E-11  2.907468E-15  1.052942E-15 -3.526843E-10
  6.500000E-04  3.217521E-11  2.907468E-15  1.052942E-15 -3.667917E-10
  6.750000E-04  3.469786E-11  2.907468E-15  1.052942E-15 -3.808991E-10
  7.000000E-04  3.731565E-11  2.907468E-15  1.052942E-15 -3.950064E-10
  7.250000E-04  4.002865E-11  2.907468E-15  1.052942E-15 -4.091138E-10
  7.500000E-04  4.283685E-11  2.907468E-15  1.052942E-15 -4.232212E-10
  7.750000E-04  4.574019E-11  2.907468E-15  1.052942E-15 -4.373286E-10
  8.000000E-04  4.873879E-11  2.907468E-15  1.052942E-15 -4.514359E-10
  8.250000E-04  5.183254E-11  2.907468E-15  1.052942E-15 -4.655433E-10
  8.500000E-04  5.502154E-11  2.907468E-15  1.052942E-15 -4.796507E-10
  8.750000E-04  5.830569E-11  2.907468E-15  1.052942E-15 -4.937580E-10
  9.000000E-04  6.168505E-11  2.907468E-15  1.052942E-15 -5.078654E-10
  9.250000E-04  6.515954E-11  2.907468E-15  1.052942E-15 -5.219728E-10
  9.500000E-04  6.872930E-11  2.907468E-15  1.052942E-15 -5.360802E-10
  9.750000E-04  7.239426E-11  2.907468E-15  1.052942E-15 -5.501875E-10
  1.000000E-03  7.615436E-11  2.907468E-15  1.052942E-15 -5.642949E-10
  1.250000E-03  1.189912E-10  2.907468E-15  1.052942E-15 -7.053686E-10
  1.500000E-03  1.713473E-10  2.907468E-15  1.052942E-15 -8.464424E-10
  1.750000E-03  2.332227E-10  2.907467E-15  1.052942E-15 -9.875161E-10
  2.000000E-03  3.046174E-10  2.907467E-15  1.052942E-15 -1.128590E-09
  2.250000E-03  3.855314E-10  2.907467E-15  1.052942E-15 -1.269664E-09
  2.500000E-03  4.759647E-10  2.907467E-15  1.052942E-15 -1.410737E-09
  2.750000E-03  5.759173E-10  2.907467E-15  1.052942E-15 -1.551811E-09
  3.000000E-03  6.853892E-10  2.907467E-15  1.052941E-15 -1.692885E-09
  3.250000E-03  8.043804E-10  2.907466E-15  1.052941E-15 -1.833959E-09
  3.500000E-03  9.328908E-10  2.907466E-15  1.052941E-15 -1.975032E-09
  3.750000E-03  1.070921E-09  2.907466E-15  1.052941E-15 -2.116106E-09
  4.000000E-03  1.218470E-09  2.907466E-15  1.052941E-15 -2.257180E-09
  4.250000E-03  1.375538E-09  2.907465E-15  1.052941E-15 -2.398254E-09
  4.500000E-03  1.542126E-09  2.907465E-15  1.052941E-15 -2.539327E-09
  4.750000E-03  1.718233E-09  2.907465E-15  1.052941E-15 -2.680401E-09
  5.000000E-03  1.903859E-09  2.907464E-15  1.052941E-15 -2.821475E-09
  5.250000E-03  2.099004E-09  2.907464E-15  1.052941E-15 -2.962549E-09
  5.500000E-03  2.303669E-09  2.907464E-15  1.052941E-15 -3.103623E-09
  5.750000E-03  2.517853E-09  2.907463E-15  1.052940E-15 -3.244696E-09
  6.000000E-03  2.741557E-09  2.907463E-15  1.052940E-15 -3.385770E-09
  6.250000E-03  2.974779E-09  2.907463E-15  1.052940E-15 -3.526844E-09
  6.500000E-03  3.217521E-09  2.907462E-15  1.052940E-15 -3.667918E-09
  6.750000E-03  3.469783E-09  2.907462E-15  1.052940E-15 -3.808992E-09
  7.000000E-03  3.731563E-09  2.907461E-15  1.052940E-15 -3.950066E-09
  7.250000E-03  4.002863E-09  2.907461E-15  1.052940E-15 -4.091140E-09
  7.500000E-03  4.283682E-09  2.907460E-15  1.052939E-15 -4.232213E-09
  7.750000E-03  4.574021E-09  2.907460E-15  1.052939E-15 -4.373287E-09
