 #
 # Subroutine MOTTSC. Elastic scattering of electrons and positrons
 #                    by unscreened Coulomb fields
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+08 eV = 3.67493E+06 a.u.
 #
 # Z =   1
 #
 # Differential cross section      MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS       McKinl-Fesh    error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)   (a0**2/sr)
 #-----------------------------------------------------------------------
  7.500E-03  4.28368E-09  2.79644E-14  9.98626E+02  9.98626E+02   1.0E+00
  7.750E-03  4.57402E-09  2.45269E-14  8.75873E+02  8.75873E+02   1.0E+00
  8.000E-03  4.87388E-09  2.16018E-14  7.71415E+02  7.71415E+02   1.0E+00
  8.250E-03  5.18326E-09  1.91000E-14  6.82075E+02  6.82075E+02   1.0E+00
  8.500E-03  5.50215E-09  1.69502E-14  6.05302E+02  6.05302E+02   1.0E+00
  8.750E-03  5.83057E-09  1.50945E-14  5.39033E+02  5.39033E+02   1.0E+00
  9.000E-03  6.16850E-09  1.34859E-14  4.81590E+02  4.81590E+02   1.0E+00
  9.250E-03  6.51596E-09  1.20860E-14  4.31600E+02  4.31600E+02   1.0E+00
  9.500E-03  6.87293E-09  1.08632E-14  3.87930E+02  3.87930E+02   1.0E+00
  9.750E-03  7.23942E-09  9.79111E-15  3.49647E+02  3.49647E+02   1.0E+00
  1.000E-02  7.61544E-09  8.84810E-15  3.15972E+02  3.15972E+02   1.0E+00
  1.250E-02  1.18991E-08  3.62419E-15  1.29422E+02  1.29422E+02   1.0E+00
  1.500E-02  1.71347E-08  1.74778E-15  6.24142E+01  6.24142E+01   1.0E+00
  1.750E-02  2.33223E-08  9.43406E-16  3.36896E+01  3.36896E+01   1.0E+00
  2.000E-02  3.04617E-08  5.53008E-16  1.97483E+01  1.97483E+01   1.0E+00
  2.250E-02  3.85531E-08  3.45240E-16  1.23287E+01  1.23287E+01   1.0E+00
  2.500E-02  4.75965E-08  2.26512E-16  8.08890E+00  8.08890E+00   1.0E+00
  2.750E-02  5.75917E-08  1.54711E-16  5.52483E+00  5.52483E+00   1.0E+00
  3.000E-02  6.85389E-08  1.09236E-16  3.90090E+00  3.90090E+00   1.0E+00
  3.250E-02  8.04380E-08  7.93083E-17  2.83215E+00  2.83215E+00   1.0E+00
  3.500E-02  9.32891E-08  5.89631E-17  2.10561E+00  2.10561E+00   1.0E+00
  3.750E-02  1.07092E-07  4.47433E-17  1.59781E+00  1.59781E+00   1.0E+00
  4.000E-02  1.21847E-07  3.45631E-17  1.23427E+00  1.23427E+00   1.0E+00
  4.250E-02  1.37554E-07  2.71205E-17  9.68490E-01  9.68490E-01   1.0E+00
  4.500E-02  1.54213E-07  2.15776E-17  7.70550E-01  7.70550E-01   1.0E+00
  4.750E-02  1.71823E-07  1.73812E-17  6.20693E-01  6.20693E-01   1.0E+00
  5.000E-02  1.90386E-07  1.41571E-17  5.05559E-01  5.05558E-01   1.0E+00
  5.250E-02  2.09900E-07  1.16471E-17  4.15925E-01  4.15924E-01   1.0E+00
  5.500E-02  2.30367E-07  9.66949E-18  3.45304E-01  3.45304E-01   1.0E+00
  5.750E-02  2.51785E-07  8.09437E-18  2.89055E-01  2.89055E-01   1.0E+00
  6.000E-02  2.74156E-07  6.82731E-18  2.43808E-01  2.43808E-01   1.0E+00
  6.250E-02  2.97478E-07  5.79876E-18  2.07077E-01  2.07077E-01   1.0E+00
  6.500E-02  3.21752E-07  4.95680E-18  1.77011E-01  1.77011E-01   1.0E+00
  6.750E-02  3.46978E-07  4.26226E-18  1.52208E-01  1.52208E-01   1.0E+00
  7.000E-02  3.73156E-07  3.68522E-18  1.31602E-01  1.31602E-01   1.0E+00
  7.250E-02  4.00286E-07  3.20261E-18  1.14367E-01  1.14367E-01   1.0E+00
  7.500E-02  4.28368E-07  2.79648E-18  9.98639E-02  9.98639E-02   1.0E+00
  7.750E-02  4.57402E-07  2.45273E-18  8.75885E-02  8.75885E-02   1.0E+00
  8.000E-02  4.87388E-07  2.16021E-18  7.71426E-02  7.71426E-02   1.0E+00
  8.250E-02  5.18325E-07  1.91003E-18  6.82085E-02  6.82085E-02   1.0E+00
  8.500E-02  5.50215E-07  1.69504E-18  6.05312E-02  6.05311E-02   1.0E+00
  8.750E-02  5.83057E-07  1.50947E-18  5.39042E-02  5.39042E-02   1.0E+00
  9.000E-02  6.16850E-07  1.34861E-18  4.81598E-02  4.81598E-02   1.0E+00
  9.250E-02  6.51596E-07  1.20862E-18  4.31607E-02  4.31607E-02   1.0E+00
  9.500E-02  6.87293E-07  1.08633E-18  3.87937E-02  3.87937E-02   1.0E+00
  9.750E-02  7.23942E-07  9.79128E-19  3.49653E-02  3.49653E-02   1.0E+00
  1.000E-01  7.61543E-07  8.84827E-19  3.15977E-02  3.15977E-02   1.0E+00
  1.250E-01  1.18991E-06  3.62427E-19  1.29425E-02  1.29425E-02   1.0E+00
  1.500E-01  1.71347E-06  1.74782E-19  6.24160E-03  6.24158E-03   1.0E+00
  1.750E-01  2.33223E-06  9.43437E-20  3.36908E-03  3.36907E-03   1.0E+00
  2.000E-01  3.04617E-06  5.53029E-20  1.97490E-03  1.97490E-03   1.0E+00
  2.250E-01  3.85531E-06  3.45255E-20  1.23293E-03  1.23292E-03   1.0E+00
  2.500E-01  4.75964E-06  2.26523E-20  8.08929E-04  8.08925E-04   1.0E+00
  2.750E-01  5.75916E-06  1.54719E-20  5.52512E-04  5.52509E-04   1.0E+00
  3.000E-01  6.85388E-06  1.09243E-20  3.90113E-04  3.90110E-04   1.0E+00
  3.250E-01  8.04378E-06  7.93134E-21  2.83233E-04  2.83231E-04   1.0E+00
  3.500E-01  9.32888E-06  5.89672E-21  2.10576E-04  2.10574E-04   1.0E+00
  3.750E-01  1.07092E-05  4.47466E-21  1.59793E-04  1.59791E-04   1.0E+00
  4.000E-01  1.21846E-05  3.45659E-21  1.23437E-04  1.23435E-04   1.0E+00
  4.250E-01  1.37553E-05  2.71228E-21  9.68573E-05  9.68559E-05   1.0E+00
  4.500E-01  1.54212E-05  2.15796E-21  7.70621E-05  7.70608E-05   1.0E+00
  4.750E-01  1.71822E-05  1.73829E-21  6.20753E-05  6.20742E-05   1.0E+00
  5.000E-01  1.90385E-05  1.41585E-21  5.05610E-05  5.05601E-05   1.0E+00
  5.250E-01  2.09899E-05  1.16483E-21  4.15970E-05  4.15961E-05   1.0E+00
  5.500E-01  2.30365E-05  9.67059E-22  3.45343E-05  3.45335E-05   1.0E+00
  5.750E-01  2.51783E-05  8.09534E-22  2.89090E-05  2.89082E-05   1.0E+00
  6.000E-01  2.74153E-05  6.82817E-22  2.43838E-05  2.43832E-05   1.0E+00
  6.250E-01  2.97475E-05  5.79952E-22  2.07105E-05  2.07098E-05   1.0E+00
  6.500E-01  3.21749E-05  4.95749E-22  1.77035E-05  1.77029E-05   1.0E+00
  6.750E-01  3.46974E-05  4.26288E-22  1.52230E-05  1.52225E-05   1.0E+00
  7.000E-01  3.73152E-05  3.68578E-22  1.31621E-05  1.31616E-05   1.0E+00
  7.250E-01  4.00281E-05  3.20311E-22  1.14385E-05  1.14380E-05   1.0E+00
  7.500E-01  4.28362E-05  2.79693E-22  9.98802E-06  9.98759E-06   1.0E+00
  7.750E-01  4.57395E-05  2.45314E-22  8.76034E-06  8.75993E-06   1.0E+00
  8.000E-01  4.87380E-05  2.16059E-22  7.71562E-06  7.71523E-06   1.0E+00
  8.250E-01  5.18317E-05  1.91038E-22  6.82210E-06  6.82174E-06   1.0E+00
  8.500E-01  5.50205E-05  1.69537E-22  6.05426E-06  6.05392E-06   1.0E+00
  8.750E-01  5.83045E-05  1.50977E-22  5.39148E-06  5.39116E-06   1.0E+00
  9.000E-01  6.16838E-05  1.34889E-22  4.81696E-06  4.81666E-06   1.0E+00
  9.250E-01  6.51582E-05  1.20888E-22  4.31697E-06  4.31669E-06   1.0E+00
  9.500E-01  6.87277E-05  1.08657E-22  3.88021E-06  3.87994E-06   1.0E+00
  9.750E-01  7.23925E-05  9.79347E-23  3.49731E-06  3.49705E-06   1.0E+00
  1.000E+00  7.61524E-05  8.85031E-23  3.16050E-06  3.16026E-06   1.0E+00
  1.100E+00  9.21439E-05  6.04506E-23  2.15873E-06  2.15853E-06   1.0E+00
  1.200E+00  1.09658E-04  4.26835E-23  1.52426E-06  1.52409E-06   1.0E+00
  1.300E+00  1.28695E-04  3.09865E-23  1.10655E-06  1.10654E-06   3.8E-04
  1.400E+00  1.49255E-04  2.30410E-23  8.22810E-07  8.22685E-07   1.0E+00
  1.500E+00  1.71338E-04  1.74849E-23  6.24399E-07  6.24289E-07   1.0E+00
  1.600E+00  1.94942E-04  1.35072E-23  4.82350E-07  4.82254E-07   1.0E+00
  1.700E+00  2.20070E-04  1.05990E-23  3.78497E-07  3.78412E-07   1.0E+00
  1.800E+00  2.46720E-04  8.43103E-24  3.01078E-07  3.01075E-07   8.2E-04
  1.900E+00  2.74892E-04  6.79136E-24  2.42524E-07  2.42524E-07   5.8E-05
  2.000E+00  3.04586E-04  5.53167E-24  1.97539E-07  1.97539E-07   5.8E-04
  2.100E+00  3.35803E-04  4.55098E-24  1.62518E-07  1.62518E-07   8.9E-04
  2.200E+00  3.68542E-04  3.77825E-24  1.34924E-07  1.34924E-07   9.1E-04
  2.300E+00  4.02802E-04  3.16285E-24  1.12947E-07  1.12947E-07   7.1E-04
  2.400E+00  4.38585E-04  2.66774E-24  9.52668E-08  9.52671E-08   3.6E-04
  2.500E+00  4.75889E-04  2.26587E-24  8.09155E-08  8.09153E-08   4.3E-05
  2.600E+00  5.14715E-04  1.93688E-24  6.91673E-08  6.91672E-08   3.4E-04
  2.700E+00  5.55063E-04  1.66549E-24  5.94758E-08  5.94759E-08   5.0E-04
  2.800E+00  5.96931E-04  1.44002E-24  5.14242E-08  5.14240E-08   5.0E-04
  2.900E+00  6.40321E-04  1.25144E-24  4.46897E-08  4.46898E-08   3.8E-04
  3.000E+00  6.85233E-04  1.09275E-24  3.90228E-08  3.90226E-08   1.8E-04
  3.100E+00  7.31665E-04  9.58427E-25  3.42260E-08  3.42260E-08   5.5E-05
  3.200E+00  7.79618E-04  8.44127E-25  3.01443E-08  3.01443E-08   2.2E-04
  3.300E+00  8.29092E-04  7.46369E-25  2.66533E-08  2.66532E-08   3.1E-04
  3.400E+00  8.80086E-04  6.62359E-25  2.36533E-08  2.36532E-08   3.0E-04
  3.500E+00  9.32601E-04  5.89846E-25  2.10638E-08  2.10637E-08   2.3E-04
  3.600E+00  9.86636E-04  5.26987E-25  1.88190E-08  1.88190E-08   9.8E-05
  3.700E+00  1.04219E-03  4.72285E-25  1.68656E-08  1.68655E-08   5.4E-05
  3.800E+00  1.09927E-03  4.24498E-25  1.51591E-08  1.51591E-08   1.6E-04
  3.900E+00  1.15786E-03  3.82606E-25  1.36631E-08  1.36631E-08   2.1E-04
  4.000E+00  1.21797E-03  3.45756E-25  1.23472E-08  1.23471E-08   2.0E-04
  4.100E+00  1.27961E-03  3.13237E-25  1.11859E-08  1.11859E-08   1.4E-04
  4.200E+00  1.34276E-03  2.84453E-25  1.01580E-08  1.01580E-08   5.5E-05
  4.300E+00  1.40743E-03  2.58900E-25  9.24549E-09  9.24547E-09   5.0E-05
  4.400E+00  1.47362E-03  2.36153E-25  8.43319E-09  8.43317E-09   1.2E-04
  4.500E+00  1.54133E-03  2.15851E-25  7.70817E-09  7.70814E-09   1.5E-04
  4.600E+00  1.61056E-03  1.97683E-25  7.05939E-09  7.05938E-09   1.4E-04
  4.700E+00  1.68131E-03  1.81388E-25  6.47747E-09  6.47745E-09   9.6E-05
  4.800E+00  1.75357E-03  1.66737E-25  5.95428E-09  5.95426E-09   3.1E-05
  4.900E+00  1.82735E-03  1.53536E-25  5.48286E-09  5.48284E-09   4.5E-05
  5.000E+00  1.90265E-03  1.41616E-25  5.05718E-09  5.05717E-09   9.3E-05
  5.100E+00  1.97947E-03  1.30830E-25  4.67202E-09  4.67201E-09   1.1E-04
  5.200E+00  2.05780E-03  1.21052E-25  4.32284E-09  4.32282E-09   1.0E-04
  5.300E+00  2.13765E-03  1.12170E-25  4.00567E-09  4.00565E-09   6.6E-05
  5.400E+00  2.21902E-03  1.04088E-25  3.71706E-09  3.71705E-09   1.7E-05
  5.500E+00  2.30190E-03  9.67213E-26  3.45398E-09  3.45397E-09   4.1E-05
  5.600E+00  2.38630E-03  8.99946E-26  3.21377E-09  3.21375E-09   7.4E-05
  5.700E+00  2.47222E-03  8.38426E-26  2.99407E-09  2.99406E-09   8.4E-05
  5.800E+00  2.55965E-03  7.82073E-26  2.79283E-09  2.79282E-09   7.5E-05
  5.900E+00  2.64859E-03  7.30376E-26  2.60822E-09  2.60821E-09   4.6E-05
  6.000E+00  2.73905E-03  6.82879E-26  2.43861E-09  2.43859E-09   7.7E-06
  6.100E+00  2.83103E-03  6.39181E-26  2.28256E-09  2.28255E-09   3.6E-05
  6.200E+00  2.92452E-03  5.98923E-26  2.13879E-09  2.13878E-09   6.0E-05
  6.300E+00  3.01952E-03  5.61784E-26  2.00617E-09  2.00616E-09   6.6E-05
  6.400E+00  3.11604E-03  5.27480E-26  1.88366E-09  1.88365E-09   5.7E-05
  6.500E+00  3.21407E-03  4.95753E-26  1.77037E-09  1.77036E-09   3.3E-05
  6.600E+00  3.31362E-03  4.66377E-26  1.66546E-09  1.66545E-09   4.4E-06
  6.700E+00  3.41468E-03  4.39143E-26  1.56821E-09  1.56820E-09   3.2E-05
  6.800E+00  3.51725E-03  4.13869E-26  1.47795E-09  1.47794E-09   5.0E-05
  6.900E+00  3.62133E-03  3.90386E-26  1.39409E-09  1.39409E-09   5.2E-05
  7.000E+00  3.72692E-03  3.68545E-26  1.31610E-09  1.31609E-09   4.4E-05
  7.100E+00  3.83403E-03  3.48211E-26  1.24348E-09  1.24348E-09   2.4E-05
  7.200E+00  3.94265E-03  3.29259E-26  1.17580E-09  1.17580E-09   7.2E-06
  7.300E+00  4.05278E-03  3.11579E-26  1.11267E-09  1.11266E-09   2.9E-05
  7.400E+00  4.16442E-03  2.95069E-26  1.05371E-09  1.05370E-09   4.1E-05
  7.500E+00  4.27757E-03  2.79638E-26  9.98606E-10  9.98600E-10   4.2E-05
  7.600E+00  4.39223E-03  2.65203E-26  9.47057E-10  9.47051E-10   3.4E-05
  7.700E+00  4.50840E-03  2.51687E-26  8.98790E-10  8.98784E-10   1.7E-05
  7.800E+00  4.62608E-03  2.39021E-26  8.53559E-10  8.53553E-10   8.9E-06
  7.900E+00  4.74527E-03  2.27141E-26  8.11136E-10  8.11130E-10   2.6E-05
  8.000E+00  4.86597E-03  2.15990E-26  7.71315E-10  7.71310E-10   3.5E-05
  8.100E+00  4.98817E-03  2.05515E-26  7.33908E-10  7.33903E-10   3.5E-05
  8.200E+00  5.11188E-03  1.95667E-26  6.98740E-10  6.98735E-10   2.7E-05
  8.300E+00  5.23711E-03  1.86402E-26  6.65654E-10  6.65648E-10   1.2E-05
  8.400E+00  5.36383E-03  1.77678E-26  6.34501E-10  6.34496E-10   9.8E-06
  8.500E+00  5.49207E-03  1.69459E-26  6.05150E-10  6.05145E-10   2.3E-05
  8.600E+00  5.62181E-03  1.61710E-26  5.77475E-10  5.77471E-10   3.0E-05
  8.700E+00  5.75306E-03  1.54398E-26  5.51364E-10  5.51360E-10   2.9E-05
  8.800E+00  5.88581E-03  1.47494E-26  5.26712E-10  5.26707E-10   2.1E-05
  8.900E+00  6.02007E-03  1.40972E-26  5.03421E-10  5.03417E-10   8.1E-06
  9.000E+00  6.15583E-03  1.34807E-26  4.81403E-10  4.81399E-10   1.0E-05
  9.100E+00  6.29310E-03  1.28974E-26  4.60576E-10  4.60572E-10   2.1E-05
  9.200E+00  6.43187E-03  1.23454E-26  4.40862E-10  4.40858E-10   2.5E-05
  9.300E+00  6.57214E-03  1.18226E-26  4.22191E-10  4.22187E-10   2.4E-05
  9.400E+00  6.71392E-03  1.13271E-26  4.04498E-10  4.04494E-10   1.7E-05
  9.500E+00  6.85720E-03  1.08573E-26  3.87721E-10  3.87718E-10   5.3E-06
  9.600E+00  7.00198E-03  1.04116E-26  3.71805E-10  3.71802E-10   1.0E-05
  9.700E+00  7.14827E-03  9.98853E-27  3.56697E-10  3.56693E-10   1.9E-05
  9.800E+00  7.29605E-03  9.58672E-27  3.42348E-10  3.42345E-10   2.2E-05
  9.900E+00  7.44534E-03  9.20490E-27  3.28713E-10  3.28710E-10   2.0E-05
  1.000E+01  7.59612E-03  8.84189E-27  3.15750E-10  3.15746E-10   1.3E-05
  1.025E+01  7.97965E-03  8.00962E-27  2.86029E-10  2.86026E-10   1.6E-05
  1.050E+01  8.37255E-03  7.27295E-27  2.59722E-10  2.59719E-10   1.7E-05
  1.075E+01  8.77480E-03  6.61902E-27  2.36369E-10  2.36367E-10   1.7E-05
  1.100E+01  9.18641E-03  6.03690E-27  2.15582E-10  2.15579E-10   1.6E-05
  1.125E+01  9.60736E-03  5.51736E-27  1.97028E-10  1.97026E-10   1.5E-05
  1.150E+01  1.00376E-02  5.05248E-27  1.80427E-10  1.80425E-10   1.4E-05
  1.175E+01  1.04773E-02  4.63551E-27  1.65537E-10  1.65535E-10   1.2E-05
  1.200E+01  1.09262E-02  4.26065E-27  1.52151E-10  1.52149E-10   9.3E-06
  1.225E+01  1.13844E-02  3.92290E-27  1.40089E-10  1.40087E-10   6.6E-06
  1.250E+01  1.18520E-02  3.61793E-27  1.29199E-10  1.29197E-10   3.8E-06
  1.275E+01  1.23288E-02  3.34200E-27  1.19345E-10  1.19343E-10   1.3E-06
  1.300E+01  1.28150E-02  3.09186E-27  1.10412E-10  1.10411E-10   3.7E-06
  1.325E+01  1.33104E-02  2.86467E-27  1.02299E-10  1.02298E-10   5.7E-06
  1.350E+01  1.38150E-02  2.65794E-27  9.49169E-11  9.49154E-11   7.2E-06
  1.375E+01  1.43290E-02  2.46951E-27  8.81879E-11  8.81865E-11   8.2E-06
  1.400E+01  1.48521E-02  2.29747E-27  8.20441E-11  8.20428E-11   8.7E-06
  1.425E+01  1.53845E-02  2.14013E-27  7.64255E-11  7.64243E-11   8.6E-06
  1.450E+01  1.59262E-02  1.99602E-27  7.12792E-11  7.12780E-11   8.2E-06
  1.475E+01  1.64770E-02  1.86382E-27  6.65583E-11  6.65571E-11   7.8E-06
  1.500E+01  1.70371E-02  1.74237E-27  6.22213E-11  6.22202E-11   7.0E-06
  1.525E+01  1.76063E-02  1.63064E-27  5.82313E-11  5.82303E-11   6.0E-06
  1.550E+01  1.81848E-02  1.52772E-27  5.45557E-11  5.45547E-11   4.7E-06
  1.575E+01  1.87724E-02  1.43277E-27  5.11651E-11  5.11642E-11   3.2E-06
  1.600E+01  1.93692E-02  1.34507E-27  4.80335E-11  4.80326E-11   1.7E-06
  1.625E+01  1.99751E-02  1.26398E-27  4.51374E-11  4.51365E-11   1.5E-06
  1.650E+01  2.05901E-02  1.18889E-27  4.24560E-11  4.24552E-11   2.7E-06
  1.675E+01  2.12143E-02  1.11929E-27  3.99704E-11  3.99696E-11   3.8E-06
  1.700E+01  2.18476E-02  1.05469E-27  3.76638E-11  3.76630E-11   4.5E-06
  1.725E+01  2.24900E-02  9.94686E-28  3.55209E-11  3.55201E-11   5.0E-06
  1.750E+01  2.31415E-02  9.38877E-28  3.35279E-11  3.35272E-11   5.2E-06
  1.775E+01  2.38021E-02  8.86920E-28  3.16725E-11  3.16718E-11   5.1E-06
  1.800E+01  2.44717E-02  8.38501E-28  2.99434E-11  2.99427E-11   4.9E-06
  1.825E+01  2.51504E-02  7.93334E-28  2.83305E-11  2.83298E-11   4.6E-06
  1.850E+01  2.58382E-02  7.51161E-28  2.68245E-11  2.68238E-11   4.1E-06
  1.875E+01  2.65349E-02  7.11748E-28  2.54170E-11  2.54164E-11   3.5E-06
  1.900E+01  2.72407E-02  6.74879E-28  2.41004E-11  2.40998E-11   2.7E-06
  1.925E+01  2.79555E-02  6.40362E-28  2.28677E-11  2.28672E-11   1.8E-06
  1.950E+01  2.86793E-02  6.08018E-28  2.17127E-11  2.17122E-11   8.6E-07
  1.975E+01  2.94120E-02  5.77685E-28  2.06295E-11  2.06290E-11   1.3E-06
  2.000E+01  3.01537E-02  5.49216E-28  1.96128E-11  1.96123E-11   2.1E-06
  2.025E+01  3.09043E-02  5.22474E-28  1.86579E-11  1.86574E-11   2.7E-06
  2.050E+01  3.16639E-02  4.97335E-28  1.77602E-11  1.77597E-11   3.1E-06
  2.075E+01  3.24324E-02  4.73687E-28  1.69157E-11  1.69152E-11   3.3E-06
  2.100E+01  3.32098E-02  4.51423E-28  1.61206E-11  1.61201E-11   3.4E-06
  2.125E+01  3.39961E-02  4.30447E-28  1.53716E-11  1.53711E-11   3.2E-06
  2.150E+01  3.47912E-02  4.10673E-28  1.46654E-11  1.46650E-11   3.2E-06
  2.175E+01  3.55952E-02  3.92017E-28  1.39992E-11  1.39988E-11   3.0E-06
  2.200E+01  3.64081E-02  3.74405E-28  1.33703E-11  1.33699E-11   2.7E-06
  2.225E+01  3.72297E-02  3.57768E-28  1.27761E-11  1.27758E-11   2.2E-06
