 #
 # Subroutine MOTTSC. Elastic scattering of electrons and positrons
 #                    by unscreened Coulomb fields
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+07 eV = 3.67493E+05 a.u.
 #
 # Z =  29
 #
 # Differential cross section      MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS       McKinl-Fesh    error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)   (a0**2/sr)
 #-----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.00000E-45  3.57106E-29  2.44127E+19   1.0E+00
  1.000E-04  7.61557E-13  6.83600E-02  2.44118E+15  2.44127E+15   1.0E+00
  1.250E-04  1.18994E-12  2.80001E-02  9.99901E+14  9.99943E+14   1.0E+00
  1.500E-04  1.71346E-12  1.35039E-02  4.82232E+14  4.82226E+14   1.0E+00
  1.750E-04  2.33225E-12  7.28885E-03  2.60289E+14  2.60294E+14   1.0E+00
  2.000E-04  3.04617E-12  4.27266E-03  1.52579E+14  1.52579E+14   1.0E+00
  2.250E-04  3.85530E-12  2.66741E-03  9.52550E+13  9.52545E+13   1.0E+00
  2.500E-04  4.75964E-12  1.75009E-03  6.24968E+13  6.24965E+13   1.0E+00
  2.750E-04  5.75917E-12  1.19533E-03  4.26860E+13  4.26860E+13   1.0E+00
  3.000E-04  6.85391E-12  8.43978E-04  3.01390E+13  3.01391E+13   1.0E+00
  3.250E-04  8.04379E-12  6.12754E-04  2.18819E+13  2.18818E+13   1.0E+00
  3.500E-04  9.32893E-12  4.55559E-04  1.62683E+13  1.62684E+13   1.0E+00
  3.750E-04  1.07092E-11  3.45695E-04  1.23450E+13  1.23450E+13   1.0E+00
  4.000E-04  1.21847E-11  2.67041E-04  9.53621E+12  9.53622E+12   1.0E+00
  4.250E-04  1.37554E-11  2.09538E-04  7.48273E+12  7.48274E+12   1.0E+00
  4.500E-04  1.54213E-11  1.66712E-04  5.95340E+12  5.95342E+12   1.0E+00
  4.750E-04  1.71823E-11  1.34290E-04  4.79560E+12  4.79559E+12   1.0E+00
  5.000E-04  1.90386E-11  1.09380E-04  3.90603E+12  3.90604E+12   1.0E+00
  5.250E-04  2.09900E-11  8.99873E-05  3.21351E+12  3.21351E+12   1.0E+00
  5.500E-04  2.30367E-11  7.47082E-05  2.66788E+12  2.66788E+12   1.0E+00
  5.750E-04  2.51785E-11  6.25385E-05  2.23329E+12  2.23329E+12   1.0E+00
  6.000E-04  2.74156E-11  5.27489E-05  1.88370E+12  1.88370E+12   1.0E+00
  6.250E-04  2.97478E-11  4.48021E-05  1.59991E+12  1.59991E+12   1.0E+00
  6.500E-04  3.21752E-11  3.82971E-05  1.36761E+12  1.36761E+12   1.0E+00
  6.750E-04  3.46979E-11  3.29309E-05  1.17598E+12  1.17598E+12   1.0E+00
  7.000E-04  3.73157E-11  2.84726E-05  1.01677E+12  1.01677E+12   1.0E+00
  7.250E-04  4.00286E-11  2.47438E-05  8.83618E+11  8.83619E+11   1.0E+00
  7.500E-04  4.28368E-11  2.16060E-05  7.71563E+11  7.71564E+11   1.0E+00
  7.750E-04  4.57402E-11  1.89502E-05  6.76722E+11  6.76722E+11   1.0E+00
  8.000E-04  4.87388E-11  1.66901E-05  5.96015E+11  5.96015E+11   1.0E+00
  8.250E-04  5.18325E-11  1.47572E-05  5.26989E+11  5.26989E+11   1.0E+00
  8.500E-04  5.50215E-11  1.30961E-05  4.67672E+11  4.67672E+11   1.0E+00
  8.750E-04  5.83057E-11  1.16624E-05  4.16471E+11  4.16471E+11   1.0E+00
  9.000E-04  6.16850E-11  1.04196E-05  3.72089E+11  3.72089E+11   1.0E+00
  9.250E-04  6.51595E-11  9.33798E-06  3.33465E+11  3.33465E+11   1.0E+00
  9.500E-04  6.87293E-11  8.39315E-06  2.99725E+11  2.99725E+11   1.0E+00
  9.750E-04  7.23943E-11  7.56486E-06  2.70146E+11  2.70146E+11   1.0E+00
  1.000E-03  7.61544E-11  6.83628E-06  2.44128E+11  2.44128E+11   1.0E+00
  1.250E-03  1.18991E-10  2.80014E-06  9.99948E+10  9.99950E+10   1.0E+00
  1.500E-03  1.71347E-10  1.35038E-06  4.82229E+10  4.82230E+10   1.0E+00
  1.750E-03  2.33223E-10  7.28902E-07  2.60296E+10  2.60296E+10   1.0E+00
  2.000E-03  3.04617E-10  4.27269E-07  1.52581E+10  1.52581E+10   1.0E+00
  2.250E-03  3.85531E-10  2.66742E-07  9.52555E+09  9.52556E+09   1.0E+00
  2.500E-03  4.75965E-10  1.75010E-07  6.24972E+09  6.24973E+09   1.0E+00
  2.750E-03  5.75917E-10  1.19534E-07  4.26865E+09  4.26866E+09   1.0E+00
  3.000E-03  6.85389E-10  8.43993E-08  3.01395E+09  3.01396E+09   1.0E+00
  3.250E-03  8.04380E-10  6.12761E-08  2.18821E+09  2.18821E+09   1.0E+00
  3.500E-03  9.32891E-10  4.55568E-08  1.62686E+09  1.62687E+09   1.0E+00
  3.750E-03  1.07092E-09  3.45701E-08  1.23452E+09  1.23452E+09   1.0E+00
  4.000E-03  1.21847E-09  2.67046E-08  9.53639E+08  9.53642E+08   1.0E+00
  4.250E-03  1.37554E-09  2.09542E-08  7.48288E+08  7.48290E+08   1.0E+00
  4.500E-03  1.54213E-09  1.66716E-08  5.95353E+08  5.95356E+08   1.0E+00
  4.750E-03  1.71823E-09  1.34293E-08  4.79569E+08  4.79571E+08   1.0E+00
  5.000E-03  1.90386E-09  1.09383E-08  3.90612E+08  3.90614E+08   1.0E+00
  5.250E-03  2.09900E-09  8.99894E-09  3.21358E+08  3.21360E+08   1.0E+00
  5.500E-03  2.30367E-09  7.47100E-09  2.66794E+08  2.66795E+08   1.0E+00
  5.750E-03  2.51785E-09  6.25401E-09  2.23335E+08  2.23336E+08   1.0E+00
  6.000E-03  2.74156E-09  5.27504E-09  1.88375E+08  1.88376E+08   1.0E+00
  6.250E-03  2.97478E-09  4.48034E-09  1.59996E+08  1.59997E+08   1.0E+00
  6.500E-03  3.21752E-09  3.82982E-09  1.36765E+08  1.36766E+08   1.0E+00
  6.750E-03  3.46978E-09  3.29319E-09  1.17602E+08  1.17603E+08   1.0E+00
  7.000E-03  3.73156E-09  2.84735E-09  1.01681E+08  1.01681E+08   1.0E+00
  7.250E-03  4.00286E-09  2.47446E-09  8.83647E+07  8.83652E+07   1.0E+00
  7.500E-03  4.28368E-09  2.16067E-09  7.71589E+07  7.71594E+07   1.0E+00
  7.750E-03  4.57402E-09  1.89508E-09  6.76745E+07  6.76749E+07   1.0E+00
  8.000E-03  4.87388E-09  1.66907E-09  5.96036E+07  5.96040E+07   1.0E+00
  8.250E-03  5.18326E-09  1.47577E-09  5.27008E+07  5.27012E+07   1.0E+00
  8.500E-03  5.50215E-09  1.30966E-09  4.67690E+07  4.67693E+07   1.0E+00
  8.750E-03  5.83057E-09  1.16628E-09  4.16487E+07  4.16490E+07   1.0E+00
  9.000E-03  6.16850E-09  1.04200E-09  3.72104E+07  3.72107E+07   1.0E+00
  9.250E-03  6.51596E-09  9.33836E-10  3.33479E+07  3.33481E+07   1.0E+00
  9.500E-03  6.87293E-09  8.39351E-10  2.99738E+07  2.99740E+07   1.0E+00
  9.750E-03  7.23942E-09  7.56519E-10  2.70158E+07  2.70160E+07   1.0E+00
  1.000E-02  7.61544E-09  6.83658E-10  2.44139E+07  2.44141E+07   1.0E+00
  1.250E-02  1.18991E-08  2.80030E-10  1.00000E+07  1.00002E+07   1.0E+00
  1.500E-02  1.71347E-08  1.35047E-10  4.82261E+06  4.82267E+06   1.0E+00
  1.750E-02  2.33223E-08  7.28959E-11  2.60316E+06  2.60320E+06   1.0E+00
