Photon      Nuclear     Electron
Energy      Pr. Prd.    Pr. Prd.

1.000E-03   0.000E+00   0.000E+00
1.500E-03   0.000E+00   0.000E+00
1.560E-03   0.000E+00   0.000E+00
1.560E-03   0.000E+00   0.000E+00
2.000E-03   0.000E+00   0.000E+00
3.000E-03   0.000E+00   0.000E+00
4.000E-03   0.000E+00   0.000E+00
5.000E-03   0.000E+00   0.000E+00
6.000E-03   0.000E+00   0.000E+00
8.000E-03   0.000E+00   0.000E+00
1.000E-02   0.000E+00   0.000E+00
1.500E-02   0.000E+00   0.000E+00
2.000E-02   0.000E+00   0.000E+00
3.000E-02   0.000E+00   0.000E+00
4.000E-02   0.000E+00   0.000E+00
5.000E-02   0.000E+00   0.000E+00
6.000E-02   0.000E+00   0.000E+00
8.000E-02   0.000E+00   0.000E+00
1.000E-01   0.000E+00   0.000E+00
1.500E-01   0.000E+00   0.000E+00
2.000E-01   0.000E+00   0.000E+00
3.000E-01   0.000E+00   0.000E+00
4.000E-01   0.000E+00   0.000E+00
5.000E-01   0.000E+00   0.000E+00
6.000E-01   0.000E+00   0.000E+00
8.000E-01   0.000E+00   0.000E+00
1.000E+00   0.000E+00   0.000E+00
1.022E+00   0.000E+00   0.000E+00
1.250E+00   3.134E-05   0.000E+00
1.500E+00   1.708E-04   0.000E+00
2.000E+00   6.747E-04   0.000E+00
2.044E+00   7.272E-04   0.000E+00
3.000E+00   1.918E-03   1.171E-05
4.000E+00   3.102E-03   4.781E-05
5.000E+00   4.154E-03   9.524E-05
6.000E+00   5.098E-03   1.463E-04
7.000E+00   5.937E-03   1.972E-04
8.000E+00   6.694E-03   2.466E-04
9.000E+00   7.377E-03   2.942E-04
1.000E+01   7.999E-03   3.393E-04
1.100E+01   8.564E-03   3.821E-04
1.200E+01   9.082E-03   4.225E-04
1.300E+01   9.562E-03   4.609E-04
1.400E+01   1.001E-02   4.973E-04
1.500E+01   1.043E-02   5.319E-04
1.600E+01   1.082E-02   5.649E-04
1.800E+01   1.154E-02   6.263E-04
2.000E+01   1.218E-02   6.823E-04
2.200E+01   1.276E-02   7.339E-04
2.400E+01   1.329E-02   7.814E-04
2.600E+01   1.377E-02   8.256E-04
2.800E+01   1.422E-02   8.667E-04
3.000E+01   1.463E-02   9.053E-04
4.000E+01   1.634E-02   1.066E-03
5.000E+01   1.761E-02   1.191E-03
6.000E+01   1.862E-02   1.292E-03
8.000E+01   2.013E-02   1.446E-03
1.000E+02   2.121E-02   1.561E-03
1.500E+02   2.294E-02   1.755E-03
2.000E+02   2.402E-02   1.881E-03
3.000E+02   2.527E-02   2.039E-03
4.000E+02   2.600E-02   2.136E-03
5.000E+02   2.649E-02   2.205E-03
6.000E+02   2.683E-02   2.256E-03
8.000E+02   2.730E-02   2.328E-03
1.000E+03   2.761E-02   2.375E-03
1.500E+03   2.806E-02   2.448E-03
2.000E+03   2.830E-02   2.491E-03
3.000E+03   2.857E-02   2.538E-03
4.000E+03   2.873E-02   2.565E-03
5.000E+03   2.881E-02   2.582E-03
6.000E+03   2.888E-02   2.594E-03
8.000E+03   2.895E-02   2.609E-03
1.000E+04   2.902E-02   2.620E-03
1.500E+04   2.908E-02   2.634E-03
2.000E+04   2.913E-02   2.643E-03
3.000E+04   2.915E-02   2.652E-03
4.000E+04   2.917E-02   2.656E-03
5.000E+04   2.919E-02   2.658E-03
6.000E+04   2.919E-02   2.660E-03
8.000E+04   2.922E-02   2.663E-03
1.000E+05   2.922E-02   2.665E-03
