Photon   	Nuclear 	Electron	
Energy   	Pr. Prd.	Pr. Prd.	

1.000E-03	0.000E+00	0.000E+00	
1.500E-03	0.000E+00	0.000E+00	
2.000E-03	0.000E+00	0.000E+00	
3.000E-03	0.000E+00	0.000E+00	
4.000E-03	0.000E+00	0.000E+00	
5.000E-03	0.000E+00	0.000E+00	
6.000E-03	0.000E+00	0.000E+00	
7.112E-03	0.000E+00	0.000E+00	
7.112E-03	0.000E+00	0.000E+00	
8.000E-03	0.000E+00	0.000E+00	
1.000E-02	0.000E+00	0.000E+00	
1.500E-02	0.000E+00	0.000E+00	
2.000E-02	0.000E+00	0.000E+00	
3.000E-02	0.000E+00	0.000E+00	
4.000E-02	0.000E+00	0.000E+00	
5.000E-02	0.000E+00	0.000E+00	
6.000E-02	0.000E+00	0.000E+00	
8.000E-02	0.000E+00	0.000E+00	
1.000E-01	0.000E+00	0.000E+00	
1.500E-01	0.000E+00	0.000E+00	
2.000E-01	0.000E+00	0.000E+00	
3.000E-01	0.000E+00	0.000E+00	
4.000E-01	0.000E+00	0.000E+00	
5.000E-01	0.000E+00	0.000E+00	
6.000E-01	0.000E+00	0.000E+00	
8.000E-01	0.000E+00	0.000E+00	
1.000E+00	0.000E+00	0.000E+00	
1.022E+00	0.000E+00	0.000E+00	
1.250E+00	7.031E-05	0.000E+00	
1.500E+00	3.580E-04	0.000E+00	
2.000E+00	1.364E-03	0.000E+00	
2.044E+00	1.468E-03	0.000E+00	
3.000E+00	3.781E-03	1.131E-05	
4.000E+00	6.039E-03	4.617E-05	
5.000E+00	8.032E-03	9.198E-05	
6.000E+00	9.810E-03	1.413E-04	
7.000E+00	1.139E-02	1.903E-04	
8.000E+00	1.281E-02	2.380E-04	
9.000E+00	1.409E-02	2.836E-04	
1.000E+01	1.526E-02	3.269E-04	
1.100E+01	1.632E-02	3.680E-04	
1.200E+01	1.729E-02	4.069E-04	
1.300E+01	1.817E-02	4.435E-04	
1.400E+01	1.901E-02	4.785E-04	
1.500E+01	1.979E-02	5.115E-04	
1.600E+01	2.052E-02	5.429E-04	
1.800E+01	2.186E-02	6.014E-04	
2.000E+01	2.305E-02	6.548E-04	
2.200E+01	2.414E-02	7.036E-04	
2.400E+01	2.513E-02	7.487E-04	
2.600E+01	2.603E-02	7.904E-04	
2.800E+01	2.685E-02	8.292E-04	
3.000E+01	2.762E-02	8.655E-04	
4.000E+01	3.071E-02	1.016E-03	
5.000E+01	3.303E-02	1.132E-03	
6.000E+01	3.484E-02	1.225E-03	
8.000E+01	3.756E-02	1.365E-03	
1.000E+02	3.950E-02	1.469E-03	
1.500E+02	4.263E-02	1.643E-03	
2.000E+02	4.451E-02	1.753E-03	
3.000E+02	4.671E-02	1.890E-03	
4.000E+02	4.800E-02	1.973E-03	
5.000E+02	4.884E-02	2.030E-03	
6.000E+02	4.944E-02	2.073E-03	
8.000E+02	5.025E-02	2.131E-03	
1.000E+03	5.077E-02	2.171E-03	
1.500E+03	5.153E-02	2.229E-03	
2.000E+03	5.194E-02	2.263E-03	
3.000E+03	5.240E-02	2.300E-03	
4.000E+03	5.263E-02	2.322E-03	
5.000E+03	5.279E-02	2.335E-03	
6.000E+03	5.289E-02	2.344E-03	
8.000E+03	5.303E-02	2.357E-03	
1.000E+04	5.312E-02	2.365E-03	
1.500E+04	5.325E-02	2.376E-03	
2.000E+04	5.331E-02	2.382E-03	
3.000E+04	5.338E-02	2.388E-03	
4.000E+04	5.341E-02	2.392E-03	
5.000E+04	5.344E-02	2.394E-03	
6.000E+04	5.345E-02	2.396E-03	
8.000E+04	5.347E-02	2.397E-03	
1.000E+05	5.349E-02	2.398E-03	
