Photon   	Nuclear 	Electron	
Energy   	Pr. Prd.	Pr. Prd.	

1.000E-03	0.000E+00	0.000E+00	
1.500E-03	0.000E+00	0.000E+00	
2.000E-03	0.000E+00	0.000E+00	
2.206E-03	0.000E+00	0.000E+00	
2.206E-03	0.000E+00	0.000E+00	
2.248E-03	0.000E+00	0.000E+00	
2.291E-03	0.000E+00	0.000E+00	
2.291E-03	0.000E+00	0.000E+00	
2.507E-03	0.000E+00	0.000E+00	
2.743E-03	0.000E+00	0.000E+00	
2.743E-03	0.000E+00	0.000E+00	
3.000E-03	0.000E+00	0.000E+00	
3.148E-03	0.000E+00	0.000E+00	
3.148E-03	0.000E+00	0.000E+00	
3.283E-03	0.000E+00	0.000E+00	
3.425E-03	0.000E+00	0.000E+00	
3.425E-03	0.000E+00	0.000E+00	
4.000E-03	0.000E+00	0.000E+00	
5.000E-03	0.000E+00	0.000E+00	
6.000E-03	0.000E+00	0.000E+00	
8.000E-03	0.000E+00	0.000E+00	
1.000E-02	0.000E+00	0.000E+00	
1.192E-02	0.000E+00	0.000E+00	
1.192E-02	0.000E+00	0.000E+00	
1.279E-02	0.000E+00	0.000E+00	
1.373E-02	0.000E+00	0.000E+00	
1.373E-02	0.000E+00	0.000E+00	
1.404E-02	0.000E+00	0.000E+00	
1.435E-02	0.000E+00	0.000E+00	
1.435E-02	0.000E+00	0.000E+00	
1.500E-02	0.000E+00	0.000E+00	
2.000E-02	0.000E+00	0.000E+00	
3.000E-02	0.000E+00	0.000E+00	
4.000E-02	0.000E+00	0.000E+00	
5.000E-02	0.000E+00	0.000E+00	
6.000E-02	0.000E+00	0.000E+00	
8.000E-02	0.000E+00	0.000E+00	
8.072E-02	0.000E+00	0.000E+00	
8.072E-02	0.000E+00	0.000E+00	
1.000E-01	0.000E+00	0.000E+00	
1.500E-01	0.000E+00	0.000E+00	
2.000E-01	0.000E+00	0.000E+00	
3.000E-01	0.000E+00	0.000E+00	
4.000E-01	0.000E+00	0.000E+00	
5.000E-01	0.000E+00	0.000E+00	
6.000E-01	0.000E+00	0.000E+00	
8.000E-01	0.000E+00	0.000E+00	
1.000E+00	0.000E+00	0.000E+00	
1.022E+00	0.000E+00	0.000E+00	
1.250E+00	3.596E-04	0.000E+00	
1.500E+00	1.703E-03	0.000E+00	
2.000E+00	5.192E-03	0.000E+00	
2.044E+00	5.500E-03	0.000E+00	
3.000E+00	1.153E-02	9.717E-06	
4.000E+00	1.670E-02	3.959E-05	
5.000E+00	2.102E-02	7.876E-05	
6.000E+00	2.475E-02	1.207E-04	
7.000E+00	2.803E-02	1.625E-04	
8.000E+00	3.097E-02	2.028E-04	
9.000E+00	3.366E-02	2.414E-04	
1.000E+01	3.614E-02	2.779E-04	
1.100E+01	3.840E-02	3.125E-04	
1.200E+01	4.054E-02	3.449E-04	
1.300E+01	4.253E-02	3.755E-04	
1.400E+01	4.439E-02	4.045E-04	
1.500E+01	4.611E-02	4.317E-04	
1.600E+01	4.773E-02	4.577E-04	
1.800E+01	5.066E-02	5.060E-04	
2.000E+01	5.326E-02	5.494E-04	
2.200E+01	5.561E-02	5.892E-04	
2.400E+01	5.776E-02	6.256E-04	
2.600E+01	5.974E-02	6.592E-04	
2.800E+01	6.152E-02	6.904E-04	
3.000E+01	6.320E-02	7.191E-04	
4.000E+01	6.998E-02	8.374E-04	
5.000E+01	7.500E-02	9.264E-04	
6.000E+01	7.891E-02	9.964E-04	
8.000E+01	8.463E-02	1.101E-03	
1.000E+02	8.870E-02	1.176E-03	
1.500E+02	9.506E-02	1.299E-03	
2.000E+02	9.885E-02	1.375E-03	
3.000E+02	1.032E-01	1.466E-03	
4.000E+02	1.058E-01	1.521E-03	
5.000E+02	1.074E-01	1.557E-03	
6.000E+02	1.086E-01	1.584E-03	
8.000E+02	1.101E-01	1.621E-03	
1.000E+03	1.111E-01	1.645E-03	
1.500E+03	1.126E-01	1.681E-03	
2.000E+03	1.134E-01	1.701E-03	
3.000E+03	1.142E-01	1.723E-03	
4.000E+03	1.147E-01	1.735E-03	
5.000E+03	1.150E-01	1.743E-03	
6.000E+03	1.152E-01	1.749E-03	
8.000E+03	1.154E-01	1.756E-03	
1.000E+04	1.156E-01	1.760E-03	
1.500E+04	1.158E-01	1.767E-03	
2.000E+04	1.160E-01	1.770E-03	
3.000E+04	1.161E-01	1.774E-03	
4.000E+04	1.162E-01	1.776E-03	
5.000E+04	1.162E-01	1.777E-03	
6.000E+04	1.162E-01	1.778E-03	
8.000E+04	1.163E-01	1.779E-03	
1.000E+05	1.163E-01	1.779E-03
