Photon      Nuclear     Electron
Energy      Pr. Prd.    Pr. Prd.

1.000E-03   0.000E+00   0.000E+00
1.500E-03   0.000E+00   0.000E+00
2.000E-03   0.000E+00   0.000E+00
2.580E-03   0.000E+00   0.000E+00
2.580E-03   0.000E+00   0.000E+00
2.633E-03   0.000E+00   0.000E+00
2.688E-03   0.000E+00   0.000E+00
2.688E-03   0.000E+00   0.000E+00
3.000E-03   0.000E+00   0.000E+00
3.177E-03   0.000E+00   0.000E+00
3.177E-03   0.000E+00   0.000E+00
3.427E-03   0.000E+00   0.000E+00
3.696E-03   0.000E+00   0.000E+00
3.696E-03   0.000E+00   0.000E+00
3.845E-03   0.000E+00   0.000E+00
3.999E-03   0.000E+00   0.000E+00
3.999E-03   0.000E+00   0.000E+00
4.000E-03   0.000E+00   0.000E+00
5.000E-03   0.000E+00   0.000E+00
6.000E-03   0.000E+00   0.000E+00
8.000E-03   0.000E+00   0.000E+00
1.000E-02   0.000E+00   0.000E+00
1.342E-02   0.000E+00   0.000E+00
1.342E-02   0.000E+00   0.000E+00
1.500E-02   0.000E+00   0.000E+00
1.571E-02   0.000E+00   0.000E+00
1.571E-02   0.000E+00   0.000E+00
1.605E-02   0.000E+00   0.000E+00
1.639E-02   0.000E+00   0.000E+00
1.639E-02   0.000E+00   0.000E+00
2.000E-02   0.000E+00   0.000E+00
3.000E-02   0.000E+00   0.000E+00
4.000E-02   0.000E+00   0.000E+00
5.000E-02   0.000E+00   0.000E+00
6.000E-02   0.000E+00   0.000E+00
8.000E-02   0.000E+00   0.000E+00
9.053E-02   0.000E+00   0.000E+00
9.053E-02   0.000E+00   0.000E+00
1.000E-01   0.000E+00   0.000E+00
1.500E-01   0.000E+00   0.000E+00
2.000E-01   0.000E+00   0.000E+00
3.000E-01   0.000E+00   0.000E+00
4.000E-01   0.000E+00   0.000E+00
5.000E-01   0.000E+00   0.000E+00
6.000E-01   0.000E+00   0.000E+00
8.000E-01   0.000E+00   0.000E+00
1.000E+00   0.000E+00   0.000E+00
1.022E+00   0.000E+00   0.000E+00
1.250E+00   3.873E-04   0.000E+00
1.500E+00   1.855E-03   0.000E+00
2.000E+00   5.579E-03   0.000E+00
2.044E+00   5.905E-03   0.000E+00
3.000E+00   1.215E-02   9.619E-06
4.000E+00   1.740E-02   3.919E-05
5.000E+00   2.179E-02   7.795E-05
6.000E+00   2.558E-02   1.195E-04
7.000E+00   2.893E-02   1.608E-04
8.000E+00   3.193E-02   2.007E-04
9.000E+00   3.467E-02   2.388E-04
1.000E+01   3.717E-02   2.749E-04
1.100E+01   3.951E-02   3.089E-04
1.200E+01   4.167E-02   3.412E-04
1.300E+01   4.372E-02   3.712E-04
1.400E+01   4.562E-02   4.000E-04
1.500E+01   4.737E-02   4.271E-04
1.600E+01   4.905E-02   4.527E-04
1.800E+01   5.204E-02   5.000E-04
2.000E+01   5.469E-02   5.432E-04
2.200E+01   5.711E-02   5.824E-04
2.400E+01   5.933E-02   6.181E-04
2.600E+01   6.135E-02   6.513E-04
2.800E+01   6.320E-02   6.818E-04
3.000E+01   6.490E-02   7.103E-04
4.000E+01   7.184E-02   8.270E-04
5.000E+01   7.700E-02   9.146E-04
6.000E+01   8.100E-02   9.835E-04
8.000E+01   8.688E-02   1.086E-03
1.000E+02   9.103E-02   1.160E-03
1.500E+02   9.757E-02   1.281E-03
2.000E+02   1.015E-01   1.356E-03
3.000E+02   1.060E-01   1.446E-03
4.000E+02   1.086E-01   1.500E-03
5.000E+02   1.102E-01   1.536E-03
6.000E+02   1.114E-01   1.563E-03
8.000E+02   1.130E-01   1.599E-03
1.000E+03   1.141E-01   1.623E-03
1.500E+03   1.156E-01   1.659E-03
2.000E+03   1.164E-01   1.679E-03
3.000E+03   1.173E-01   1.701E-03
4.000E+03   1.177E-01   1.714E-03
5.000E+03   1.181E-01   1.722E-03
6.000E+03   1.183E-01   1.727E-03
8.000E+03   1.186E-01   1.734E-03
1.000E+04   1.187E-01   1.739E-03
1.500E+04   1.190E-01   1.745E-03
2.000E+04   1.191E-01   1.749E-03
3.000E+04   1.192E-01   1.752E-03
4.000E+04   1.193E-01   1.754E-03
5.000E+04   1.193E-01   1.756E-03
6.000E+04   1.194E-01   1.756E-03
8.000E+04   1.194E-01   1.757E-03
1.000E+05   1.194E-01   1.758E-03
