 #
 # Differential cross section:               MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #--------------------------------------------------------------
  0.000E+00  0.00000E+00  2.14988E-12  7.67735E+04  0.00000E+00
  1.000E-04  7.61557E-13  2.14981E-12  7.67710E+04  0.00000E+00
  1.250E-04  1.18994E-12  2.14977E-12  7.67695E+04  0.00000E+00
  1.500E-04  1.71346E-12  2.14972E-12  7.67678E+04  0.00000E+00
  1.750E-04  2.33225E-12  2.14966E-12  7.67657E+04  0.00000E+00
  2.000E-04  3.04617E-12  2.14959E-12  7.67634E+04  0.00000E+00
  2.250E-04  3.85530E-12  2.14952E-12  7.67607E+04  0.00000E+00
  2.500E-04  4.75964E-12  2.14943E-12  7.67577E+04  0.00000E+00
  2.750E-04  5.75917E-12  2.14934E-12  7.67543E+04  0.00000E+00
  3.000E-04  6.85391E-12  2.14924E-12  7.67507E+04  0.00000E+00
  3.250E-04  8.04379E-12  2.14913E-12  7.67468E+04  0.00000E+00
  3.500E-04  9.32893E-12  2.14901E-12  7.67425E+04  0.00000E+00
  3.750E-04  1.07092E-11  2.14888E-12  7.67379E+04  0.00000E+00
  4.000E-04  1.21847E-11  2.14874E-12  7.67330E+04  0.00000E+00
  4.250E-04  1.37554E-11  2.14860E-12  7.67278E+04  0.00000E+00
  4.500E-04  1.54213E-11  2.14844E-12  7.67223E+04  0.00000E+00
  4.750E-04  1.71823E-11  2.14828E-12  7.67164E+04  0.00000E+00
  5.000E-04  1.90386E-11  2.14811E-12  7.67103E+04  0.00000E+00
  5.250E-04  2.09900E-11  2.14793E-12  7.67038E+04  0.00000E+00
  5.500E-04  2.30367E-11  2.14774E-12  7.66970E+04  0.00000E+00
  5.750E-04  2.51785E-11  2.14754E-12  7.66899E+04  0.00000E+00
  6.000E-04  2.74156E-11  2.14733E-12  7.66825E+04  0.00000E+00
  6.250E-04  2.97478E-11  2.14711E-12  7.66748E+04  0.00000E+00
  6.500E-04  3.21752E-11  2.14689E-12  7.66668E+04  0.00000E+00
  6.750E-04  3.46979E-11  2.14665E-12  7.66584E+04  0.00000E+00
  7.000E-04  3.73157E-11  2.14641E-12  7.66497E+04  0.00000E+00
  7.250E-04  4.00286E-11  2.14616E-12  7.66408E+04  0.00000E+00
  7.500E-04  4.28368E-11  2.14590E-12  7.66315E+04  0.00000E+00
  7.750E-04  4.57402E-11  2.14563E-12  7.66219E+04  0.00000E+00
  8.000E-04  4.87388E-11  2.14535E-12  7.66119E+04  0.00000E+00
  8.250E-04  5.18325E-11  2.14507E-12  7.66017E+04  0.00000E+00
  8.500E-04  5.50215E-11  2.14477E-12  7.65912E+04  0.00000E+00
  8.750E-04  5.83057E-11  2.14447E-12  7.65803E+04  0.00000E+00
  9.000E-04  6.16850E-11  2.14415E-12  7.65692E+04  0.00000E+00
  9.250E-04  6.51595E-11  2.14383E-12  7.65577E+04  0.00000E+00
  9.500E-04  6.87293E-11  2.14350E-12  7.65459E+04  0.00000E+00
  9.750E-04  7.23943E-11  2.14316E-12  7.65338E+04  0.00000E+00
  1.000E-03  7.61544E-11  2.14282E-12  7.65214E+04  0.00000E+00
  1.250E-03  1.18991E-10  2.13886E-12  7.63802E+04  0.00000E+00
  1.500E-03  1.71347E-10  2.13405E-12  7.62083E+04  0.00000E+00
  1.750E-03  2.33223E-10  2.12838E-12  7.60059E+04  0.00000E+00
  2.000E-03  3.04617E-10  2.12187E-12  7.57735E+04  0.00000E+00
  2.250E-03  3.85531E-10  2.11454E-12  7.55115E+04  0.00000E+00
  2.500E-03  4.75965E-10  2.10639E-12  7.52204E+04  0.00000E+00
  2.750E-03  5.75917E-10  2.09743E-12  7.49007E+04  0.00000E+00
  3.000E-03  6.85389E-10  2.08770E-12  7.45531E+04  0.00000E+00
  3.250E-03  8.04380E-10  2.07720E-12  7.41783E+04  0.00000E+00
  3.500E-03  9.32891E-10  2.06596E-12  7.37769E+04  0.00000E+00
  3.750E-03  1.07092E-09  2.05400E-12  7.33496E+04  0.00000E+00
  4.000E-03  1.21847E-09  2.04133E-12  7.28973E+04  0.00000E+00
  4.250E-03  1.37554E-09  2.02799E-12  7.24207E+04  0.00000E+00
  4.500E-03  1.54213E-09  2.01399E-12  7.19208E+04  0.00000E+00
  4.750E-03  1.71823E-09  1.99936E-12  7.13983E+04  0.00000E+00
  5.000E-03  1.90386E-09  1.98412E-12  7.08543E+04  0.00000E+00
  5.250E-03  2.09900E-09  1.96830E-12  7.02892E+04  0.00000E+00
  5.500E-03  2.30367E-09  1.95183E-12  6.97013E+04  0.00000E+00
  5.750E-03  2.51785E-09  1.93489E-12  6.90961E+04  0.00000E+00
  6.000E-03  2.74156E-09  1.91749E-12  6.84750E+04  0.00000E+00
  6.250E-03  2.97478E-09  1.89968E-12  6.78389E+04  0.00000E+00
  6.500E-03  3.21752E-09  1.88148E-12  6.71890E+04  0.00000E+00
  6.750E-03  3.46978E-09  1.86267E-12  6.65171E+04  0.00000E+00
  7.000E-03  3.73156E-09  1.84349E-12  6.58321E+04  0.00000E+00
  7.250E-03  4.00286E-09  1.82401E-12  6.51365E+04  0.00000E+00
  7.500E-03  4.28368E-09  1.80426E-12  6.44315E+04  0.00000E+00
  7.750E-03  4.57402E-09  1.78428E-12  6.37179E+04  0.00000E+00
  8.000E-03  4.87388E-09  1.76387E-12  6.29889E+04  0.00000E+00
  8.250E-03  5.18326E-09  1.74315E-12  6.22489E+04  0.00000E+00
  8.500E-03  5.50215E-09  1.72228E-12  6.15036E+04  0.00000E+00
  8.750E-03  5.83057E-09  1.70128E-12  6.07538E+04  0.00000E+00
  9.000E-03  6.16850E-09  1.68019E-12  6.00007E+04  0.00000E+00
  9.250E-03  6.51596E-09  1.65887E-12  5.92393E+04  0.00000E+00
  9.500E-03  6.87293E-09  1.63727E-12  5.84681E+04  0.00000E+00
  9.750E-03  7.23942E-09  1.61566E-12  5.76963E+04  0.00000E+00
  1.000E-02  7.61544E-09  1.59405E-12  5.69246E+04  0.00000E+00
  1.250E-02  1.18991E-08  1.37828E-12  4.92191E+04  0.00000E+00
  1.500E-02  1.71347E-08  1.17490E-12  4.19566E+04  0.00000E+00
  1.750E-02  2.33223E-08  9.93986E-13  3.54959E+04  0.00000E+00
  2.000E-02  3.04617E-08  8.39117E-13  2.99654E+04  0.00000E+00
  2.250E-02  3.85531E-08  7.09699E-13  2.53438E+04  0.00000E+00
  2.500E-02  4.75965E-08  6.02976E-13  2.15327E+04  0.00000E+00
  2.750E-02  5.75917E-08  5.15429E-13  1.84063E+04  0.00000E+00
  3.000E-02  6.85389E-08  4.43563E-13  1.58399E+04  0.00000E+00
  3.250E-02  8.04380E-08  3.84309E-13  1.37239E+04  0.00000E+00
  3.500E-02  9.32891E-08  3.35135E-13  1.19679E+04  0.00000E+00
  3.750E-02  1.07092E-07  2.93996E-13  1.04988E+04  0.00000E+00
  4.000E-02  1.21847E-07  2.59284E-13  9.25918E+03  0.00000E+00
  4.250E-02  1.37554E-07  2.29744E-13  8.20429E+03  0.00000E+00
  4.500E-02  1.54213E-07  2.04403E-13  7.29935E+03  0.00000E+00
  4.750E-02  1.71823E-07  1.82502E-13  6.51728E+03  0.00000E+00
  5.000E-02  1.90386E-07  1.63450E-13  5.83690E+03  0.00000E+00
  5.250E-02  2.09900E-07  1.46637E-13  5.23652E+03  0.00000E+00
  5.500E-02  2.30367E-07  1.30839E-13  4.67235E+03  0.00000E+00
  5.750E-02  2.51785E-07  1.17510E-13  4.19635E+03  0.00000E+00
  6.000E-02  2.74156E-07  1.06189E-13  3.79207E+03  0.00000E+00
  6.250E-02  2.97478E-07  9.65139E-14  3.44657E+03  0.00000E+00
  6.500E-02  3.21752E-07  8.81960E-14  3.14954E+03  0.00000E+00
  6.750E-02  3.46978E-07  7.96548E-14  2.84452E+03  0.00000E+00
  7.000E-02  3.73156E-07  7.21050E-14  2.57492E+03  0.00000E+00
  7.250E-02  4.00286E-07  6.55724E-14  2.34163E+03  0.00000E+00
  7.500E-02  4.28368E-07  5.98922E-14  2.13879E+03  0.00000E+00
  7.750E-02  4.57402E-07  5.49302E-14  1.96159E+03  0.00000E+00
  8.000E-02  4.87388E-07  5.01183E-14  1.78976E+03  0.00000E+00
  8.250E-02  5.18325E-07  4.56621E-14  1.63062E+03  0.00000E+00
  8.500E-02  5.50215E-07  4.17480E-14  1.49085E+03  0.00000E+00
  8.750E-02  5.83057E-07  3.82967E-14  1.36760E+03  0.00000E+00
  9.000E-02  6.16850E-07  3.52426E-14  1.25854E+03  0.00000E+00
  9.250E-02  6.51596E-07  3.24021E-14  1.15710E+03  0.00000E+00
  9.500E-02  6.87293E-07  2.97082E-14  1.06090E+03  0.00000E+00
  9.750E-02  7.23942E-07  2.73120E-14  9.75329E+02  0.00000E+00
  1.000E-01  7.61543E-07  2.51741E-14  8.98982E+02  0.00000E+00
  1.250E-01  1.18991E-06  1.18283E-14  4.22396E+02  0.00000E+00
  1.500E-01  1.71347E-06  6.20235E-15  2.21490E+02  0.00000E+00
  1.750E-01  2.33223E-06  3.58274E-15  1.27942E+02  0.00000E+00
  2.000E-01  3.04617E-06  2.23583E-15  7.98428E+01  0.00000E+00
  2.250E-01  3.85531E-06  1.47918E-15  5.28223E+01  0.00000E+00
  2.500E-01  4.75964E-06  1.02205E-15  3.64980E+01  0.00000E+00
  2.750E-01  5.75916E-06  7.29697E-16  2.60580E+01  0.00000E+00
  3.000E-01  6.85388E-06  5.34466E-16  1.90861E+01  0.00000E+00
  3.250E-01  8.04378E-06  3.99775E-16  1.42762E+01  0.00000E+00
  3.500E-01  9.32888E-06  3.04395E-16  1.08702E+01  0.00000E+00
  3.750E-01  1.07092E-05  2.35387E-16  8.40582E+00  0.00000E+00
  4.000E-01  1.21846E-05  1.84566E-16  6.59097E+00  0.00000E+00
  4.250E-01  1.37553E-05  1.46561E-16  5.23379E+00  0.00000E+00
  4.500E-01  1.54212E-05  1.17740E-16  4.20457E+00  0.00000E+00
  4.750E-01  1.71822E-05  9.55975E-17  3.41385E+00  0.00000E+00
  5.000E-01  1.90385E-05  7.83768E-17  2.79888E+00  0.00000E+00
  5.250E-01  2.09899E-05  6.48497E-17  2.31582E+00  0.00000E+00
  5.500E-01  2.30365E-05  5.40953E-17  1.93178E+00  0.00000E+00
  5.750E-01  2.51783E-05  4.55039E-17  1.62498E+00  0.00000E+00
  6.000E-01  2.74153E-05  3.85301E-17  1.37593E+00  0.00000E+00
  6.250E-01  2.97475E-05  3.28557E-17  1.17330E+00  0.00000E+00
  6.500E-01  3.21749E-05  2.81827E-17  1.00642E+00  0.00000E+00
  6.750E-01  3.46974E-05  2.43194E-17  8.68461E-01  0.00000E+00
  7.000E-01  3.73152E-05  2.10959E-17  7.53350E-01  0.00000E+00
  7.250E-01  4.00281E-05  1.83940E-17  6.56863E-01  0.00000E+00
  7.500E-01  4.28362E-05  1.61117E-17  5.75360E-01  0.00000E+00
  7.750E-01  4.57395E-05  1.41751E-17  5.06202E-01  0.00000E+00
  8.000E-01  4.87380E-05  1.25215E-17  4.47151E-01  0.00000E+00
  8.250E-01  5.18317E-05  1.11034E-17  3.96510E-01  0.00000E+00
  8.500E-01  5.50205E-05  9.88103E-18  3.52858E-01  0.00000E+00
  8.750E-01  5.83045E-05  8.82295E-18  3.15073E-01  0.00000E+00
  9.000E-01  6.16838E-05  7.90338E-18  2.82235E-01  0.00000E+00
  9.250E-01  6.51582E-05  7.10086E-18  2.53576E-01  0.00000E+00
  9.500E-01  6.87277E-05  6.39827E-18  2.28487E-01  0.00000E+00
  9.750E-01  7.23925E-05  5.78053E-18  2.06426E-01  0.00000E+00
  1.000E+00  7.61524E-05  5.23607E-18  1.86983E-01  0.00000E+00
  1.100E+00  9.21439E-05  3.60655E-18  1.28792E-01  0.00000E+00
  1.200E+00  1.09658E-04  2.56482E-18  9.15913E-02  0.00000E+00
  1.300E+00  1.28695E-04  1.87359E-18  6.69070E-02  0.00000E+00
  1.400E+00  1.49255E-04  1.40020E-18  5.00022E-02  0.00000E+00
  1.500E+00  1.71338E-04  1.06726E-18  3.81125E-02  0.00000E+00
  1.600E+00  1.94942E-04  8.27561E-19  2.95528E-02  0.00000E+00
  1.700E+00  2.20070E-04  6.51475E-19  2.32646E-02  0.00000E+00
  1.800E+00  2.46720E-04  5.19788E-19  1.85620E-02  0.00000E+00
  1.900E+00  2.74892E-04  4.19723E-19  1.49886E-02  0.00000E+00
  2.000E+00  3.04586E-04  3.42602E-19  1.22345E-02  0.00000E+00
  2.100E+00  3.35803E-04  2.82393E-19  1.00844E-02  0.00000E+00
  2.200E+00  3.68542E-04  2.34841E-19  8.38631E-03  0.00000E+00
  2.300E+00  4.02802E-04  1.96884E-19  7.03084E-03  0.00000E+00
  2.400E+00  4.38585E-04  1.66291E-19  5.93836E-03  0.00000E+00
  2.500E+00  4.75889E-04  1.41415E-19  5.05002E-03  0.00000E+00
  2.600E+00  5.14715E-04  1.21020E-19  4.32171E-03  0.00000E+00
  2.700E+00  5.55063E-04  1.04173E-19  3.72010E-03  0.00000E+00
  2.800E+00  5.96931E-04  9.01588E-20  3.21963E-03  0.00000E+00
  2.900E+00  6.40321E-04  7.84242E-20  2.80058E-03  0.00000E+00
  3.000E+00  6.85233E-04  6.85387E-20  2.44756E-03  0.00000E+00
  3.100E+00  7.31665E-04  6.01634E-20  2.14847E-03  0.00000E+00
  3.200E+00  7.79618E-04  5.30300E-20  1.89374E-03  0.00000E+00
  3.300E+00  8.29092E-04  4.69237E-20  1.67568E-03  0.00000E+00
  3.400E+00  8.80086E-04  4.16723E-20  1.48814E-03  0.00000E+00
  3.500E+00  9.32601E-04  3.71359E-20  1.32615E-03  0.00000E+00
  3.600E+00  9.86636E-04  3.32008E-20  1.18562E-03  0.00000E+00
  3.700E+00  1.04219E-03  2.97740E-20  1.06325E-03  0.00000E+00
  3.800E+00  1.09927E-03  2.67785E-20  9.56277E-04  0.00000E+00
  3.900E+00  1.15786E-03  2.41509E-20  8.62443E-04  0.00000E+00
  4.000E+00  1.21797E-03  2.18381E-20  7.79854E-04  0.00000E+00
  4.100E+00  1.27961E-03  1.97961E-20  7.06931E-04  0.00000E+00
  4.200E+00  1.34276E-03  1.79876E-20  6.42348E-04  0.00000E+00
  4.300E+00  1.40743E-03  1.63812E-20  5.84983E-04  0.00000E+00
  4.400E+00  1.47362E-03  1.49505E-20  5.33892E-04  0.00000E+00
  4.500E+00  1.54133E-03  1.36729E-20  4.88267E-04  0.00000E+00
  4.600E+00  1.61056E-03  1.25290E-20  4.47420E-04  0.00000E+00
  4.700E+00  1.68131E-03  1.15026E-20  4.10765E-04  0.00000E+00
  4.800E+00  1.75357E-03  1.05793E-20  3.77793E-04  0.00000E+00
  4.900E+00  1.82735E-03  9.74696E-21  3.48070E-04  0.00000E+00
  5.000E+00  1.90265E-03  8.99505E-21  3.21219E-04  0.00000E+00
  5.100E+00  1.97947E-03  8.31440E-21  2.96913E-04  0.00000E+00
  5.200E+00  2.05780E-03  7.69705E-21  2.74867E-04  0.00000E+00
  5.300E+00  2.13765E-03  7.13606E-21  2.54833E-04  0.00000E+00
  5.400E+00  2.21902E-03  6.62537E-21  2.36596E-04  0.00000E+00
  5.500E+00  2.30190E-03  6.15965E-21  2.19965E-04  0.00000E+00
