   1.31509994E-04   3.42270010E-04
       -1137       -1137
   1.35522998E-06   6.73800023E-05
   2.35544994E-05   1.37190000E-04
   3.21653010E-06   3.27299989E-04
   4.96283015E-08   3.38549988E-04
       -1137       -1137
   6.44773027E-05   1.69770006E-04
   7.22602999E-06   2.39999994E-04
   6.92422987E-07   2.89569987E-04
       -1137       -1137
   8.11047983E-07   9.99600015E-05
   9.95517985E-06   1.10350004E-04
   4.39188989E-06   1.70190004E-04
   4.15919004E-07   2.19759997E-04
       -1137       -1137
          -1          -1
