 #
 # Differential cross section:               MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #--------------------------------------------------------------
  2.000E-02  3.04617E-08  2.55758E-12  9.13327E+04  0.00000E+00
  2.250E-02  3.85531E-08  2.29248E-12  8.18659E+04  0.00000E+00
  2.500E-02  4.75965E-08  2.04970E-12  7.31960E+04  0.00000E+00
  2.750E-02  5.75917E-08  1.83012E-12  6.53547E+04  0.00000E+00
  3.000E-02  6.85389E-08  1.63323E-12  5.83236E+04  0.00000E+00
  3.250E-02  8.04380E-08  1.45769E-12  5.20551E+04  0.00000E+00
  3.500E-02  9.32891E-08  1.30177E-12  4.64870E+04  0.00000E+00
  3.750E-02  1.07092E-07  1.16358E-12  4.15523E+04  0.00000E+00
  4.000E-02  1.21847E-07  1.04127E-12  3.71846E+04  0.00000E+00
  4.250E-02  1.37554E-07  9.33089E-13  3.33212E+04  0.00000E+00
  4.500E-02  1.54213E-07  8.37400E-13  2.99041E+04  0.00000E+00
  4.750E-02  1.71823E-07  7.52729E-13  2.68805E+04  0.00000E+00
  5.000E-02  1.90386E-07  6.77755E-13  2.42031E+04  0.00000E+00
  5.250E-02  2.09900E-07  6.11307E-13  2.18302E+04  0.00000E+00
  5.500E-02  2.30367E-07  5.52356E-13  1.97250E+04  0.00000E+00
  5.750E-02  2.51785E-07  4.99999E-13  1.78553E+04  0.00000E+00
  6.000E-02  2.74156E-07  4.53439E-13  1.61926E+04  0.00000E+00
  6.250E-02  2.97478E-07  4.11977E-13  1.47120E+04  0.00000E+00
  6.500E-02  3.21752E-07  3.74998E-13  1.33914E+04  0.00000E+00
  6.750E-02  3.46978E-07  3.41970E-13  1.22120E+04  0.00000E+00
  7.000E-02  3.73156E-07  3.12427E-13  1.11570E+04  0.00000E+00
  7.250E-02  4.00286E-07  2.85960E-13  1.02118E+04  0.00000E+00
  7.500E-02  4.28368E-07  2.62212E-13  9.36374E+03  0.00000E+00
  7.750E-02  4.57402E-07  2.40865E-13  8.60146E+03  0.00000E+00
  8.000E-02  4.87388E-07  2.21646E-13  7.91512E+03  0.00000E+00
  8.250E-02  5.18325E-07  2.04312E-13  7.29611E+03  0.00000E+00
  8.500E-02  5.50215E-07  1.88653E-13  6.73693E+03  0.00000E+00
  8.750E-02  5.83057E-07  1.74484E-13  6.23094E+03  0.00000E+00
  9.000E-02  6.16850E-07  1.61640E-13  5.77227E+03  0.00000E+00
  9.250E-02  6.51596E-07  1.49976E-13  5.35576E+03  0.00000E+00
  9.500E-02  6.87293E-07  1.39366E-13  4.97685E+03  0.00000E+00
  9.750E-02  7.23942E-07  1.29697E-13  4.63157E+03  0.00000E+00
  1.000E-01  7.61543E-07  1.20872E-13  4.31642E+03  0.00000E+00
  1.250E-01  1.18991E-06  6.39349E-14  2.28316E+03  0.00000E+00
  1.500E-01  1.71347E-06  3.71028E-14  1.32496E+03  0.00000E+00
  1.750E-01  2.33223E-06  2.28939E-14  8.17556E+02  0.00000E+00
  2.000E-01  3.04617E-06  1.47781E-14  5.27736E+02  0.00000E+00
  2.250E-01  3.85531E-06  9.90716E-15  3.53791E+02  0.00000E+00
  2.500E-01  4.75964E-06  6.87181E-15  2.45397E+02  0.00000E+00
  2.750E-01  5.75916E-06  4.91596E-15  1.75552E+02  0.00000E+00
  3.000E-01  6.85388E-06  3.61470E-15  1.29083E+02  0.00000E+00
  3.250E-01  8.04378E-06  2.72209E-15  9.72075E+01  0.00000E+00
  3.500E-01  9.32888E-06  2.09227E-15  7.47163E+01  0.00000E+00
  3.750E-01  1.07092E-05  1.63654E-15  5.84420E+01  0.00000E+00
  4.000E-01  1.21846E-05  1.29946E-15  4.64045E+01  0.00000E+00
  4.250E-01  1.37553E-05  1.04535E-15  3.73302E+01  0.00000E+00
  4.500E-01  1.54212E-05  8.50636E-16  3.03768E+01  0.00000E+00
  4.750E-01  1.71822E-05  6.99294E-16  2.49722E+01  0.00000E+00
  5.000E-01  1.90385E-05  5.80180E-16  2.07186E+01  0.00000E+00
  5.250E-01  2.09899E-05  4.85386E-16  1.73335E+01  0.00000E+00
  5.500E-01  2.30365E-05  4.09185E-16  1.46123E+01  0.00000E+00
  5.750E-01  2.51783E-05  3.47368E-16  1.24048E+01  0.00000E+00
  6.000E-01  2.74153E-05  2.96799E-16  1.05989E+01  0.00000E+00
  6.250E-01  2.97475E-05  2.55108E-16  9.11009E+00  0.00000E+00
  6.500E-01  3.21749E-05  2.20490E-16  7.87384E+00  0.00000E+00
  6.750E-01  3.46974E-05  1.91551E-16  6.84041E+00  0.00000E+00
  7.000E-01  3.73152E-05  1.67208E-16  5.97112E+00  0.00000E+00
  7.250E-01  4.00281E-05  1.46612E-16  5.23562E+00  0.00000E+00
  7.500E-01  4.28362E-05  1.29091E-16  4.60993E+00  0.00000E+00
  7.750E-01  4.57395E-05  1.14110E-16  4.07494E+00  0.00000E+00
  8.000E-01  4.87380E-05  1.01239E-16  3.61530E+00  0.00000E+00
  8.250E-01  5.18317E-05  9.01310E-17  3.21864E+00  0.00000E+00
  8.500E-01  5.50205E-05  8.05046E-17  2.87487E+00  0.00000E+00
  8.750E-01  5.83045E-05  7.21288E-17  2.57577E+00  0.00000E+00
  9.000E-01  6.16838E-05  6.48137E-17  2.31454E+00  0.00000E+00
  9.250E-01  6.51582E-05  5.84025E-17  2.08559E+00  0.00000E+00
  9.500E-01  6.87277E-05  5.27645E-17  1.88425E+00  0.00000E+00
  9.750E-01  7.23925E-05  4.77906E-17  1.70663E+00  0.00000E+00
  1.000E+00  7.61524E-05  4.33893E-17  1.54946E+00  0.00000E+00
  1.100E+00  9.21439E-05  3.01325E-17  1.07605E+00  0.00000E+00
  1.200E+00  1.09658E-04  2.15784E-17  7.70578E-01  0.00000E+00
  1.300E+00  1.28695E-04  1.58599E-17  5.66366E-01  0.00000E+00
  1.400E+00  1.49255E-04  1.19193E-17  4.25647E-01  0.00000E+00
  1.500E+00  1.71338E-04  9.13184E-18  3.26104E-01  0.00000E+00
  1.600E+00  1.94942E-04  7.11454E-18  2.54065E-01  0.00000E+00
  1.700E+00  2.20070E-04  5.62518E-18  2.00879E-01  0.00000E+00
  1.800E+00  2.46720E-04  4.50607E-18  1.60915E-01  0.00000E+00
  1.900E+00  2.74892E-04  3.65193E-18  1.30413E-01  0.00000E+00
  2.000E+00  3.04586E-04  2.99088E-18  1.06806E-01  0.00000E+00
  2.100E+00  3.35803E-04  2.47282E-18  8.83059E-02  0.00000E+00
  2.200E+00  3.68542E-04  2.06219E-18  7.36421E-02  0.00000E+00
  2.300E+00  4.02802E-04  1.73335E-18  6.18990E-02  0.00000E+00
  2.400E+00  4.38585E-04  1.46751E-18  5.24058E-02  0.00000E+00
  2.500E+00  4.75889E-04  1.25075E-18  4.46650E-02  0.00000E+00
  2.600E+00  5.14715E-04  1.07258E-18  3.83025E-02  0.00000E+00
  2.700E+00  5.55063E-04  9.25056E-19  3.30344E-02  0.00000E+00
  2.800E+00  5.96931E-04  8.02067E-19  2.86423E-02  0.00000E+00
  2.900E+00  6.40321E-04  6.98876E-19  2.49573E-02  0.00000E+00
  3.000E+00  6.85233E-04  6.11781E-19  2.18471E-02  0.00000E+00
  3.100E+00  7.31665E-04  5.37862E-19  1.92074E-02  0.00000E+00
  3.200E+00  7.79618E-04  4.74796E-19  1.69553E-02  0.00000E+00
  3.300E+00  8.29092E-04  4.20727E-19  1.50244E-02  0.00000E+00
  3.400E+00  8.80086E-04  3.74157E-19  1.33614E-02  0.00000E+00
  3.500E+00  9.32601E-04  3.33871E-19  1.19228E-02  0.00000E+00
  3.600E+00  9.86636E-04  2.98878E-19  1.06731E-02  0.00000E+00
  3.700E+00  1.04219E-03  2.68363E-19  9.58343E-03  0.00000E+00
  3.800E+00  1.09927E-03  2.41657E-19  8.62973E-03  0.00000E+00
  3.900E+00  1.15786E-03  2.18201E-19  7.79211E-03  0.00000E+00
  4.000E+00  1.21797E-03  1.97533E-19  7.05402E-03  0.00000E+00
  4.100E+00  1.27961E-03  1.79262E-19  6.40157E-03  0.00000E+00
  4.200E+00  1.34276E-03  1.63063E-19  5.82309E-03  0.00000E+00
  4.300E+00  1.40743E-03  1.48660E-19  5.30873E-03  0.00000E+00
  4.400E+00  1.47362E-03  1.35818E-19  4.85014E-03  0.00000E+00
  4.500E+00  1.54133E-03  1.24338E-19  4.44019E-03  0.00000E+00
  4.600E+00  1.61056E-03  1.14051E-19  4.07282E-03  0.00000E+00
  4.700E+00  1.68131E-03  1.04810E-19  3.74282E-03  0.00000E+00
  4.800E+00  1.75357E-03  9.64898E-20  3.44571E-03  0.00000E+00
  4.900E+00  1.82735E-03  8.89827E-20  3.17763E-03  0.00000E+00
  5.000E+00  1.90265E-03  8.21948E-20  2.93523E-03  0.00000E+00
  5.100E+00  1.97947E-03  7.60448E-20  2.71561E-03  0.00000E+00
  5.200E+00  2.05780E-03  7.04620E-20  2.51624E-03  0.00000E+00
  5.300E+00  2.13765E-03  6.53845E-20  2.33492E-03  0.00000E+00
  5.400E+00  2.21902E-03  6.07585E-20  2.16972E-03  0.00000E+00
  5.500E+00  2.30190E-03  5.65363E-20  2.01895E-03  0.00000E+00
  5.600E+00  2.38630E-03  5.26765E-20  1.88111E-03  0.00000E+00
  5.700E+00  2.47222E-03  4.91421E-20  1.75490E-03  0.00000E+00
  5.800E+00  2.55965E-03  4.59008E-20  1.63915E-03  0.00000E+00
  5.900E+00  2.64859E-03  4.29238E-20  1.53284E-03  0.00000E+00
  6.000E+00  2.73905E-03  4.01856E-20  1.43505E-03  0.00000E+00
  6.100E+00  2.83103E-03  3.76635E-20  1.34499E-03  0.00000E+00
  6.200E+00  2.92452E-03  3.53374E-20  1.26192E-03  0.00000E+00
  6.300E+00  3.01952E-03  3.31891E-20  1.18520E-03  0.00000E+00
  6.400E+00  3.11604E-03  3.12026E-20  1.11426E-03  5.36821E-05
  6.500E+00  3.21407E-03  2.93634E-20  1.04859E-03  5.54146E-05
  6.600E+00  3.31362E-03  2.76586E-20  9.87707E-04  5.72312E-05
  6.700E+00  3.41468E-03  2.60765E-20  9.31210E-04  5.90330E-05
  6.800E+00  3.51725E-03  2.46067E-20  8.78723E-04  6.08192E-05
  6.900E+00  3.62133E-03  2.32398E-20  8.29907E-04  6.27570E-05
  7.000E+00  3.72692E-03  2.19670E-20  7.84457E-04  6.45345E-05
  7.100E+00  3.83403E-03  2.07809E-20  7.42098E-04  6.65537E-05
  7.200E+00  3.94265E-03  1.96743E-20  7.02581E-04  6.83624E-05
  7.300E+00  4.05278E-03  1.86409E-20  6.65679E-04  7.04011E-05
  7.400E+00  4.16442E-03  1.76750E-20  6.31186E-04  7.22791E-05
  7.500E+00  4.27757E-03  1.67713E-20  5.98915E-04  7.43047E-05
  7.600E+00  4.39223E-03  1.59252E-20  5.68698E-04  7.63120E-05
  7.700E+00  4.50840E-03  1.51321E-20  5.40377E-04  7.83124E-05
  7.800E+00  4.62608E-03  1.43882E-20  5.13812E-04  8.03879E-05
  7.900E+00  4.74527E-03  1.36898E-20  4.88873E-04  8.24172E-05
  8.000E+00  4.86597E-03  1.30337E-20  4.65442E-04  8.44860E-05
  8.100E+00  4.98817E-03  1.24168E-20  4.43410E-04  8.65983E-05
  8.200E+00  5.11188E-03  1.18362E-20  4.22678E-04  8.87011E-05
  8.300E+00  5.23711E-03  1.12895E-20  4.03155E-04  9.08343E-05
  8.400E+00  5.36383E-03  1.07743E-20  3.84757E-04  9.29815E-05
  8.500E+00  5.49207E-03  1.02884E-20  3.67406E-04  9.51136E-05
  8.600E+00  5.62181E-03  9.82988E-21  3.51031E-04  9.72739E-05
  8.700E+00  5.75306E-03  9.39687E-21  3.35568E-04  9.94636E-05
  8.800E+00  5.88581E-03  8.98767E-21  3.20956E-04  1.01659E-04
  8.900E+00  6.02007E-03  8.60074E-21  3.07138E-04  1.03873E-04
  9.000E+00  6.15583E-03  8.23463E-21  2.94064E-04  1.06092E-04
  9.100E+00  6.29310E-03  7.88799E-21  2.81685E-04  1.08302E-04
  9.200E+00  6.43187E-03  7.55960E-21  2.69958E-04  1.10533E-04
