

  **** Partial wave analysis (DPWA0) ******************************************


  Kinetic energy = 1.00000E+07 eV

      L       Phase(spin UP)     Phase(spin DOWN)
  -----------------------------------------------
       0      9.78456811E-01      0.00000000E+00
       1      3.89868738E-01      9.54658537E-01
       2      9.24371056E-02      3.75836937E-01
       3     -1.02401029E-01      8.30729059E-02
       4     -2.47539966E-01     -1.09422369E-01
       5     -3.63262094E-01     -2.53155167E-01
       6     -4.59504673E-01     -3.67939583E-01
       7     -5.41884693E-01     -4.63512152E-01
       8     -6.13890173E-01     -5.45389495E-01
       9     -6.77836967E-01     -6.17003872E-01
      10     -7.35341798E-01     -6.80637677E-01
      11     -7.87578310E-01     -7.37886338E-01
      12     -8.35425629E-01     -7.89909306E-01
      13     -8.79559423E-01     -8.37575878E-01
      14     -9.20510262E-01     -8.81554698E-01
      15     -9.58702440E-01     -9.22371189E-01
      16     -9.94480616E-01     -9.60445781E-01
      17     -1.02812859E+00     -9.96120180E-01
      18     -1.05988287E+00     -1.02967589E+00
      19     -1.08994260E+00     -1.06134760E+00
      20     -1.11847709E+00     -1.09133300E+00
      21     -1.14563147E+00     -1.11980023E+00
      22     -1.17153109E+00     -1.14689346E+00
      23     -1.19628498E+00     -1.17273724E+00
      24     -1.21998855E+00     -1.19743994E+00
      25     -1.24272579E+00     -1.22109641E+00
      26     -1.26457098E+00     -1.24379016E+00
      27     -1.28559019E+00     -1.26559510E+00
      28     -1.30584241E+00     -1.28657692E+00
      29     -1.32538052E+00     -1.30679433E+00
      30     -1.34425215E+00     -1.32629996E+00
      31     -1.36250031E+00     -1.34514120E+00
      32     -1.38016396E+00     -1.36336087E+00
      33     -1.39727857E+00     -1.38099776E+00
      34     -1.41387643E+00     -1.39808717E+00
      35     -1.42998711E+00     -1.41466129E+00
      36     -1.44563768E+00     -1.43074954E+00
      37     -1.46085304E+00     -1.44637890E+00
      38     -1.47565612E+00     -1.46157417E+00
      39     -1.49006807E+00     -1.47635818E+00
      40     -1.50410848E+00     -1.49075203E+00
      41     -1.51779548E+00     -1.50477521E+00
      42     -1.53114591E+00     -1.51844581E+00
      43     -1.54417545E+00     -1.53178060E+00
      44     -1.55689869E+00     -1.54479521E+00
      45     -1.56932925E+00     -1.55750419E+00
      46      1.56011279E+00     -1.56992110E+00
      47      1.54823020E+00      1.55953400E+00
      48      1.53660447E+00      1.54766392E+00
      49      1.52522511E+00      1.53605020E+00
      50      1.51408226E+00      1.52468236E+00
      51      1.50316666E+00      1.51355059E+00
      52      1.49246957E+00      1.50264564E+00
      53      1.48198275E+00      1.49195880E+00
      54      1.47169842E+00      1.48148184E+00
      55      1.46160922E+00      1.47120702E+00
      56      1.45170820E+00      1.46112699E+00
      57      1.44198876E+00      1.45123482E+00
      58      1.43244466E+00      1.44152392E+00
      59      1.42306997E+00      1.43198808E+00
      60      1.41385905E+00      1.42262136E+00
      61      1.40480656E+00      1.41341817E+00
      62      1.39590739E+00      1.40437314E+00
      63      1.38715670E+00      1.39548121E+00
      64      1.37854987E+00      1.38673753E+00
      65      1.37008249E+00      1.37813749E+00
      66      1.36175034E+00      1.36967670E+00
      67      1.35354943E+00      1.36135095E+00
      68      1.34547590E+00      1.35315624E+00
      69      1.33752608E+00      1.34508873E+00
      70      1.32969646E+00      1.33714477E+00
      71      1.32198368E+00      1.32932084E+00
      72      1.31438450E+00      1.32161359E+00
      73      1.30689584E+00      1.31401980E+00
      74      1.29951473E+00      1.30653638E+00
      75      1.29223832E+00      1.29916037E+00
      76      1.28506388E+00      1.29188893E+00
      77      1.27798878E+00      1.28471933E+00
      78      1.27101049E+00      1.27764895E+00
      79      1.26412659E+00      1.27067526E+00
      80      1.25733472E+00      1.26379583E+00
      81      1.25063264E+00      1.25700834E+00
      82      1.24401817E+00      1.25031052E+00
      83      1.23748922E+00      1.24370022E+00
      84      1.23104378E+00      1.23717534E+00
      85      1.22467989E+00      1.23073387E+00
      86      1.21839568E+00      1.22437387E+00
      87      1.21218932E+00      1.21809345E+00
      88      1.20605908E+00      1.21189080E+00
      89      1.20000324E+00      1.20576418E+00
      90      1.19402017E+00      1.19971189E+00
      91      1.18810830E+00      1.19373229E+00
      92      1.18226607E+00      1.18782380E+00
      93      1.17649201E+00      1.18198490E+00
      94      1.17078468E+00      1.17621409E+00
      95      1.16514269E+00      1.17050994E+00  i
      96      1.15956469E+00      1.16487107E+00  i
      97      1.15404936E+00      1.15929612E+00  i
      98      1.14859544E+00      1.15378378E+00  i
      99      1.14320171E+00      1.14833280E+00  i
     100      1.13786695E+00      1.14294193E+00  i
     105      1.11203850E+00      1.11684885E+00  i
     110      1.08752409E+00      1.09209373E+00  i
     115      1.06420789E+00      1.06855768E+00  i
     120      1.04198857E+00      1.04613680E+00  i
     125      1.02077690E+00      1.02473971E+00  i
     130      1.00049391E+00      1.00428563E+00  i
     135      9.81069384E-01      9.84702764E-01  i
     140      9.62440548E-01      9.65927008E-01  i
     145      9.44551111E-01      9.47900912E-01  i
     150      9.27350384E-01      9.30572778E-01  i
     155      9.10792574E-01      9.13895929E-01  i
     160      8.94836182E-01      8.97828091E-01  i
     165      8.79443498E-01      8.82330868E-01  i
     170      8.64580159E-01      8.67369291E-01  i
     175      8.50214783E-01      8.52911436E-01  i
     180      8.36318641E-01      8.38928092E-01  i
     185      8.22865380E-01      8.25392474E-01  i
     190      8.09830776E-01      8.12279970E-01  i
     195      7.97192521E-01      7.99567922E-01  i
     200      7.84930036E-01      7.87235436E-01  i
     205      7.73024300E-01      7.75263206E-01  i
     210      7.61457707E-01      7.63633367E-01  i
     215      7.50213930E-01      7.52329358E-01  i
     220      7.39277808E-01      7.41335806E-01  i
     225      7.28635239E-01      7.30638413E-01  i
     230      7.18273086E-01      7.20223866E-01  i
     235      7.08179092E-01      7.10079747E-01  i
     240      6.98341806E-01      7.00194456E-01  i
     245      6.88750511E-01      6.90557143E-01  i
     250      6.79395168E-01      6.81157642E-01  i
     255      6.70266353E-01      6.71986418E-01  i
     260      6.61355211E-01      6.63034510E-01  i
     265      6.52653408E-01      6.54293489E-01  i
     270      6.44153091E-01      6.45755414E-01  i
     275      6.35846849E-01      6.37412792E-01  i
     280      6.27727679E-01      6.29258544E-01  i
     285      6.19788953E-01      6.21285974E-01  i
     290      6.12024394E-01      6.13488740E-01  i
     295      6.04428044E-01      6.05860826E-01  i
     300      5.96994248E-01      5.98396520E-01  i
     310      5.82593049E-01      5.83937263E-01  i
     320      5.68780739E-01      5.70070545E-01  i
     330      5.55520846E-01      5.56759573E-01  i
     340      5.42780022E-01      5.43970720E-01  i
     350      5.30527664E-01      5.31673135E-01  i
     360      5.18735585E-01      5.19838416E-01  i
     370      5.07377751E-01      5.08440332E-01  i
     380      4.96430044E-01      4.97454593E-01  i
     390      4.85870073E-01      4.86858652E-01  i
     400      4.75677007E-01      4.76631534E-01  i
     410      4.65831434E-01      4.66753699E-01  i
     420      4.56315234E-01      4.57206907E-01  i
     430      4.47111477E-01      4.47974122E-01  i
     440      4.38204328E-01      4.39039406E-01  i
     450      4.29578964E-01      4.30387844E-01  i
     460      4.21221500E-01      4.22005464E-01  i
     470      4.13118924E-01      4.13879175E-01  i
     480      4.05259039E-01      4.05996704E-01  i
     490      3.97630404E-01      3.98346539E-01  i
     500      3.90222288E-01      3.90917886E-01  i
     510      3.83024624E-01      3.83700615E-01  i
     520      3.76027964E-01      3.76685222E-01  i
     530      3.69223443E-01      3.69862787E-01  i
     540      3.62602737E-01      3.63224937E-01  i
     550      3.56158032E-01      3.56763810E-01  i
     560      3.49881991E-01      3.50472025E-01  i
     570      3.43767722E-01      3.44342650E-01  i
     580      3.37808747E-01      3.38369168E-01  i
     590      3.31998980E-01      3.32545457E-01  i
     600      3.26332698E-01      3.26865761E-01  i
     620      3.15409365E-01      3.15917064E-01  i
     640      3.04999331E-01      3.05483439E-01  i
     660      2.95067579E-01      2.95529670E-01  i
     680      2.85582893E-01      2.86024373E-01  i
     700      2.76517338E-01      2.76939469E-01  i
     720      2.67845803E-01      2.68249723E-01  i
     740      2.59545610E-01      2.59932347E-01  i
     760      2.51596165E-01      2.51966656E-01  i
     780      2.43978668E-01      2.44333770E-01  i
     800      2.36675860E-01      2.37016363E-01  i
     820      2.29671813E-01      2.29998447E-01  i
     840      2.22951748E-01      2.23265192E-01  i
     860      2.16501886E-01      2.16802775E-01  i
     880      2.10309321E-01      2.10598251E-01  i
