

  **** Partial wave analysis (DPWA0) ******************************************


  Kinetic energy = 1.00000E+08 eV

      L       Phase(spin UP)     Phase(spin DOWN)
  -----------------------------------------------
       0      8.59796764E-01      0.00000000E+00
       1      8.18842201E-01      8.59602466E-01
       2      7.82239442E-01      8.18638330E-01
       3      7.54366182E-01      7.82082515E-01
       4      7.32684815E-01      7.54245935E-01
       5      7.15048156E-01      7.32588378E-01
       6      7.00190457E-01      7.14967773E-01
       7      6.87353223E-01      7.00121556E-01
       8      6.76051240E-01      6.87292934E-01
       9      6.65955669E-01      6.75997650E-01
      10      6.56833293E-01      6.65907438E-01
      11      6.48512672E-01      6.56789447E-01
      12      6.40864063E-01      6.48472480E-01
      13      6.33786894E-01      6.40826962E-01
      14      6.27201626E-01      6.33752444E-01
      15      6.21044260E-01      6.27169473E-01
      16      6.15262533E-01      6.21014116E-01
      17      6.09813215E-01      6.15234162E-01
      18      6.04660137E-01      6.09786420E-01
      19      5.99772732E-01      6.04634752E-01
      20      5.95124934E-01      5.99748616E-01
      21      5.90694338E-01      5.95101968E-01
      22      5.86461540E-01      5.90672415E-01
      23      5.82409628E-01      5.86440571E-01
      24      5.78523770E-01      5.82389532E-01
      25      5.74790887E-01      5.78504478E-01
      26      5.71199388E-01      5.74772337E-01
      27      5.67738952E-01      5.71181526E-01
      28      5.64400346E-01      5.67721727E-01
      29      5.61175284E-01      5.64383716E-01
      30      5.58056294E-01      5.61159208E-01
      31      5.55036621E-01      5.58040736E-01
      32      5.52110133E-01      5.55021549E-01
      33      5.49271252E-01      5.52095519E-01
      34      5.46514884E-01      5.49257067E-01
      35      5.43836367E-01      5.46501104E-01
      36      5.41231425E-01      5.43822970E-01
      37      5.38696123E-01      5.41218390E-01
      38      5.36226835E-01      5.38683431E-01
      39      5.33820211E-01      5.36214469E-01
      40      5.31473148E-01      5.33808154E-01
      41      5.29182770E-01      5.31461385E-01
      42      5.26946404E-01      5.29171287E-01
      43      5.24761561E-01      5.26935188E-01
      44      5.22625920E-01      5.24750600E-01
      45      5.20537315E-01      5.22615203E-01
      46      5.18493719E-01      5.20526831E-01
      47      5.16493232E-01      5.18483458E-01
      48      5.14534075E-01      5.16483185E-01
      49      5.12614574E-01      5.14524233E-01
      50      5.10733155E-01      5.12604928E-01
      51      5.08888338E-01      5.10723699E-01
      52      5.07078726E-01      5.08879064E-01
      53      5.05303000E-01      5.07069627E-01
      54      5.03559916E-01      5.05294070E-01
      55      5.01848294E-01      5.03551148E-01
      56      5.00167021E-01      5.01839683E-01
      57      4.98515037E-01      5.00158560E-01
      58      4.96891342E-01      4.98506723E-01
      59      4.95294982E-01      4.96883168E-01
      60      4.93725053E-01      4.95286945E-01
      61      4.92180694E-01      4.93717148E-01
      62      4.90661086E-01      4.92172916E-01
      63      4.89165448E-01      4.90653431E-01
      64      4.87693036E-01      4.89157913E-01
      65      4.86243140E-01      4.87685617E-01
      66      4.84815082E-01      4.86235833E-01
      67      4.83408214E-01      4.84807885E-01
      68      4.82021918E-01      4.83401123E-01
      69      4.80655599E-01      4.82014929E-01
      70      4.79308692E-01      4.80648710E-01
      71      4.77980651E-01      4.79301900E-01
      72      4.76670957E-01      4.77973954E-01
      73      4.75379110E-01      4.76664352E-01
      74      4.74104630E-01      4.75372594E-01
      75      4.72847057E-01      4.74098201E-01
      76      4.71605947E-01      4.72840712E-01
      77      4.70380877E-01      4.71599685E-01
      78      4.69171436E-01      4.70374695E-01
      79      4.67977232E-01      4.69165333E-01
      80      4.66797885E-01      4.67971205E-01
      81      4.65633032E-01      4.66791933E-01
      82      4.64482319E-01      4.65627151E-01
      83      4.63345408E-01      4.64476509E-01
      84      4.62221972E-01      4.63339667E-01
      85      4.61111696E-01      4.62216299E-01
      86      4.60014275E-01      4.61106089E-01
      87      4.58929415E-01      4.60008732E-01
      88      4.57856832E-01      4.58923936E-01
      89      4.56796252E-01      4.57851414E-01
      90      4.55747409E-01      4.56790894E-01
      91      4.54710046E-01      4.55742110E-01
      92      4.53683915E-01      4.54704805E-01
      93      4.52668776E-01      4.53678731E-01
      94      4.51664396E-01      4.52663647E-01
      95      4.50670550E-01      4.51659321E-01
      96      4.49687018E-01      4.50665527E-01
      97      4.48713590E-01      4.49682048E-01
      98      4.47750060E-01      4.48708670E-01
      99      4.46796228E-01      4.47745190E-01
     100      4.45851903E-01      4.46791407E-01
     101      4.44916896E-01      4.45847130E-01
     102      4.43991026E-01      4.44912170E-01
     103      4.43074116E-01      4.43986345E-01
     104      4.42165994E-01      4.43069480E-01
     105      4.41266494E-01      4.42161403E-01
     106      4.40375454E-01      4.41261946E-01
     107      4.39492716E-01      4.40370948E-01
     108      4.38618127E-01      4.39488252E-01
     109      4.37751539E-01      4.38613705E-01
     110      4.36892806E-01      4.37747157E-01
     111      4.36041788E-01      4.36888463E-01
     112      4.35198347E-01      4.36037484E-01
     113      4.34362350E-01      4.35194081E-01
     114      4.33533667E-01      4.34358122E-01
     115      4.32712171E-01      4.33529475E-01
     116      4.31897738E-01      4.32708015E-01
     117      4.31090249E-01      4.31893618E-01
     118      4.30289586E-01      4.31086164E-01
     119      4.29495635E-01      4.30285536E-01
     120      4.28708285E-01      4.29491618E-01
     121      4.27927426E-01      4.28704301E-01
     122      4.27152954E-01      4.27923475E-01
     123      4.26384763E-01      4.27149035E-01
     124      4.25622754E-01      4.26380876E-01
     125      4.24866828E-01      4.25618898E-01
     126      4.24116889E-01      4.24863003E-01
     127      4.23372843E-01      4.24113094E-01
     128      4.22634598E-01      4.23369078E-01
     129      4.21902065E-01      4.22630862E-01
     130      4.21175155E-01      4.21898357E-01
     131      4.20453784E-01      4.21171476E-01
     132      4.19737868E-01      4.20450133E-01
     133      4.19027325E-01      4.19734244E-01
     134      4.18322075E-01      4.19023728E-01
     135      4.17622041E-01      4.18318505E-01
     136      4.16927145E-01      4.17618497E-01
     137      4.16237313E-01      4.16923627E-01
     138      4.15552472E-01      4.16233821E-01
     139      4.14872550E-01      4.15549005E-01
     140      4.14197478E-01      4.14869108E-01
     141      4.13527186E-01      4.14194060E-01
     142      4.12861609E-01      4.13523793E-01
     143      4.12200679E-01      4.12858238E-01
     144      4.11544333E-01      4.12197332E-01
     145      4.10892507E-01      4.11541009E-01
     146      4.10245141E-01      4.10889206E-01
     147      4.09602173E-01      4.10241862E-01
     148      4.08963544E-01      4.09598917E-01
     149      4.08329197E-01      4.08960310E-01
     150      4.07699074E-01      4.08325984E-01
     151      4.07073119E-01      4.07695882E-01
     152      4.06451279E-01      4.07069949E-01
     153      4.05833499E-01      4.06448130E-01
     154      4.05219727E-01      4.05830370E-01
     155      4.04609911E-01      4.05216618E-01
     156      4.04004002E-01      4.04606823E-01
     157      4.03401948E-01      4.04000932E-01
     158      4.02803702E-01      4.03398898E-01
     159      4.02209215E-01      4.02800671E-01
     160      4.01618442E-01      4.02206204E-01
     161      4.01031336E-01      4.01615449E-01
     162      4.00447852E-01      4.01028362E-01
     163      3.99867945E-01      4.00444896E-01
     164      3.99291572E-01      3.99865007E-01
     165      3.98718691E-01      3.99288652E-01
     166      3.98149260E-01      3.98715789E-01
     167      3.97583237E-01      3.98146375E-01
