 #  Scattering field.
 #  All quantities in atomic units (a.u.), unless otherwise indicated.
 #  Z =  47, NELEC =  47,   projectile: electron
 #  Kinetic energy = 3.67493E+05 a.u. = 1.00000E+07 eV
 #
 #   i       r           r*V         r*Vst        r*Vex       r*Vpol       r*Wabs        rho_e
 #------------------------------------------------------------------------------------------------
    44  6.61997E-05 -3.83653E+01 -3.83653E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    45  6.85343E-05 -3.92183E+01 -3.92183E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    46  7.09169E-05 -4.00376E+01 -4.00376E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    47  7.33485E-05 -4.08196E+01 -4.08196E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    48  7.58302E-05 -4.15603E+01 -4.15603E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    49  7.83629E-05 -4.22562E+01 -4.22562E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    50  8.09477E-05 -4.29040E+01 -4.29040E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    51  8.35858E-05 -4.35006E+01 -4.35006E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    52  8.62781E-05 -4.40437E+01 -4.40437E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    53  8.90258E-05 -4.45317E+01 -4.45317E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    54  9.18300E-05 -4.49641E+01 -4.49641E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    55  9.46920E-05 -4.53414E+01 -4.53414E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    56  9.76128E-05 -4.56655E+01 -4.56655E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    57  1.00594E-04 -4.59395E+01 -4.59395E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    58  1.03636E-04 -4.61672E+01 -4.61672E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    59  1.06741E-04 -4.63535E+01 -4.63535E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    60  1.09910E-04 -4.65036E+01 -4.65036E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    61  1.13144E-04 -4.66228E+01 -4.66228E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    62  1.16444E-04 -4.67162E+01 -4.67162E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    63  1.19813E-04 -4.67884E+01 -4.67884E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    64  1.23250E-04 -4.68437E+01 -4.68437E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    65  1.26759E-04 -4.68855E+01 -4.68855E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    66  1.30339E-04 -4.69168E+01 -4.69168E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    67  1.33994E-04 -4.69401E+01 -4.69401E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    68  1.37723E-04 -4.69572E+01 -4.69572E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    69  1.41530E-04 -4.69696E+01 -4.69696E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    70  1.45414E-04 -4.69786E+01 -4.69786E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    71  1.49379E-04 -4.69851E+01 -4.69851E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    72  1.53425E-04 -4.69897E+01 -4.69897E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    73  1.57554E-04 -4.69929E+01 -4.69929E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    74  1.61768E-04 -4.69952E+01 -4.69952E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    75  1.66069E-04 -4.69968E+01 -4.69968E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    76  1.70459E-04 -4.69978E+01 -4.69978E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    77  1.74939E-04 -4.69986E+01 -4.69986E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    78  1.79511E-04 -4.69991E+01 -4.69991E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    79  1.84177E-04 -4.69994E+01 -4.69994E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    80  1.88939E-04 -4.69996E+01 -4.69996E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    81  1.93799E-04 -4.69997E+01 -4.69997E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    82  1.98759E-04 -4.69998E+01 -4.69998E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    83  2.03821E-04 -4.69999E+01 -4.69999E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    84  2.08988E-04 -4.69999E+01 -4.69999E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    85  2.14260E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    86  2.19641E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    87  2.25133E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    88  2.30738E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    89  2.36458E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    90  2.42296E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    91  2.48254E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    92  2.54335E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    93  2.60540E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    94  2.66874E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    95  2.73338E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    96  2.79934E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    97  2.86667E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    98  2.93538E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    99  3.00550E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   100  3.07707E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   101  3.15010E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   102  3.22465E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   103  3.30072E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   104  3.37836E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   105  3.45760E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   106  3.53847E-04 -4.70000E+01 -4.70000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
