 #
 # Subroutine MOTTSC. Elastic scattering of electrons and positrons
 #                    by unscreened Coulomb fields
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+07 eV = 3.67493E+05 a.u.
 #
 # Z =  47
 #
 # Differential cross section      MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS       McKinl-Fesh    error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)   (a0**2/sr)
 #-----------------------------------------------------------------------
  7.500E-03  4.28368E-09  5.67536E-09  2.02671E+08  2.02675E+08   1.0E+00
  7.750E-03  4.57402E-09  4.97774E-09  1.77758E+08  1.77762E+08   1.0E+00
  8.000E-03  4.87388E-09  4.38409E-09  1.56559E+08  1.56562E+08   1.0E+00
  8.250E-03  5.18326E-09  3.87637E-09  1.38428E+08  1.38431E+08   1.0E+00
  8.500E-03  5.50215E-09  3.44006E-09  1.22847E+08  1.22850E+08   1.0E+00
  8.750E-03  5.83057E-09  3.06344E-09  1.09398E+08  1.09400E+08   1.0E+00
  9.000E-03  6.16850E-09  2.73699E-09  9.77396E+07  9.77421E+07   1.0E+00
  9.250E-03  6.51596E-09  2.45288E-09  8.75940E+07  8.75963E+07   1.0E+00
  9.500E-03  6.87293E-09  2.20470E-09  7.87313E+07  7.87334E+07   1.0E+00
  9.750E-03  7.23942E-09  1.98713E-09  7.09617E+07  7.09637E+07   1.0E+00
  1.000E-02  7.61544E-09  1.79575E-09  6.41273E+07  6.41292E+07   1.0E+00
  1.250E-02  1.18991E-08  7.35551E-10  2.62670E+07  2.62679E+07   1.0E+00
  1.500E-02  1.71347E-08  3.54727E-10  1.26675E+07  1.26681E+07   1.0E+00
  1.750E-02  2.33223E-08  1.91476E-10  6.83774E+06  6.83808E+06   1.0E+00
  2.000E-02  3.04617E-08  1.12242E-10  4.00822E+06  4.00845E+06   1.0E+00
  2.250E-02  3.85531E-08  7.00730E-11  2.50235E+06  2.50251E+06   1.0E+00
  2.500E-02  4.75965E-08  4.59757E-11  1.64182E+06  1.64194E+06   1.0E+00
  2.750E-02  5.75917E-08  3.14025E-11  1.12140E+06  1.12149E+06   1.0E+00
  3.000E-02  6.85389E-08  2.21726E-11  7.91799E+05  7.91867E+05   1.0E+00
  3.250E-02  8.04380E-08  1.60981E-11  5.74875E+05  5.74929E+05   1.0E+00
  3.500E-02  9.32891E-08  1.19686E-11  4.27407E+05  4.27450E+05   1.0E+00
  3.750E-02  1.07092E-07  9.08236E-12  3.24337E+05  3.24371E+05   1.0E+00
  4.000E-02  1.21847E-07  7.01602E-12  2.50547E+05  2.50575E+05   1.0E+00
  4.250E-02  1.37554E-07  5.50531E-12  1.96598E+05  1.96622E+05   1.0E+00
  4.500E-02  1.54213E-07  4.38021E-12  1.56420E+05  1.56440E+05   1.0E+00
  4.750E-02  1.71823E-07  3.52840E-12  1.26001E+05  1.26018E+05   1.0E+00
  5.000E-02  1.90386E-07  2.87395E-12  1.02631E+05  1.02645E+05   1.0E+00
  5.250E-02  2.09900E-07  2.36444E-12  8.44358E+04  8.44484E+04   1.0E+00
  5.500E-02  2.30367E-07  1.96301E-12  7.01003E+04  7.01113E+04   1.0E+00
  5.750E-02  2.51785E-07  1.64327E-12  5.86822E+04  5.86919E+04   1.0E+00
  6.000E-02  2.74156E-07  1.38606E-12  4.94971E+04  4.95056E+04   1.0E+00
  6.250E-02  2.97478E-07  1.17727E-12  4.20409E+04  4.20484E+04   1.0E+00
  6.500E-02  3.21752E-07  1.00635E-12  3.59373E+04  3.59440E+04   1.0E+00
  6.750E-02  3.46978E-07  8.65354E-13  3.09023E+04  3.09083E+04   1.0E+00
  7.000E-02  3.73156E-07  7.48210E-13  2.67191E+04  2.67244E+04   1.0E+00
  7.250E-02  4.00286E-07  6.50236E-13  2.32203E+04  2.32251E+04   1.0E+00
  7.500E-02  4.28368E-07  5.67786E-13  2.02760E+04  2.02803E+04   1.0E+00
  7.750E-02  4.57402E-07  4.98001E-13  1.77839E+04  1.77879E+04   1.0E+00
  8.000E-02  4.87388E-07  4.38616E-13  1.56633E+04  1.56668E+04   1.0E+00
  8.250E-02  5.18325E-07  3.87825E-13  1.38495E+04  1.38527E+04   1.0E+00
  8.500E-02  5.50215E-07  3.44178E-13  1.22908E+04  1.22938E+04   1.0E+00
  8.750E-02  5.83057E-07  3.06502E-13  1.09454E+04  1.09481E+04   1.0E+00
  9.000E-02  6.16850E-07  2.73844E-13  9.77913E+03  9.78163E+03   1.0E+00
  9.250E-02  6.51596E-07  2.45422E-13  8.76416E+03  8.76647E+03   1.0E+00
  9.500E-02  6.87293E-07  2.20593E-13  7.87753E+03  7.87966E+03   1.0E+00
  9.750E-02  7.23942E-07  1.98827E-13  7.10024E+03  7.10221E+03   1.0E+00
  1.000E-01  7.61543E-07  1.79680E-13  6.41651E+03  6.41833E+03   1.0E+00
  1.250E-01  1.18991E-06  7.36092E-14  2.62863E+03  2.62956E+03   1.0E+00
  1.500E-01  1.71347E-06  3.55040E-14  1.26787E+03  1.26841E+03   1.0E+00
  1.750E-01  2.33223E-06  1.91673E-14  6.84478E+02  6.84817E+02   1.0E+00
  2.000E-01  3.04617E-06  1.12374E-14  4.01294E+02  4.01521E+02   1.0E+00
  2.250E-01  3.85531E-06  7.01659E-15  2.50567E+02  2.50726E+02   1.0E+00
  2.500E-01  4.75964E-06  4.60434E-15  1.64424E+02  1.64540E+02   1.0E+00
  2.750E-01  5.75916E-06  3.14534E-15  1.12322E+02  1.12409E+02   1.0E+00
